seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,120001,1,0.9990305482367223,0.9991811885183612,-0.00015064028163891408,-0.00015064028163891408,0.0008666594445046292,8.333263889467587e-05,3.333305555787035e-05,0.0003073613032119256,4.573205588457229e-05,0.017957830294112506,-0.00691833711307514,-0.014889030547578504
13,header,mid_density,important,0.01,0,239999,1,0.9727072525850738,0.9718870736875252,0.0008201788975485957,0.0008201788975485957,0.008520868836953487,0.0036125150521460507,0.0008208367534864729,0.005434510079229766,0.0024483302884555636,0.01759719184359148,-0.0034105738416763563,-0.014730946997032392
13,header,low_density,important,0.01,0,120000,1,0.9624298986274248,0.9603287785752503,0.0021011200521744433,0.0021011200521744433,0.014033333333333333,0.0043,0.003775,0.010765924596799432,0.006285468496343883,0.02521698656420659,-0.013623789046142505,-0.020407310049710994
13,header,high_density,random,0.01,1,120001,1,0.9990305482367223,0.9990650187650602,-3.44705283378266e-05,-3.44705283378266e-05,6.66661111157407e-05,0.0,4.999958333680553e-05,0.0,6.859808382685844e-05,0.004080358147324283,-0.002781206791045902,-0.0040064218586981165
13,header,mid_density,random,0.01,1,239999,1,0.9727072525850738,0.9732343956350789,-0.0005271430500050078,-0.0005271430500050078,0.002808345034770978,0.00010000041666840279,0.0015125063021095922,0.00015043626516899006,0.004511390328473957,0.006528227149821758,-0.0019651094674455302,-0.004300420692514221
13,header,low_density,random,0.01,1,120000,1,0.9624298986274248,0.9624591548485132,-2.9256221088402867e-05,-2.9256221088402867e-05,0.0029916666666666668,0.0004166666666666667,0.00165,0.001043209747751883,0.002747290865951631,0.005913007885980548,-0.0031187658595761528,-0.0035288797655457717
13,header,high_density,random,0.01,2,120001,1,0.9990305482367223,0.9988300672531453,0.00020048098357705602,0.00020048098357705602,8.333263889467587e-05,4.999958333680553e-05,0.0,0.00018441678192715537,0.0,0.07167153211554364,-0.0664964881999784,-0.0716438129739973
13,header,mid_density,random,0.01,2,239999,1,0.9727072525850738,0.9726220774892305,8.517509584338168e-05,8.517509584338168e-05,0.009445872691136213,0.0006750028125117188,0.0072208634202642515,0.001015444789890683,0.02153784969489082,0.022190788956609926,-0.00345563037231887,-0.020854200059613692
13,header,low_density,random,0.01,2,120000,1,0.9624298986274248,0.9619198543025801,0.000510044324844694,0.000510044324844694,0.005875,0.0011333333333333334,0.002266666666666667,0.002837530513885122,0.003774056139085069,0.024834160142612454,-0.010913370701855163,-0.023009379927028648
13,header,high_density,random,0.01,3,120001,1,0.9990305482367223,0.9991199956259716,-8.944738924931972e-05,-8.944738924931972e-05,0.0074166048616261535,0.001374988541762152,0.004874959375338539,0.005071461502996773,0.006688313173118698,0.016176233966915452,0.00467878728569991,-0.01483484222583561
13,header,mid_density,random,0.01,3,239999,1,0.9727072525850738,0.9716901803577191,0.0010170722273546984,0.0010170722273546984,0.004275017812574219,0.0011916716319651333,0.0003916682986179109,0.0017926988265971316,0.001168238817841741,0.01297579889025272,0.005887958406108306,-0.011719765482222975
