model,view,seed,dimension,null_repeat,control_type,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,13,16,0,global_unrestricted_random,03e805976792e333,0.8104129987037038,0.18410416666666665,0.08567527212936331,0.5157653687457936
logistic_regression,wild_b,13,16,1,global_unrestricted_random,11a5a26ca893cc54,0.6988476439814816,0.2391375,0.12610291853998126,0.4829908695294602
logistic_regression,wild_b,13,16,2,global_unrestricted_random,3d6f2c240ba89075,0.764637631111111,0.20555027777777776,0.2509670898097816,0.5017777629694699
logistic_regression,wild_b,13,16,3,global_unrestricted_random,5a7ee1208aeab1cb,0.7447959660185185,0.23547777777777779,0.10333189315803165,0.3994105989194861
logistic_regression,wild_b,13,16,4,global_unrestricted_random,fa8bcd26ddf505a3,0.7653000694444446,0.21460861111111115,0.08934474661260122,0.4937196638226176
logistic_regression,wild_b,13,16,5,global_unrestricted_random,7059264ec5942511,0.7379768033333334,0.27396055555555554,0.14133209083838616,0.4451804672761359
logistic_regression,wild_b,13,16,6,global_unrestricted_random,ed3aa3a8621cb1d7,0.7117031082407408,0.3263402777777778,0.3530878380926594,0.4077597770642118
logistic_regression,wild_b,13,16,7,global_unrestricted_random,164bda40f59693b1,0.7275185999074073,0.29419750000000006,0.02801995098491696,0.44531372519145024
logistic_regression,wild_b,13,16,8,global_unrestricted_random,17e781c9ed3cf192,0.876063000648148,0.1820586111111111,0.06782197989431711,0.489012180401798
logistic_regression,wild_b,13,16,9,global_unrestricted_random,a42d5ff203923519,0.5829313461111111,0.3014575,0.38513174262625977,0.3881095372015297
logistic_regression,wild_b,13,32,0,global_unrestricted_random,8f19d23dcb28a3d0,0.8777162681481481,0.10890944444444443,0.00822835569560865,0.6363814595929876
logistic_regression,wild_b,13,32,1,global_unrestricted_random,45869c8c970cf57d,0.8684722133333334,0.14466055555555557,0.04451632070423519,0.6045861115205644
logistic_regression,wild_b,13,32,2,global_unrestricted_random,3b7f0615e0c6e7ba,0.7954940220370371,0.13286222222222224,0.2655458299407924,0.631701971774213
logistic_regression,wild_b,13,32,3,global_unrestricted_random,b2eb3433eaa0f389,0.8473881768518519,0.11710194444444445,0.04978624648461535,0.627621035962811
logistic_regression,wild_b,13,32,4,global_unrestricted_random,9373a67d93547ab2,0.8208524525925925,0.20198888888888888,0.07752038774798722,0.5110972198703398
logistic_regression,wild_b,13,32,5,global_unrestricted_random,953c6111cc4c0eb8,0.9072658501851851,0.10784500000000001,1.1561901932894981e-05,0.6189874482680972
logistic_regression,wild_b,13,32,6,global_unrestricted_random,22fc6ac0871d8da5,0.8278318885185186,0.12710972222222222,0.0061245886263509896,0.6324605594026259
logistic_regression,wild_b,13,32,7,global_unrestricted_random,ecbb43faa24ae1e9,0.8609530203703706,0.1304477777777778,0.00024567690869560396,0.6188789303755552
logistic_regression,wild_b,13,32,8,global_unrestricted_random,3d2cf402339f65ce,0.7960049688888889,0.1869422222222222,0.3541974555093516,0.5647630189570537
logistic_regression,wild_b,13,32,9,global_unrestricted_random,d35c998234c04a3c,0.8569112694444444,0.15030722222222223,0.038341396297230136,0.5753319627140427
logistic_regression,wild_b,13,64,0,global_unrestricted_random,87e4f39c001eb8b1,0.8792957625925926,0.10071888888888887,0.0013200364145125037,0.6532469139806191
logistic_regression,wild_b,13,64,1,global_unrestricted_random,88b90804bf1e2305,0.8608861742592593,0.10825805555555557,0.38044376923458106,0.6597564538528645
logistic_regression,wild_b,13,64,2,global_unrestricted_random,3710d38e582b6b8d,0.8982853253703702,0.0931411111111111,0.1853274119974474,0.6657814623173395
logistic_regression,wild_b,13,64,3,global_unrestricted_random,1e5638a1f12bfb76,0.8216379590740742,0.11206111111111113,0.19474988677181337,0.6618206857866835
logistic_regression,wild_b,13,64,4,global_unrestricted_random,9633bb6bb351ee8b,0.8767104303703704,0.11240277777777778,0.13726178541670694,0.6496525916568963
logistic_regression,wild_b,13,64,5,global_unrestricted_random,d7d8894196bc2a0a,0.9061163368518517,0.10427527777777777,0.262814513275133,0.654923204342695
logistic_regression,wild_b,13,64,6,global_unrestricted_random,eb5bb34305867e0f,0.8790281342592593,0.11048722222222224,0.18609732106040888,0.6548151665279766
logistic_regression,wild_b,13,64,7,global_unrestricted_random,2c1ad86f46ed6e1f,0.875801067037037,0.09628083333333333,0.014892816283290951,0.672745091322736
logistic_regression,wild_b,13,64,8,global_unrestricted_random,903c01eb2f4e320b,0.8890759083333334,0.09537888888888889,0.005566588880401179,0.6557567582647639
logistic_regression,wild_b,13,64,9,global_unrestricted_random,53093f29e38b0d40,0.9181523885185184,0.08468333333333333,0.007881802880868167,0.6785920916849334
logistic_regression,wild_b,17,16,0,global_unrestricted_random,59e089b19f2a92f1,0.6540233436111111,0.3236833333333333,0.29361184572512466,0.4207885592069225
logistic_regression,wild_b,17,16,1,global_unrestricted_random,72322ff138e23767,0.6051774250925926,0.4284711111111111,0.2382158515051367,0.2005949307865306
logistic_regression,wild_b,17,16,2,global_unrestricted_random,d2d07c5fb6f0bd3a,0.8067129357407407,0.20951750000000002,0.22493038440765953,0.516644014561695
logistic_regression,wild_b,17,16,3,global_unrestricted_random,370e5d78f3d0e66e,0.6705532119444445,0.3250091666666666,0.17532766322240825,0.4245717990498214
logistic_regression,wild_b,17,16,4,global_unrestricted_random,fa98c227cc4ffe28,0.8107013338888889,0.2016211111111111,0.0017957466484256385,0.5064454254936163
logistic_regression,wild_b,17,16,5,global_unrestricted_random,02b432db504c12d7,0.7285977273148148,0.2334261111111111,0.049364925500516084,0.3873707561132553
logistic_regression,wild_b,17,16,6,global_unrestricted_random,8d07138fdfbd87f0,0.701899613611111,0.360845,0.5819652979696106,0.33885762133761615
logistic_regression,wild_b,17,16,7,global_unrestricted_random,408bcb346b239a62,0.8339388225,0.24282666666666666,0.011058002708972616,0.4040339637147929
logistic_regression,wild_b,17,16,8,global_unrestricted_random,652f65a0554d7afb,0.7189577496296297,0.24742166666666665,0.19321205577367875,0.41442200355819375
logistic_regression,wild_b,17,16,9,global_unrestricted_random,8809976dff18c218,0.7036441395370371,0.21057944444444443,0.2091633861241464,0.5246155099468398
logistic_regression,wild_b,17,32,0,global_unrestricted_random,4bc412d4d0d987a6,0.7735529162962963,0.1984572222222222,0.13050523418674234,0.5409490580634007
logistic_regression,wild_b,17,32,1,global_unrestricted_random,d6387f66caec5272,0.6919711255555555,0.12518333333333334,0.01498525115521355,0.6565394679855738
logistic_regression,wild_b,17,32,2,global_unrestricted_random,67858531ee7b85df,0.8735211716666665,0.12183722222222222,0.03112786271034779,0.6273070104511699
logistic_regression,wild_b,17,32,3,global_unrestricted_random,d193250856162cb5,0.7159006522222221,0.13040055555555555,0.5319122046317571,0.6405742192598675
logistic_regression,wild_b,17,32,4,global_unrestricted_random,78f173d143c1d1d5,0.8230579872222221,0.14611583333333333,0.19962547845875853,0.5718496679399445
logistic_regression,wild_b,17,32,5,global_unrestricted_random,5f55187c2ef02684,0.8377248992592593,0.11264611111111111,0.02445835767758181,0.6563105648079627
logistic_regression,wild_b,17,32,6,global_unrestricted_random,dea883e81a46ffc3,0.7952002568518518,0.14015527777777778,0.05525422989372741,0.5884739240165745
logistic_regression,wild_b,17,32,7,global_unrestricted_random,700dd4b79264b6a9,0.7972925448148148,0.16066222222222223,0.3172219559525575,0.5694882696062084
logistic_regression,wild_b,17,32,8,global_unrestricted_random,9fad0e3017be8f48,0.8290524440740742,0.1466352777777778,0.0011401691705686375,0.6150795977673308
logistic_regression,wild_b,17,32,9,global_unrestricted_random,99c492cd28bc560d,0.778085009814815,0.16773166666666664,0.06280617083496064,0.5933629423866565
logistic_regression,wild_b,17,64,0,global_unrestricted_random,56080d2ef0b3b7ff,0.8921410572222221,0.11309694444444442,0.1020647705422378,0.6562113423839194
logistic_regression,wild_b,17,64,1,global_unrestricted_random,f6e6c82e4da6ca45,0.889334566851852,0.10057194444444444,0.31823340158416374,0.6585637463758173
logistic_regression,wild_b,17,64,2,global_unrestricted_random,ea34b80a0b35a6a0,0.8673736870370369,0.10509833333333334,1.0960073632966237e-05,0.6440126162109339
logistic_regression,wild_b,17,64,3,global_unrestricted_random,4239834d96a8b391,0.8295334720370371,0.11596944444444446,0.27566888889003094,0.6553357928516838
logistic_regression,wild_b,17,64,4,global_unrestricted_random,957168b44afdf61b,0.8675488624074075,0.11170333333333332,0.06742792773680713,0.6551852209272686
logistic_regression,wild_b,17,64,5,global_unrestricted_random,307010a2d3769f8f,0.8758169190740741,0.10148527777777777,0.01874260383595496,0.6582689783222512
logistic_regression,wild_b,17,64,6,global_unrestricted_random,af1d9cd876eb252a,0.9388843687037037,0.09598722222222222,0.16814496677973842,0.6453438497333882
logistic_regression,wild_b,17,64,7,global_unrestricted_random,cd158c5b008af627,0.8873556294444445,0.11078222222222221,0.22419894615834568,0.6497292000605465
logistic_regression,wild_b,17,64,8,global_unrestricted_random,1ce061403496defd,0.9246271612962963,0.10030638888888889,0.0011442861118814045,0.6312424855668551
logistic_regression,wild_b,17,64,9,global_unrestricted_random,826417433031e6b9,0.8834124955555556,0.09698055555555556,0.007596321164814647,0.6768325540500858
logistic_regression,wild_b,23,16,0,global_unrestricted_random,b0a1bc35fb05ad7e,0.6789917249999999,0.2141408333333333,0.016982943173567827,0.5626210714307124
logistic_regression,wild_b,23,16,1,global_unrestricted_random,53a4d865dfad79df,0.6022015687037037,0.33901583333333335,0.033405004425615566,0.33436891897845245
logistic_regression,wild_b,23,16,2,global_unrestricted_random,bfd0c066c10d41b9,0.599804185462963,0.1716797222222222,1.3571680392064004e-09,0.6267795169395511
logistic_regression,wild_b,23,16,3,global_unrestricted_random,8c38204fc784d533,0.6689587222222221,0.3428855555555556,0.1101640141420223,0.3779203751649804
logistic_regression,wild_b,23,16,4,global_unrestricted_random,5e4aa04bed5f880d,0.7287368748148149,0.1652972222222222,0.12039660968236181,0.5839532474290753
logistic_regression,wild_b,23,16,5,global_unrestricted_random,1b1343864039d762,0.7247433907407408,0.27485472222222224,0.12442299395772825,0.45754524299731153
logistic_regression,wild_b,23,16,6,global_unrestricted_random,280b949eafd46dd0,0.7977781252777777,0.24729166666666666,0.11659064806764341,0.4568685528302972
