model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
logistic_regression,wild_b,17,imports,16,auc,0.681915190462963,0.723420630287037,-0.04150543982407395
logistic_regression,wild_b,17,imports,16,mix_at_10,0.36880030555555554,0.2783401111111111,0.09046019444444442
logistic_regression,wild_b,17,imports,16,js_divergence,0.05992666796489848,0.1978645159585679,-0.13793784799366943
logistic_regression,wild_b,17,imports,16,same_family_rate_at_10,0.3096871019650196,0.41383445837692834,-0.10414735641190875
logistic_regression,wild_b,17,imports,32,auc,0.7410603030555555,0.7915359007777777,-0.05047559772222221
logistic_regression,wild_b,17,imports,32,mix_at_10,0.28945180555555555,0.14498247222222221,0.14446933333333334
logistic_regression,wild_b,17,imports,32,js_divergence,0.06749013876000046,0.13690369146722153,-0.06941355270722108
logistic_regression,wild_b,17,imports,32,same_family_rate_at_10,0.4598537217701474,0.6059934722284689,-0.1461397504583215
logistic_regression,wild_b,17,imports,64,auc,0.7721111213333335,0.885602821962963,-0.11349170062962954
logistic_regression,wild_b,17,imports,64,mix_at_10,0.24870111111111112,0.10519816666666666,0.14350294444444445
logistic_regression,wild_b,17,imports,64,js_divergence,0.06690381648397051,0.11832330728776078,-0.05141949080379027
logistic_regression,wild_b,17,imports,64,same_family_rate_at_10,0.524436616642138,0.653072578648275,-0.12863596200613692
logistic_regression,wild_b,17,section,16,auc,0.7255916934351851,0.723420630287037,0.002171063148148189
logistic_regression,wild_b,17,section,16,mix_at_10,0.17325225,0.2783401111111111,-0.10508786111111112
logistic_regression,wild_b,17,section,16,js_divergence,0.1584069866009531,0.1978645159585679,-0.03945752935761482
logistic_regression,wild_b,17,section,16,same_family_rate_at_10,0.5689848360321562,0.41383445837692834,0.15515037765522788
logistic_regression,wild_b,17,section,32,auc,0.7937940373148149,0.7915359007777777,0.002258136537037214
logistic_regression,wild_b,17,section,32,mix_at_10,0.1289511111111111,0.14498247222222221,-0.016031361111111114
logistic_regression,wild_b,17,section,32,js_divergence,0.18580995535337483,0.13690369146722153,0.048906263886153295
logistic_regression,wild_b,17,section,32,same_family_rate_at_10,0.623781493876045,0.6059934722284689,0.01778802164757609
logistic_regression,wild_b,17,section,64,auc,0.8736684211296295,0.885602821962963,-0.011934400833333525
logistic_regression,wild_b,17,section,64,mix_at_10,0.08142897222222222,0.10519816666666666,-0.023769194444444447
logistic_regression,wild_b,17,section,64,js_divergence,0.12755468245084162,0.11832330728776078,0.00923137516308084
logistic_regression,wild_b,17,section,64,same_family_rate_at_10,0.678682435302622,0.653072578648275,0.025609856654347007
logistic_regression,wild_b,17,strings,16,auc,0.7946610875833333,0.723420630287037,0.07124045729629636
