model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
logistic_regression,wild_b,17,section,32,js_divergence,0.18580995535337483,0.7,10
logistic_regression,wild_b,17,section,32,same_family_rate_at_10,0.623781493876045,0.6,10
logistic_regression,wild_b,17,section,64,auc,0.8736684211296295,0.3,10
logistic_regression,wild_b,17,section,64,mix_at_10,0.08142897222222222,0.0,10
logistic_regression,wild_b,17,section,64,js_divergence,0.12755468245084162,0.6,10
logistic_regression,wild_b,17,section,64,same_family_rate_at_10,0.678682435302622,1.0,10
logistic_regression,wild_b,17,strings,16,auc,0.7946610875833333,0.7,10
logistic_regression,wild_b,17,strings,16,mix_at_10,0.13710030555555558,0.0,10
logistic_regression,wild_b,17,strings,16,js_divergence,0.013181379721455586,0.2,10
logistic_regression,wild_b,17,strings,16,same_family_rate_at_10,0.5916209065114385,1.0,10
logistic_regression,wild_b,17,strings,32,auc,0.8298602535,0.8,10
logistic_regression,wild_b,17,strings,32,mix_at_10,0.11440919444444446,0.1,10
logistic_regression,wild_b,17,strings,32,js_divergence,0.009729019570412192,0.1,10
logistic_regression,wild_b,17,strings,32,same_family_rate_at_10,0.6252734675332141,0.6,10
logistic_regression,wild_b,17,strings,64,auc,0.8760619999629631,0.4,10
logistic_regression,wild_b,17,strings,64,mix_at_10,0.09956486111111111,0.2,10
logistic_regression,wild_b,17,strings,64,js_divergence,0.02551127272373535,0.4,10
logistic_regression,wild_b,17,strings,64,same_family_rate_at_10,0.6358216272289828,0.1,10
logistic_regression,wild_b,23,header,16,auc,0.8773442140694445,1.0,10
logistic_regression,wild_b,23,header,16,mix_at_10,0.11564424999999998,0.0,10
logistic_regression,wild_b,23,header,16,js_divergence,0.11896963086418617,0.7,10
logistic_regression,wild_b,23,header,16,same_family_rate_at_10,0.6487946231652714,1.0,10
logistic_regression,wild_b,23,header,32,auc,0.9230101505740741,1.0,10
logistic_regression,wild_b,23,header,32,mix_at_10,0.08472452777777778,0.0,10
logistic_regression,wild_b,23,header,32,js_divergence,0.09208394234200436,0.5,10
logistic_regression,wild_b,23,header,32,same_family_rate_at_10,0.6932094665731842,1.0,10
logistic_regression,wild_b,23,header,64,auc,0.9418459276666666,1.0,10
logistic_regression,wild_b,23,header,64,mix_at_10,0.07231466666666667,0.0,10
logistic_regression,wild_b,23,header,64,js_divergence,0.09288642337786145,0.5,10
logistic_regression,wild_b,23,header,64,same_family_rate_at_10,0.7054614473544956,1.0,10
logistic_regression,wild_b,23,imports,16,auc,0.6849038857222223,0.6,10
logistic_regression,wild_b,23,imports,16,mix_at_10,0.35921425,1.0,10
logistic_regression,wild_b,23,imports,16,js_divergence,0.05162930948161241,0.5,10
logistic_regression,wild_b,23,imports,16,same_family_rate_at_10,0.3390628586182413,0.1,10
logistic_regression,wild_b,23,imports,32,auc,0.7348627093518518,0.1,10
logistic_regression,wild_b,23,imports,32,mix_at_10,0.29585733333333336,1.0,10
logistic_regression,wild_b,23,imports,32,js_divergence,0.07708134432185557,0.4,10
logistic_regression,wild_b,23,imports,32,same_family_rate_at_10,0.4593957873790783,0.0,10
logistic_regression,wild_b,23,imports,64,auc,0.775563781537037,0.0,10
logistic_regression,wild_b,23,imports,64,mix_at_10,0.24594286111111113,1.0,10
logistic_regression,wild_b,23,imports,64,js_divergence,0.06944220182457239,0.5,10
logistic_regression,wild_b,23,imports,64,same_family_rate_at_10,0.5267865656723537,0.0,10
logistic_regression,wild_b,23,section,16,auc,0.7589520686851852,0.8,10
logistic_regression,wild_b,23,section,16,mix_at_10,0.1991481388888889,0.3,10
logistic_regression,wild_b,23,section,16,js_divergence,0.21189634546796174,0.9,10
logistic_regression,wild_b,23,section,16,same_family_rate_at_10,0.5076169403158659,0.6,10
logistic_regression,wild_b,23,section,32,auc,0.8046161488518517,0.5,10
logistic_regression,wild_b,23,section,32,mix_at_10,0.11147297222222222,0.0,10
logistic_regression,wild_b,23,section,32,js_divergence,0.19401600576744865,0.5,10
logistic_regression,wild_b,23,section,32,same_family_rate_at_10,0.641129014696423,1.0,10
logistic_regression,wild_b,23,section,64,auc,0.8642583100185185,0.4,10
logistic_regression,wild_b,23,section,64,mix_at_10,0.0844541111111111,0.0,10
logistic_regression,wild_b,23,section,64,js_divergence,0.11420902920907165,0.5,10
logistic_regression,wild_b,23,section,64,same_family_rate_at_10,0.6706268248633249,1.0,10
logistic_regression,wild_b,23,strings,16,auc,0.7682235142407409,0.8,10
logistic_regression,wild_b,23,strings,16,mix_at_10,0.13316450000000002,0.0,10
logistic_regression,wild_b,23,strings,16,js_divergence,0.021430609142909268,0.3,10
logistic_regression,wild_b,23,strings,16,same_family_rate_at_10,0.5996354715771096,0.9,10
logistic_regression,wild_b,23,strings,32,auc,0.8346727412222222,0.7,10
logistic_regression,wild_b,23,strings,32,mix_at_10,0.11077522222222222,0.0,10
logistic_regression,wild_b,23,strings,32,js_divergence,0.01560239583781362,0.3,10
logistic_regression,wild_b,23,strings,32,same_family_rate_at_10,0.627500302919881,0.9,10
logistic_regression,wild_b,23,strings,64,auc,0.879667992314815,0.6,10
logistic_regression,wild_b,23,strings,64,mix_at_10,0.09626161111111112,0.1,10
logistic_regression,wild_b,23,strings,64,js_divergence,0.025967102926924855,0.3,10
logistic_regression,wild_b,23,strings,64,same_family_rate_at_10,0.6430384365571248,0.3,10
logistic_regression,wild_b,29,header,16,auc,0.8836017406759259,0.9,10
logistic_regression,wild_b,29,header,16,mix_at_10,0.11840519444444444,0.0,10
logistic_regression,wild_b,29,header,16,js_divergence,0.08871191992951592,0.8,10
logistic_regression,wild_b,29,header,16,same_family_rate_at_10,0.6515683049827506,1.0,10
logistic_regression,wild_b,29,header,32,auc,0.9111863927407405,1.0,10
logistic_regression,wild_b,29,header,32,mix_at_10,0.09310308333333334,0.0,10
logistic_regression,wild_b,29,header,32,js_divergence,0.10587690286421195,0.8,10
logistic_regression,wild_b,29,header,32,same_family_rate_at_10,0.677323669714742,1.0,10
logistic_regression,wild_b,29,header,64,auc,0.9442698369814815,1.0,10
logistic_regression,wild_b,29,header,64,mix_at_10,0.07179708333333333,0.0,10
logistic_regression,wild_b,29,header,64,js_divergence,0.09476460652437814,0.4,10
logistic_regression,wild_b,29,header,64,same_family_rate_at_10,0.7049357850529321,1.0,10
logistic_regression,wild_b,29,imports,16,auc,0.6812833260925926,0.1,10
logistic_regression,wild_b,29,imports,16,mix_at_10,0.3629324722222222,1.0,10
