Selection,Delta AUC (Imp),Delta AUC (Rand),M->B Rate (Imp),M->B Rate (Rand),Signed Shift (Imp),Signed Shift (Rand),Flip Rate (Imp),Flip Rate (Rand)
1%,0.027,-0.001,0.024,0.008,0.062,-0.001,0.152,0.022
5%,-0.006,-0.014,0.071,0.032,-0.028,-0.015,0.154,0.068
10%,-0.072,-0.023,0.157,0.052,-0.111,-0.025,0.193,0.099
