seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,180000,1,0.9927328823491701,0.9917717184591847,0.0009611638899854613,0.0009611638899854613,0.0257,0.01138888888888889,0.0,0.045321896002829855,0.0,0.05191058715497256,0.05191058715497256,-0.03492617543813799
13,header,mid_density,important,0.01,0,360000,1,0.9375003709423121,0.8045259915455243,0.1329743793967878,0.1329743793967878,0.2560277777777778,0.23498333333333332,0.0,0.35084357736525157,0.0,0.2227181995200716,0.2227181995200716,-0.11701143458992301
13,header,low_density,important,0.01,0,180000,1,0.883907949734394,0.7736003663664744,0.11030758336791957,0.11030758336791957,0.1865777777777778,0.15155555555555555,0.0,0.37039048498343563,0.0,0.1394196178985606,0.1394196178985606,-0.03778756441984195
13,header,high_density,random,0.01,1,180000,1,0.9927328823491701,0.9929561675874138,-0.00022328523824366453,-0.00022328523824366453,0.0,0.0,0.0,0.0,0.0,0.0040116106577254285,0.0040116106577254285,0.0033763385498476305
13,header,mid_density,random,0.01,1,360000,1,0.9375003709423121,0.9376714649003978,-0.0001710939580856774,-0.0001710939580856774,0.008555555555555556,0.004894444444444444,0.0,0.007307685927105625,0.0,0.007940739152733021,0.007940739152733021,0.0007814699586746886
13,header,low_density,random,0.01,1,180000,1,0.883907949734394,0.8818784900405086,0.0020294596938854603,0.0020294596938854603,0.009488888888888889,0.004277777777777778,0.0,0.01045457014066149,0.0,0.008848698006627301,0.008848698006627301,0.001523658594719729
13,header,high_density,random,0.01,2,180000,1,0.9927328823491701,0.9926480032884717,8.487906069842843e-05,8.487906069842843e-05,0.007488888888888889,0.0,0.006277777777777778,0.0,0.008384779769678262,0.02110758910054485,-0.02110758910054485,-0.008262955632600991
13,header,mid_density,random,0.01,2,360000,1,0.9375003709423121,0.9376195487451616,-0.00011917780284953494,-0.00011917780284953494,0.03206111111111111,0.0,0.020133333333333333,0.0,0.06096699303522762,0.0313807306093208,-0.0313807306093208,0.004410300684451191
13,header,low_density,random,0.01,2,180000,1,0.883907949734394,0.8840047796712462,-9.68299368522274e-05,-9.68299368522274e-05,0.04561111111111111,0.0,0.027922222222222223,0.0,0.047259939067965544,0.037416445702392595,-0.037416445702392595,-0.0035893485791521043
13,header,high_density,random,0.01,3,180000,1,0.9927328823491701,0.9906477927102888,0.002085089638881321,0.002085089638881321,0.022477777777777777,0.013622222222222223,0.0,0.054209409267775024,0.0,0.013536962292994937,0.013536962292994937,-0.004557950043883498
13,header,mid_density,random,0.01,3,360000,1,0.9375003709423121,0.9385864434243356,-0.0010860724820235257,-0.0010860724820235257,0.011494444444444444,0.003911111111111111,0.0,0.005839512931535029,0.0,0.013036059757781741,0.013036059757781741,-0.006158701360603676
13,header,low_density,random,0.01,3,180000,1,0.883907949734394,0.8813093290123487,0.0025986207220453084,0.0025986207220453084,0.03027777777777778,0.009233333333333333,0.0,0.022565578667245966,0.0,0.0165969443140551,0.0165969443140551,-0.00047743645727268014
13,header,high_density,random,0.01,4,180000,1,0.9927328823491701,0.9925517899150803,0.00018109243408981346,0.00018109243408981346,0.27494444444444444,0.2351111111111111,0.0,0.935620799434029,0.0,0.2954435935473022,0.2954435935473022,0.07967994072494347
13,header,mid_density,random,0.01,4,360000,1,0.9375003709423121,0.9345907002839318,0.0029096706583803256,0.0029096706583803256,0.6765444444444444,0.5992944444444445,0.0,0.8947809353174405,0.0,0.6602076166946722,0.6602076166946722,0.12490047596748755
13,header,low_density,random,0.01,4,180000,1,0.883907949734394,0.8747001019909386,0.0092078477434554,0.0092078477434554,0.42777777777777776,0.3097666666666667,0.0,0.7570466518220822,0.0,0.4457943584198411,0.4457943584198411,0.1557101194610645
13,header,high_density,random,0.01,5,180000,1,0.9927328823491701,0.9926493386283856,8.35437207845624e-05,8.35437207845624e-05,0.03325555555555555,0.014055555555555556,0.0,0.055933852140077824,0.0,0.028081786349395416,0.028081786349395416,0.012243374965605494
13,header,mid_density,random,0.01,5,360000,1,0.9375003709423121,0.9374115648479984,8.880609431372033e-05,8.880609431372033e-05,0.043255555555555554,0.024261111111111112,0.0,0.036223228653428224,0.0,0.049717228587115955,0.049717228587115955,-0.005866564793476271
13,header,low_density,random,0.01,5,180000,1,0.883907949734394,0.8840912004830855,-0.00018325074869152136,-0.00018325074869152136,0.06274444444444445,0.0255,0.0,0.06232009992939771,0.0,0.05536064776948391,0.05536064776948391,0.008822580109512961
13,header,high_density,random,0.01,6,180000,1,0.9927328823491701,0.9917717184591847,0.0009611638899854613,0.0009611638899854613,0.0257,0.01138888888888889,0.0,0.045321896002829855,0.0,0.05191058715497256,0.05191058715497256,-0.03492617543813799
13,header,mid_density,random,0.01,6,360000,1,0.9375003709423121,0.8045259915455243,0.1329743793967878,0.1329743793967878,0.2560277777777778,0.23498333333333332,0.0,0.35084357736525157,0.0,0.2227181995200716,0.2227181995200716,-0.11701143458992301
13,header,low_density,random,0.01,6,180000,1,0.883907949734394,0.7736003663664744,0.11030758336791957,0.11030758336791957,0.1865777777777778,0.15155555555555555,0.0,0.37039048498343563,0.0,0.1394196178985606,0.1394196178985606,-0.03778756441984195
13,header,high_density,random,0.01,7,180000,1,0.9927328823491701,0.9927328823491701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,mid_density,random,0.01,7,360000,1,0.9375003709423121,0.9374971385496792,3.232392632890324e-06,3.232392632890324e-06,0.0,0.0,0.0,0.0,0.0,1.3709076210199283e-05,1.3709076210199283e-05,-1.3709076210199278e-05
13,header,low_density,random,0.01,7,180000,1,0.883907949734394,0.8839131269756922,-5.177241298226498e-06,-5.177241298226498e-06,4.4444444444444447e-05,2.2222222222222223e-05,0.0,5.430945527616358e-05,0.0,3.7651177688418384e-05,3.7651177688418384e-05,-1.6725705762657354e-05
