density_bin,feature_group,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
high_density,all,5,0.9977127982658918,0.00015898118774630604,0.9974074514785447,0.9978516157549407,0.015142666666666669,0.00035088910878889836,0.014503333333333333,0.015500833333333337,0.0632683866267916,0.0005999365805440778,0.06221788613299184,0.06391516464813053
high_density,header,5,0.9964506672677919,0.00021202636608356681,0.9960381732382447,0.9966081069371254,0.021841000000000003,0.0003926612902857765,0.021479166666666667,0.02260583333333334,0.06288498756728275,0.0005895155491931317,0.061845817740246584,0.06353043267861179
high_density,imports,5,0.9315357105947811,0.008099128789611628,0.9200147808486767,0.9442580220363983,0.14302800000000002,0.02485364686855164,0.10834250000000001,0.16475250000000002,0.05575379793583548,0.0007977190105425531,0.054750304970657,0.05676738821094904
high_density,section,5,0.9952458896260026,0.000647843779783827,0.9943962036946207,0.9962736798145719,0.022387666666666663,0.0006653535818562108,0.021377499999999997,0.023209166666666666,0.038053034205389344,0.0022137488994275387,0.035436862615648684,0.04205147716280402
high_density,strings,5,0.9955464308103814,0.00016214384754607565,0.9953977677412281,0.9958211479423011,0.017654166666666665,0.0003975861192524468,0.016942500000000003,0.01811083333333333,0.00046612088670680405,3.0345391925470104e-05,0.0004077888104247221,0.0004934813472064052
low_density,all,5,0.9866748947982862,0.00045099567731927227,0.9861680907270358,0.9873417330592057,0.08253652942614367,0.0008420963693771057,0.08120916666666667,0.08352666666666665,0.08146267494433851,0.0010246884530158492,0.07958357615352349,0.08241497253204386
low_density,header,5,0.9527295713734147,0.0008437225989309218,0.9511961405028279,0.9536857164686152,0.08285719526226171,0.00029301004537205655,0.08252833333333333,0.0833875,0.08024597818792759,0.001022413511623448,0.07834225773346795,0.08111633158394896
low_density,imports,5,0.9283413299879113,0.0011136044774539818,0.9271369218235521,0.9303141687944532,0.13046795134068329,0.001537449306659555,0.12842916666666668,0.13261999999999996,0.018573349574781767,0.00019182768011882375,0.01827408688035289,0.018801676535850877
low_density,section,5,0.9702508950383273,0.0005084544620356167,0.9693856721967854,0.9708301648807038,0.07297871127740603,0.0005020166074359434,0.07205833333333334,0.0734675,0.20948902817017417,0.012311672049269248,0.1883834201506871,0.22307682931553252
low_density,strings,5,0.9510334598804906,0.0017264249638830284,0.9493524113731818,0.9531952250815239,0.1081141518542901,0.0009189995357039715,0.10708666666666665,0.10936000000000003,0.0005061337454070195,6.645905402000351e-05,0.0004095826168232793,0.0005917808405914214
mid_density,all,5,0.9936383531499222,0.00020682439443310308,0.9933312149050091,0.9939788898939572,0.04305261948522007,0.0002749360458746669,0.042648750000000006,0.04338226409276705,0.08157543761512857,0.0004163509300831627,0.08093986804951836,0.08224485098862326
mid_density,header,5,0.9814250013744127,0.000526980638739326,0.9807459467808568,0.9821719504883489,0.04956745788836621,0.00025494633145355604,0.049289166666666676,0.050019583333333346,0.08137495523902319,0.0004264013539413416,0.08072126466078759,0.08204900844469762
mid_density,imports,5,0.9401784987271598,0.001101998573988352,0.9390031789527311,0.9419989627638092,0.1366402827977061,0.0014688282582440472,0.135265,0.13935724732186383,0.04330946808770535,0.000331036322553584,0.042731584032501976,0.04376549775098321
mid_density,section,5,0.9857172168923171,0.00016730188555772756,0.9855141605003795,0.985938061941389,0.04475178710154347,0.00038498039539011474,0.044210833333333324,0.045265416666666655,0.1021926794959801,0.0022906296211560977,0.09957528524667586,0.10556873878611303
mid_density,strings,5,0.9739955920412949,0.0007831284956216287,0.9732288890965815,0.9751142170025319,0.06206313490750657,0.0004876028245976765,0.061379166666666665,0.06277083333333335,0.00018658312386835138,1.4768078307768805e-05,0.00017321419161956466,0.00021344913626358163
