seed,test_week,feature_group,mix_k,input_dim,train_size,val_size,test_size,best_epoch,epochs_ran,best_val_auc,test_auc,test_acc,test_f1,test_positive_rate,mix_at_k,silhouette,js_divergence
13,2024-10-27_2024-11-02,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.91476729375,0.84315,0.8248073271529096,0.3953,0.18568,0.02306174300611019,0.03258029592321232
13,2024-10-27_2024-11-02,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.9655323749999999,0.903275,0.9002397957868138,0.469575,0.10581,0.0391608402132988,0.00042737403093489793
13,2024-11-03_2024-11-09,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.9876526775000001,0.9393,0.9372350325716058,0.4671,0.0735425,0.03187017887830734,0.0615022047632488
13,2024-11-03_2024-11-09,header,10,74,32000,8000,40000,33,38,0.979370875,0.97873957375,0.9225,0.9198510781322716,0.46695,0.073565,0.08356274664402008,0.061188087026957175
13,2024-11-03_2024-11-09,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.97211792,0.90615,0.9035011053416276,0.47255,0.07647,0.0605187863111496,0.0940073085702035
13,2024-11-03_2024-11-09,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.9314172337500001,0.88075,0.8733404142326076,0.4415,0.1431925,0.025795646011829376,0.03469842090958752
13,2024-11-03_2024-11-09,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.9663891175,0.906725,0.9045804455129025,0.477525,0.1015075,0.04868627339601517,0.000490138438995385
13,2024-11-10_2024-11-16,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.98396516,0.9294,0.9264774798229628,0.46025,0.0785175,0.0312504805624485,0.07055074044627274
13,2024-11-10_2024-11-16,header,10,74,32000,8000,40000,33,38,0.979370875,0.9780900087500001,0.91245,0.9085305333542287,0.45715,0.0808175,0.0950373038649559,0.07004058014335401
13,2024-11-10_2024-11-16,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.972934005,0.905125,0.9014976509980014,0.463175,0.0794175,0.05982585623860359,0.102553098166581
13,2024-11-10_2024-11-16,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.9165412337499999,0.8684,0.8569176406632237,0.41975,0.1702075,0.024126766249537468,0.02804438915444707
13,2024-11-10_2024-11-16,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.967080635,0.90115,0.8975329117860474,0.4647,0.102375,0.04698130115866661,0.0004310328108984721
13,2024-11-17_2024-11-23,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.9823148025,0.915925,0.9108028538843063,0.442575,0.079755,0.03031730279326439,0.08030688085273886
13,2024-11-17_2024-11-23,header,10,74,32000,8000,40000,33,38,0.979370875,0.97362654125,0.89415,0.886530524736024,0.43285,0.082725,0.1023901030421257,0.07952495163018608
13,2024-11-17_2024-11-23,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.9679236475,0.892875,0.8875711699420146,0.452825,0.081115,0.06676481664180756,0.13981396543872673
13,2024-11-17_2024-11-23,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.91448891375,0.8642,0.850924858664032,0.41095,0.169065,0.021362019702792168,0.02421196264680528
13,2024-11-17_2024-11-23,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.9606009124999999,0.890025,0.8843859234145444,0.451225,0.1046425,0.04387139156460762,0.0009452682266101143
