feature_group,mix_k,n_rows,test_auc_mean,test_auc_std,test_auc_min,test_auc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_positive_rate_mean,test_positive_rate_std,test_positive_rate_min,test_positive_rate_max,mix_at_k_mean,mix_at_k_std,mix_at_k_min,mix_at_k_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
all,10,60,0.9866504667499999,0.003214055947221211,0.981087005,0.9925865237500001,0.9394895833333333,0.010227108881614051,0.915925,0.955125,0.9376051464483534,0.011068520848859276,0.9108028538843063,0.9541448460850683,0.47116875,0.0091596267948445,0.442575,0.484875,0.07687641666666667,0.004714552081204415,0.06764,0.08349,0.0392765110048155,0.01759334472251434,0.020135480910539627,0.08414393663406372,0.08203745022951955,0.012500420462649141,0.06064969021501569,0.10109806106333613
header,10,60,0.9766372390000002,0.006535837209648923,0.9605036524999999,0.9864446725,0.9138512500000001,0.01521869151255017,0.88735,0.93755,0.9102977415181664,0.017022749737622633,0.8816390858944051,0.9364279533771059,0.46286791666666666,0.015521466379707458,0.423725,0.4871,0.07890337499999998,0.005499192342687697,0.0683525,0.08666,0.11728384246428808,0.038987141439618206,0.0682692602276802,0.20270007848739624,0.08158102838046158,0.01262034812097472,0.06035469125537132,0.10080397314125852
imports,10,60,0.9242543407916667,0.011320839568022541,0.892984115,0.940414925,0.8657529166666668,0.015733912479409643,0.825125,0.89405,0.8534224820420883,0.02040275838696629,0.7987918883934992,0.8867692636528802,0.41849125,0.020830049820411697,0.369025,0.452625,0.1706696666666667,0.02309826118305349,0.1323825,0.23,0.035571678820997474,0.015890787074986177,0.02129301242530346,0.07814131677150726,0.03721578965291339,0.007908935329942416,0.02390193354153535,0.053917900403113166
section,10,60,0.9756383944374999,0.006013402703307913,0.96642412125,0.9853003362500001,0.9109,0.011377214070237054,0.892875,0.9304,0.9070476123176634,0.012239706704965622,0.886757049604905,0.9282769991755977,0.45908000000000004,0.007403527875276755,0.4454,0.47295,0.07957279166666668,0.004511626464195653,0.07134,0.0882025,0.07375152918199698,0.018164829692640133,0.052331291139125824,0.11719819158315659,0.11788678586013551,0.03849180036671445,0.06397049816122019,0.23417991120241338
strings,10,60,0.9701628858541667,0.007824334168119559,0.9555968612500001,0.98362412375,0.9064141666666665,0.014482491848397113,0.87675,0.936125,0.9030511568535567,0.015673080214640298,0.867984147386461,0.9346129238643635,0.4664183333333333,0.011653828829568797,0.4336,0.4872,0.09933437500000002,0.006239537085944357,0.085605,0.1078625,0.05086009272684654,0.014254763048120222,0.031676873564720154,0.0840781107544899,0.0004943524296359216,0.00019966908082129665,0.00026105276929801516,0.0010678721289805282
