seed,test_week,feature_group,auc_rank,mix_at_k_rank,silhouette_rank,js_divergence_rank
2024,2024-11-10_2024-11-16,strings,4,4,3,5
2024,2024-11-17_2024-11-23,all,1,1,4,2
2024,2024-11-17_2024-11-23,header,2,3,1,3
2024,2024-11-17_2024-11-23,section,3,2,2,1
2024,2024-11-17_2024-11-23,imports,5,5,5,4
2024,2024-11-17_2024-11-23,strings,4,4,3,5
2024,2024-11-24_2024-11-30,all,1,1,5,2
2024,2024-11-24_2024-11-30,header,2,2,1,3
2024,2024-11-24_2024-11-30,section,3,3,2,1
2024,2024-11-24_2024-11-30,imports,5,5,4,4
2024,2024-11-24_2024-11-30,strings,4,4,3,5
2024,2024-12-01_2024-12-07,all,1,1,5,2
2024,2024-12-01_2024-12-07,header,3,3,1,3
2024,2024-12-01_2024-12-07,section,2,2,2,1
2024,2024-12-01_2024-12-07,imports,5,5,3,4
2024,2024-12-01_2024-12-07,strings,4,4,4,5
2024,2024-12-08_2024-12-14,all,1,1,5,2
2024,2024-12-08_2024-12-14,header,3,3,1,3
2024,2024-12-08_2024-12-14,section,2,2,2,1
2024,2024-12-08_2024-12-14,imports,5,5,4,4
2024,2024-12-08_2024-12-14,strings,4,4,3,5
