seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,180000,1,0.9995641883604784,0.9995092307566481,5.4957603830341206e-05,5.4957603830341206e-05,0.0001,0.0001,0.0,0.0003979483551467987,0.0,0.005293436412535711,0.00527831414513931,-0.0034308810284641835
13,header,mid_density,important,0.01,0,360000,1,0.9737330370128509,0.9582710762148677,0.01546196079798312,0.01546196079798312,0.04825555555555556,0.03865,5.555555555555556e-06,0.057706664012342604,1.6823121698462368e-05,0.058620839366158806,0.058597152178946926,-0.04083458309009017
13,header,low_density,important,0.01,0,180000,1,0.9570703082605049,0.94089275798438,0.016177550276124886,0.016177550276124886,0.06363333333333333,0.042166666666666665,3.3333333333333335e-05,0.10305219138652039,5.641855041937789e-05,0.06504705316279916,0.06490257362649753,-0.036415239464063616
13,header,high_density,random,0.01,1,180000,1,0.9995641883604784,0.9995630721869192,1.116173559245759e-06,1.116173559245759e-06,0.00016666666666666666,0.0,0.00016666666666666666,0.0,0.00022260477264632553,0.0005907490473583794,-0.000560131103128191,-0.0004332300409660848
13,header,mid_density,random,0.01,1,360000,1,0.9737330370128509,0.973133070947336,0.0005999660655148231,0.0005999660655148231,0.002338888888888889,6.666666666666667e-05,0.0018333333333333333,9.953715224207435e-05,0.005551630160492581,0.0032912847100377575,-0.0024822319919682737,-0.000997291496509589
13,header,low_density,random,0.01,1,180000,1,0.9570703082605049,0.9563670772119264,0.0007032310485785009,0.0007032310485785009,0.004922222222222222,0.001288888888888889,0.0023444444444444446,0.0031499484060174875,0.003968104712829578,0.005055832274898744,-0.002759371486069318,-0.0018059070511595718
13,header,high_density,random,0.01,2,180000,1,0.9995641883604784,0.999531108020886,3.308033959248391e-05,3.308033959248391e-05,0.003277777777777778,0.0,0.0018777777777777777,0.0,0.002508013771815268,0.004847338956102837,-0.004847227920002305,-0.002942522443368983
13,header,mid_density,random,0.01,2,360000,1,0.9737330370128509,0.9734727161661164,0.0002603208467344409,0.0002603208467344409,0.013372222222222223,4.4444444444444447e-05,0.009055555555555556,6.635810149471624e-05,0.02742168836849366,0.015840732460263823,-0.015050348097355752,0.001593680196556096
13,header,low_density,random,0.01,2,180000,1,0.9570703082605049,0.9554409885995063,0.0016293196609985516,0.0016293196609985516,0.02327777777777778,0.00018888888888888888,0.01587777777777778,0.00046163036984739044,0.026874036183097003,0.024812670838816105,-0.023503113245066536,-0.005229601791640857
13,header,high_density,random,0.01,3,180000,1,0.9995641883604784,0.9995379661560744,2.6222204404069416e-05,2.6222204404069416e-05,0.0011111111111111111,0.00023333333333333333,0.00016666666666666666,0.000928546162009197,0.00022260477264632553,0.007268949518724572,0.0060097547068064085,-0.004652488628095238
13,header,mid_density,random,0.01,3,360000,1,0.9737330370128509,0.9729877694981472,0.000745267514703607,0.000745267514703607,0.005916666666666666,0.0025944444444444444,0.00011666666666666667,0.0038736541747540604,0.0003532855556677097,0.006637308576391068,0.005116095893734718,-0.0012258562730178748
13,header,low_density,random,0.01,3,180000,1,0.9570703082605049,0.9554801878945778,0.0015901203659270946,0.0015901203659270946,0.008288888888888889,0.005111111111111111,0.00044444444444444447,0.012491174713517624,0.0007522473389250386,0.007525803239354984,0.005256022632585588,-0.0007449929442286516
13,header,high_density,random,0.01,4,180000,1,0.9995641883604784,0.999413469495886,0.0001507188645923918,0.0001507188645923918,0.0048222222222222225,0.0008777777777777778,0.0,0.003493102228510789,0.0,0.010302084870477192,0.00961772847154486,0.0009850071250551249
13,header,mid_density,random,0.01,4,360000,1,0.9737330370128509,0.9700940890245104,0.003638947988340413,0.003638947988340413,0.04031666666666667,0.0226,0.0005944444444444444,0.03374309461006321,0.0018000740217354733,0.04208546544212183,0.040522031429007746,-0.005545758870017531
13,header,low_density,random,0.01,4,180000,1,0.9570703082605049,0.9502519453052657,0.006818362955239188,0.006818362955239188,0.03858888888888889,0.0225,0.0006,0.05498832346711562,0.001015533907548802,0.03798818764963265,0.035519140196775704,0.004180931727321783
13,header,high_density,random,0.01,5,180000,1,0.9995641883604784,0.9995339936018544,3.0194758624091378e-05,3.0194758624091378e-05,0.007677777777777778,3.3333333333333335e-05,0.005388888888888889,0.0001326494517155996,0.007197554315564526,0.00790015993675814,-0.007084600334375553,-0.005735138295098986
13,header,mid_density,random,0.01,5,360000,1,0.9737330370128509,0.9729571457735047,0.0007758912393461825,0.0007758912393461825,0.026877777777777778,0.00039444444444444444,0.016694444444444446,0.0005889281507656066,0.05055348070387941,0.026578723957866417,-0.022656172033565028,-0.0062847643226135825
13,header,low_density,random,0.01,5,180000,1,0.9570703082605049,0.9549296096287955,0.0021406986317094034,0.0021406986317094034,0.03361111111111111,0.0010222222222222223,0.021544444444444446,0.002498234942703525,0.036465189754391246,0.03578609044813911,-0.030789436730543587,-0.012590460913800975
13,header,high_density,random,0.01,6,180000,1,0.9995641883604784,0.9995092307566481,5.4957603830341206e-05,5.4957603830341206e-05,0.0001,0.0001,0.0,0.0003979483551467987,0.0,0.005293436412535711,0.00527831414513931,-0.0034308810284641835
13,header,mid_density,random,0.01,6,360000,1,0.9737330370128509,0.9582710762148677,0.01546196079798312,0.01546196079798312,0.04825555555555556,0.03865,5.555555555555556e-06,0.057706664012342604,1.6823121698462368e-05,0.058620839366158806,0.058597152178946926,-0.04083458309009017
13,header,low_density,random,0.01,6,180000,1,0.9570703082605049,0.94089275798438,0.016177550276124886,0.016177550276124886,0.06363333333333333,0.042166666666666665,3.3333333333333335e-05,0.10305219138652039,5.641855041937789e-05,0.06504705316279916,0.06490257362649753,-0.036415239464063616
13,header,high_density,random,0.01,7,180000,1,0.9995641883604784,0.9995641883604784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,mid_density,random,0.01,7,360000,1,0.9737330370128509,0.9737330370128509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,low_density,random,0.01,7,180000,1,0.9570703082605049,0.9570703082605049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
