feature_group,operator,selection_type,selection_mode,selection_value,density_scope,density_bin,n_selected_features,n_rows,n_seeds,trial_ids_json,n_samples_mean,n_malware_mean,n_benign_mean,auc_mean,auc_std,auc_min,auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,boundary_low_10_flip_rate_mean,boundary_low_10_flip_rate_std,boundary_low_10_flip_rate_min,boundary_low_10_flip_rate_max,boundary_low_10_malware_to_benign_rate_mean,boundary_low_10_malware_to_benign_rate_std,boundary_low_10_malware_to_benign_rate_min,boundary_low_10_malware_to_benign_rate_max,boundary_low_20_flip_rate_mean,boundary_low_20_flip_rate_std,boundary_low_20_flip_rate_min,boundary_low_20_flip_rate_max,boundary_low_20_malware_to_benign_rate_mean,boundary_low_20_malware_to_benign_rate_std,boundary_low_20_malware_to_benign_rate_min,boundary_low_20_malware_to_benign_rate_max
imports,imports_benign_mass_injection,important,ratio,0.1,density_restricted,high_density,129,5,5,[0],184254.4,88372.0,95882.4,0.8145949680198881,0.18924417425232154,0.5546106186742432,0.9862747391722221,0.16734126841452143,0.03819586705455317,0.10543432090899438,0.2093141659179395,0.1653224585169933,0.03922394102849158,0.10543432090899438,0.2093141659179395,0.15452066498232953,0.04806469714217567,0.09869678612945443,0.2233322753076615,-0.1419872486682074,0.053799838195958925,-0.21831655571679803,-0.08361147470411906,-0.08018432501925629,0.015459209345065497,-0.10577035295092846,-0.05940453330271932,0.8501446278526916,0.025556301942324836,0.824588932635828,0.8892922368343109,-0.03554965983280363,0.18761988582951372,-0.2724993282122118,0.14225164666336243,0.07702907009596607,0.07929909437369755,0.0,0.22125813449023862,0.056842774319521006,0.04577544549580736,0.0,0.12032665560801327,0.03851622807768007,0.039651986824219006,0.0,0.11063612582147643,0.02842243620630892,0.02288868981085135,0.0,0.06016716646462068
imports,imports_benign_mass_injection,important,ratio,0.1,density_restricted,low_density,129,5,5,[0],120001.4,32414.0,87587.4,0.8608235043956233,0.016376686767848547,0.8368672168718676,0.88151795786723,0.41630820953739356,0.05044801633561344,0.35328232971372164,0.47385272145144075,0.40956150535662433,0.05458397570970278,0.34180651530108586,0.4704985516084769,0.24262975992922456,0.026159936738214373,0.2125875666306633,0.27820230198987994,-0.22784285343052962,0.03202418902831078,-0.27131231191609523,-0.19208395725670357,-0.07336355166527023,0.019074412474404574,-0.09429581393387011,-0.04721942303782128,0.9157494237486095,0.0016323351087069518,0.9135571677096066,0.9182755697990681,-0.054925919352986054,0.016354450864106206,-0.0789431732672572,-0.03675761193183813,0.48448909668784995,0.03334615652903605,0.4402439024390244,0.5414110429447853,0.44419664364437866,0.044639831978680704,0.4146189735614308,0.5328220858895706,0.4511367907011402,0.028429815016337557,0.41455891425046265,0.5015337423312883,0.4242205948516646,0.042416874189444315,0.36798272671190624,0.49555214723926383
imports,imports_benign_mass_injection,important,ratio,0.1,density_restricted,mid_density,129,5,5,[0],175744.2,119214.0,56530.2,0.8817781775015583,0.02096188239451808,0.8491973143254787,0.904132172648997,0.3882141690804824,0.037150421937244264,0.32771409814293584,0.4417994114074835,0.3861070702708035,0.03812609788478393,0.3254427600153938,0.4410800205540244,0.27272918031062426,0.028788524768737844,0.24293283388572107,0.32199506294078883,-0.2661024620373902,0.03345287487944358,-0.3201667312716829,-0.22739555679003848,-0.13581116042753172,0.019984043740552317,-0.15551908697347935,-0.10171963401477473,0.9628260886497332,0.005486327144992807,0.9526006024192463,0.9680348883794532,-0.08104791114817493,0.02295153775187588,-0.1127811136141843,-0.054026390240167976,0.48365900581411275,0.07747813588965768,0.34015372956587636,0.5581965386615168,0.46669194773982936,0.0976962190858823,0.28504925841723505,0.5572309292133997,0.48556834808164046,0.10419978829392341,0.3382591750568366,0.6134219713288271,0.4751089491966131,0.11599304469118825,0.3024791599004006,0.6129391666047687
imports,imports_benign_mass_injection,important,ratio,0.1,pooled,all,129,5,5,[0],480000.0,240000.0,240000.0,0.8440636297309027,0.06520583315691343,0.765457377439236,0.9124926327256943,0.31059166666666665,0.03748713733106034,0.263075,0.35330833333333334,0.3081183333333334,0.03879068693714455,0.2602583333333333,0.3530916666666667,0.22565348577869027,0.0337289074795101,0.18618562741235872,0.27329344419775364,-0.21575205753265037,0.03940330210283214,-0.2689527336887658,-0.16667117369379744,-0.10736928456643091,0.015151499900463808,-0.12336694736211178,-0.08148569227699222,0.9294461485451387,0.0008459419782214084,0.9285730160677084,0.9310476277864583,-0.08538251881423606,0.06570487581658492,-0.16472348118055546,-0.016080383342014115,0.4135583333333333,0.06357999445143453,0.2914583333333333,0.4663333333333333,0.39179166666666665,0.07037752857111264,0.255875,0.45891666666666664,0.2177,0.03307892392949524,0.15235416666666668,0.23947916666666666,0.20665416666666667,0.03655213789537108,0.13439583333333333,0.23483333333333334
imports,imports_benign_mass_injection,random,ratio,0.1,density_restricted,high_density,129,100,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",184254.4,88372.0,95882.4,0.8526697165355307,0.1343634586965811,0.6093755701941532,0.9951378204157388,0.08498407193212171,0.11373013828504248,0.0,0.3447673008945548,0.0167083640390322,0.028930660233953184,0.0,0.1280722771288809,0.05751510540385004,0.03484976205813488,0.0048434869551978255,0.1458428763498633,-0.005877047321391734,0.058434692017331584,-0.13642754642508087,0.13972298021827717,-0.014483997456423448,0.02340625835466555,-0.0656626495236429,0.05022891896530975,0.8501446278526918,0.025556301942324836,0.824588932635828,0.8892922368343109,0.002525088682838975,0.13080350237931165,-0.21773437669230178,0.15795415533936696,0.1913584155654387,0.26531819255915734,0.0,0.824422843256379,0.015780630083971056,0.028366957019547938,0.0,0.09968144411998939,0.215678540836684,0.3410766966837685,0.0,0.9122114216281896,0.007890612632748685,0.014183993825061551,0.0,0.049840722059994694
imports,imports_benign_mass_injection,random,ratio,0.1,density_restricted,low_density,129,100,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",120001.4,32414.0,87587.4,0.9093113305134386,0.011314604216881175,0.8842010222024118,0.9356185911986282,0.07703542151276305,0.050816919507552766,0.01722823601158713,0.21787014279936534,0.06241654474917404,0.055354658304601005,0.002776406712734452,0.2145101577326323,0.06033120392300703,0.03563598757892578,0.014167968366360292,0.14692525398688427,-0.03953669417630568,0.04568587517919181,-0.14058290247502062,0.06637460995257216,-0.024767907167637486,0.0214359009605357,-0.06869215882756774,0.02043853317828747,0.9157494237486092,0.001632335108706952,0.9135571677096066,0.9182755697990681,-0.006438093235170894,0.011373602226440651,-0.031609367936712984,0.021079886437731732,0.31271971357516626,0.08371756414690061,0.12733499377334995,0.4640746500777605,0.22437411079410594,0.1117060377495031,0.025293028994447873,0.4379471228615863,0.23643938519437305,0.08915724668366291,0.07082814445828145,0.4224607248405662,0.17581050782432037,0.10706499593977002,0.013726095003084516,0.40643957069528697
imports,imports_benign_mass_injection,random,ratio,0.1,density_restricted,mid_density,129,100,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",175744.2,119214.0,56530.2,0.9530739968777086,0.01346496454159615,0.9132937352218843,0.9764245944206367,0.05303344415457233,0.05183237091738194,0.00499903436186175,0.24266486414214195,0.045164566192304224,0.053863197317801585,0.00027065943464657294,0.24213747715894404,0.05555305684174663,0.03994825311690414,0.008502598230611232,0.16148462920054268,-0.04423618403079982,0.04516855819108203,-0.15772974076072996,0.030752651113749096,-0.03439877889008133,0.029644933973911245,-0.11022621149704039,0.016150524289364795,0.9628260886497333,0.005486327144992807,0.9526006024192463,0.9680348883794532,-0.009752091772024636,0.01319308243854235,-0.05474115315756889,0.009998143699858408,0.25100138782657505,0.11944603481551157,0.04991458070266657,0.5171898355754858,0.18244982517044062,0.13304168089738547,0.0024899859261665043,0.4718796711509716,0.17155603522601406,0.10495842394107092,0.024994429176260862,0.4185545569338186,0.13305020620893515,0.11437794116581279,0.0013532532207426655,0.41628908861323627
imports,imports_benign_mass_injection,random,ratio,0.1,pooled,all,129,100,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",480000.0,240000.0,240000.0,0.9223965142503472,0.031193128413831074,0.8470004047829861,0.9664470755729166,0.068162375,0.05230866944177702,0.006295833333333333,0.18594166666666667,0.03743991666666666,0.04374919773939035,0.00047916666666666664,0.18515833333333334,0.05685161504011822,0.032814027751942684,0.008346811188679203,0.14366104679304859,-0.029910741750644818,0.046367027292860845,-0.1416364781833343,0.06543249303212613,-0.025906031302383347,0.02184470929177023,-0.08019510173956008,0.019689601096248913,0.9294461485451387,0.0008459419782214087,0.9285730160677084,0.9310476277864583,-0.007049634294791592,0.031316455024143375,-0.08404722300347223,0.03727850956597223,0.21596958333333333,0.09299479690772879,0.05516666666666667,0.401375,0.15092708333333335,0.10649636117528331,0.004791666666666666,0.375875,0.223131875,0.20753000320768134,0.027583333333333335,0.6637083333333333,0.07755458333333333,0.055551157742773465,0.002395833333333333,0.2101875
