seed,feature_group,operator,selection_type,selection_mode,selection_value,trial_id,density_scope,density_bin,n_samples,n_malware,n_benign,n_selected_features,auc,flip_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift,boundary_low_10_flip_rate,boundary_low_10_malware_to_benign_rate,boundary_low_20_flip_rate,boundary_low_20_malware_to_benign_rate,baseline_auc,delta_auc
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,pooled,all,480000,240000,240000,129,0.9124926327256943,0.2726458333333333,0.2683125,0.18618562741235872,-0.16667117369379744,-0.12336694736211178,0.2914583333333333,0.255875,0.15235416666666668,0.13439583333333333,0.9285730160677084,-0.016080383342014115
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,high_density,209555,115217,94338,129,0.9862747391722221,0.16488886188670074,0.16488886188670074,0.13326449179846817,-0.11083991714809972,-0.10577035295092846,0.0,0.0,0.0,0.0,0.8892922368343109,0.09698250233791117
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,mid_density,150445,92367,58078,129,0.8985742121790783,0.37876081284441415,0.3715287927506577,0.24293283388572107,-0.22739555679003848,-0.15551908697347935,0.34015372956587636,0.28504925841723505,0.3382591750568366,0.3024791599004006,0.9526006024192463,-0.054026390240167976
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,low_density,120000,32416,87584,129,0.874068409134733,0.35328232971372164,0.34180651530108586,0.2125875666306633,-0.19208395725670357,-0.09429581393387011,0.4910549043800123,0.4305983960518199,0.41455891425046265,0.36798272671190624,0.9135571677096066,-0.03948875857487355
123,imports,imports_benign_mass_injection,random,ratio,0.1,1,pooled,all,480000,240000,240000,129,0.9539108802951388,0.1266875,0.010675,0.0557253195939187,0.0036866432137106567,-0.02867086884309887,0.24504166666666666,0.06333333333333334,0.6105833333333334,0.0329375,0.9285730160677084,0.02533786422743045
123,imports,imports_benign_mass_injection,random,ratio,0.1,1,density_restricted,high_density,209555,115217,94338,129,0.986125759307808,0.2180580990652421,0.006526814619370405,0.06485744945777545,0.02845002344659318,-0.03180965449743721,0.8087137649713592,0.0,0.9043568824856796,0.0,0.8892922368343109,0.09683352247349708
123,imports,imports_benign_mass_injection,random,ratio,0.1,1,density_restricted,mid_density,150445,92367,58078,129,0.9531367372921569,0.036506544545129756,0.009711260515119035,0.04630689170680235,-0.021398243384516312,-0.028619757740969965,0.3262964165854715,0.07621522139222692,0.17689726101548123,0.0441701851250406,0.9526006024192463,0.0005361348729105986
123,imports,imports_benign_mass_injection,random,ratio,0.1,1,density_restricted,low_density,120000,32416,87584,129,0.9147163260359323,0.05889067127344521,0.028165103652517277,0.05010387716194969,-0.012852925513880502,-0.017660241758771386,0.34392350400987043,0.1610117211597779,0.25077112893275755,0.11258482418260334,0.9135571677096066,0.0011591583263257377
123,imports,imports_benign_mass_injection,random,ratio,0.1,2,pooled,all,480000,240000,240000,129,0.9454000007812502,0.03164583333333333,0.0195375,0.063597609850153,-0.026665694400731948,-0.053613382239196206,0.18991666666666668,0.07154166666666667,0.09627083333333333,0.03679166666666667,0.9285730160677084,0.016826984713541826
123,imports,imports_benign_mass_injection,random,ratio,0.1,2,density_restricted,high_density,209555,115217,94338,129,0.9709247030762999,0.023208380707708063,0.01603929975611238,0.06366581908104155,-0.008685742226544701,-0.05899980277229947,0.07090782850199619,0.0,0.03545391425099809,0.0,0.8892922368343109,0.08163246624198894
123,imports,imports_benign_mass_injection,random,ratio,0.1,2,density_restricted,mid_density,150445,92367,58078,129,0.948847762792232,0.035575476089945546,0.019584916691026015,0.06835929496603882,-0.050232963436936326,-0.056217096505111835,0.22691350005413014,0.07469957778499513,0.1645555916423081,0.08465952148966115,0.9526006024192463,-0.003752839627014226
