seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density
13,header,important,0.01,0.0008666666666666666,0.008520833333333333,0.014033333333333333,-0.00015025732267748282,0.0008216559203149121,0.0021011303292473027,-0.00015025732267748282,0.0008216559203149121,0.0021011303292473027,0.013166666666666667,16.192307692307693,0.0022513876519247855,0.0022513876519247855
13,header,important,0.05,0.0113,0.16675833333333334,0.17334166666666667,0.0014912025904554316,0.032227896888026186,0.03876764901667917,0.0014912025904554316,0.032227896888026186,0.03876764901667917,0.16204166666666667,15.339970501474928,0.03727644642622374,0.03727644642622374
13,header,important,0.1,0.08976666666666666,0.25866666666666666,0.27279166666666665,0.013961717654192629,0.1378938351306599,0.1435866449546529,0.013961717654192629,0.1378938351306599,0.1435866449546529,0.183025,3.0388971407352394,0.12962492730046027,0.12962492730046027
13,header,random,0.01,0.0011795833333333333,0.007426875000000001,0.009109583333333332,0.0003444335831456591,0.001996331744650476,0.0017846992185003685,0.0003444335831456591,0.001996331744650476,0.0017846992185003685,0.00793,7.722712822324267,0.0014402656353547094,0.0014402656353547094
13,header,random,0.05,0.00778875,0.04025145833333333,0.04402958333333333,0.0008173532652828996,0.009076675223652136,0.008472610391648316,0.0008173532652828996,0.009076675223652136,0.008472610391648316,0.03624083333333333,5.652971700636602,0.007655257126365417,0.007655257126365417
13,header,random,0.1,0.014503333333333332,0.05618145833333334,0.06613250000000001,0.0010255772388292673,0.010007809987438453,0.014213160257123613,0.0010255772388292673,0.010007809987438453,0.014213160257123613,0.05162916666666668,4.559813835899795,0.013187583018294346,0.013187583018294346
13,imports,important,0.01,0.05053928020534933,0.057285349131401264,0.061158333333333335,0.0035658684725246026,0.008655132215437122,0.007306344849854707,0.0035658684725246026,0.008655132215437122,0.007306344849854707,0.010619053127984009,1.2101148470029068,0.003740476377330104,0.003740476377330104
13,imports,important,0.05,0.0427076571237992,0.19423085933229564,0.09134166666666667,0.012379802251032967,0.05271311445765625,0.0241794403068889,0.012379802251032967,0.05271311445765625,0.0241794403068889,0.048634009542867465,2.138765570817645,0.011799638055855932,0.011799638055855932
13,imports,important,0.1,0.06282569725267853,0.24468611231135243,0.10315,0.013840608138497967,0.09296237755694636,0.04912009097162762,0.013840608138497967,0.09296237755694636,0.04912009097162762,0.040324302747321475,1.6418440942269412,0.03527948283312965,0.03527948283312965
13,imports,random,0.01,0.0005071199280562687,0.002375696935306704,0.003239583333333333,-0.0015665430739773944,2.1914535446543316e-05,0.0001585230447417596,-0.0015665430739773944,2.1914535446543316e-05,0.0001585230447417596,0.0027324634052770646,6.388199623213935,0.001725066118719154,0.001725066118719154
13,imports,random,0.05,0.005464864897057334,0.01172361016393272,0.011237916666666667,-0.0023515274854863264,0.001003839929932071,0.0009379001066951332,-0.0023515274854863264,0.001003839929932071,0.0009379001066951332,0.005773051769609333,2.0563942345066843,0.0032894275921814594,0.0032894275921814594
13,imports,random,0.1,0.009936036781828254,0.023582312549781097,0.021137499999999997,-0.004654120126528443,0.003151470430485509,0.002569712528604162,-0.004654120126528443,0.003151470430485509,0.002569712528604162,0.011201463218171743,2.127357261665717,0.007223832655132606,0.007223832655132606
42,header,important,0.01,0.0,0.029650123542181425,0.047282939308839096,0.0034081032168443715,0.025086197970088486,0.015034798535167204,0.0034081032168443715,0.025086197970088486,0.015034798535167204,0.047282939308839096,nan,0.011626695318322833,0.011626695318322833
42,header,important,0.05,0.015475,0.15969233205138356,0.1585820118165682,0.0020966441618642806,0.04149428593767546,0.03910093309076579,0.0020966441618642806,0.04149428593767546,0.03910093309076579,0.1431070118165682,10.247625965529448,0.03700428892890151,0.03700428892890151
42,header,important,0.1,0.065575,0.21994258309409623,0.22366480279331005,0.03676601121181322,0.1054350234694601,0.11982446035852079,0.03676601121181322,0.1054350234694601,0.11982446035852079,0.15808980279331006,3.4108242896425476,0.08305844914670757,0.08305844914670757
