feature_group,density_bin,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max,benign_to_malware_ratio_mean,benign_to_malware_ratio_std,benign_to_malware_ratio_min,benign_to_malware_ratio_max,n_packed_malware_mean,n_packed_malware_std,n_packed_malware_min,n_packed_malware_max,packed_ratio_mean,packed_ratio_std,packed_ratio_min,packed_ratio_max
header,high_density,5,120000.2,0.4,120000.0,120001.0,33895.4,902.2912168474212,32522.0,34910.0,86104.8,902.4469845924468,85090.0,87478.0,0.3938053197427004,0.01454775464921963,0.37177347447358194,0.4102714772593724,1771.8,373.1988210056404,1183.0,2307.0,0.020550070100384902,0.004211130721514914,0.013902926313315312,0.0265758916228919
header,low_density,5,120000.8,0.4,120000.0,120001.0,48240.4,198.47276891301738,47929.0,48434.0,71760.4,198.1591279754733,71567.0,72071.0,0.6722553763667923,0.004616041539210372,0.6650247672434128,0.6767644305336258,10467.4,88.68957097652464,10345.0,10590.0,0.14586809429426767,0.0014075655448799551,0.14353901014277587,0.14772552903594793
header,mid_density,5,239999.0,0.6324555320336759,239998.0,240000.0,157864.2,1090.6761939274186,156656.0,159549.0,82134.8,1090.522883758062,80451.0,83343.0,1.922531940816458,0.03904360511967203,1.8796539601406237,1.9831823097289034,6666.4,388.05597534376403,6119.0,7294.0,0.0811507377831437,0.004345226841300774,0.07527741554511232,0.08751784792964017
imports,high_density,5,184254.4,17093.45136126698,167909.0,209555.0,95882.4,2119.3208912290747,93933.0,99836.0,88372.0,16572.638957027935,72774.0,115217.0,1.1195911726969685,0.185315321887718,0.8187854222901134,1.307266331382087,7882.2,2803.911724716026,3578.0,10622.0,0.08788776514670411,0.025578989543675858,0.047493894021450565,0.12211120043898269
imports,low_density,5,120001.4,2.8,120000.0,120007.0,87587.4,259.50383426839767,87212.0,87884.0,32414.0,261.5362307597171,32116.0,32795.0,2.7023874247117154,0.029771025518367647,2.6593078213142247,2.7364553493585753,1857.6,79.42694756818999,1717.0,1939.0,0.05730700033239502,0.0023859536337454035,0.053462448623738945,0.06032417633699406
imports,mid_density,5,175744.2,17094.741640633238,150445.0,192091.0,56530.2,1955.2631945597504,52952.0,58183.0,119214.0,16672.910315838682,92367.0,134626.0,0.4843855495413051,0.07661326836525216,0.4223707940628278,0.6287743458161464,9165.8,2775.4341209980107,6441.0,13369.0,0.07602193076725242,0.016067020252854638,0.058036920653793594,0.10088212434255703
