family,model,feature_group,outcome,strength,status,path,n_seeds,weeks_per_seed,direction,raw_pvalue,paired_mean_delta,paired_median_delta,seed_min_delta,seed_max_delta,positive_seed_count,nonnegative_seed_count,seed_deltas_json,ci_low,ci_high,holm_adjusted_pvalue,random_repeats_per_seed
main_models,LightGBM,header,auc_drop,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/feature_perturbation_lightgbm_permutation_balanced_main/k_10/trial_results.csv,5,12,greater,0.03125,0.07024824302395834,0.07085167740104167,0.0498400517760417,0.08957890828124998,5,5,"[0.089578908281, 0.05560509787, 0.085365479792, 0.070851677401, 0.049840051776]",0.056348395338541676,0.08414809070937498,1.0,
main_models,LightGBM,imports,auc_drop,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/feature_perturbation_lightgbm_permutation_balanced_main/k_10/trial_results.csv,5,12,greater,0.03125,0.02574275946458336,0.022768748437500014,0.020351874906250015,0.032338548755208356,5,5,"[0.032338548755, 0.021024089521, 0.022768748438, 0.020351874906, 0.032230535703]",0.021104135458333374,0.030381383470833346,1.0,
main_models,LightGBM,imports,auc_drop,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/feature_perturbation_lightgbm_permutation_balanced_main/k_10/trial_results.csv,5,12,greater,0.03125,0.05722519546041667,0.054325574921875015,0.046655307776041655,0.07617175400000004,5,5,"[0.076171754, 0.046655307776, 0.054325574922, 0.050826514245, 0.058146826359]",0.04978785278645832,0.06743328236875003,1.0,
main_models,LightGBM,imports,auc_drop,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/feature_perturbation_lightgbm_permutation_balanced_main/k_10/trial_results.csv,5,12,greater,0.03125,0.0873853921375,0.08364577671875005,0.06317311551041666,0.13170571840624998,5,5,"[0.131705718406, 0.06317311551, 0.071544043531, 0.083645776719, 0.086858306521]",0.06986985792708333,0.11070390105416665,1.0,
main_models,LightGBM,header,flip_rate,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.34375,0.003765979166666665,-0.010705312500000001,-0.01479104166666667,0.029910520833333332,2,2,"[-0.014791041667, -0.0107053125, -0.011774791667, 0.026190520833, 0.029910520833]",-0.012767395833333334,0.020829458333333335,1.0,
main_models,LightGBM,header,flip_rate,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.03125,0.09001427083333333,0.08342052083333333,0.07111145833333334,0.12015885416666666,5,5,"[0.120158854167, 0.071111458333, 0.083420520833, 0.075998958333, 0.0993815625]",0.07552827083333333,0.10717141666666667,1.0,
main_models,LightGBM,header,flip_rate,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.03125,0.15604452083333334,0.14231333333333332,0.09171291666666666,0.2399375,5,5,"[0.101987604167, 0.142313333333, 0.2399375, 0.20427125, 0.091712916667]",0.10594287499999999,0.20614616666666669,1.0,
main_models,LightGBM,imports,flip_rate,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.03125,0.09430470833333333,0.08824729166666667,0.06276645833333333,0.12866604166666668,5,5,"[0.118730833333, 0.088247291667, 0.062766458333, 0.073112916667, 0.128666041667]",0.07200120833333333,0.11660820833333334,1.0,
main_models,LightGBM,imports,flip_rate,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.03125,0.16185337500000002,0.15166145833333333,0.14164302083333333,0.20811291666666665,5,5,"[0.208112916667, 0.1419803125, 0.151661458333, 0.141643020833, 0.165869166667]",0.143781625,0.18637018749999998,1.0,
main_models,LightGBM,imports,flip_rate,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/LightGBM/prediction_flip_lightgbm_balanced_main/trial_results.csv,5,12,greater,0.03125,0.21107312500000003,0.19308958333333334,0.1624246875,0.3311184375,5,5,"[0.3311184375, 0.1624246875, 0.16249875, 0.193089583333, 0.206234166667]",0.16858729166666667,0.2724176458333333,1.0,
