feature_group,operator,test_week,selection_type,selection_mode,selection_value,n_trials,n_selected_features,n_candidate_features,auc_mean,auc_std,auc_min,auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,boundary_low_10_flip_rate_mean,boundary_low_10_flip_rate_std,boundary_low_10_flip_rate_min,boundary_low_10_flip_rate_max,boundary_low_10_malware_to_benign_rate_mean,boundary_low_10_malware_to_benign_rate_std,boundary_low_10_malware_to_benign_rate_min,boundary_low_10_malware_to_benign_rate_max,boundary_low_20_flip_rate_mean,boundary_low_20_flip_rate_std,boundary_low_20_flip_rate_min,boundary_low_20_flip_rate_max,boundary_low_20_malware_to_benign_rate_mean,boundary_low_20_malware_to_benign_rate_std,boundary_low_20_malware_to_benign_rate_min,boundary_low_20_malware_to_benign_rate_max
header,header_benign_substitution,2024-09-22_2024-09-28,baseline,baseline,0.0,5,0,7,0.9873158287499999,9.583454339050875e-05,0.987203275,0.9874813562499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,1.0,5,1,7,0.98080116975,0.0015797399775171821,0.979020685,0.9837040850000001,-0.0065146589999999895,0.0016165108946163682,-0.008330615000000097,-0.0035860162499999904,0.07315,0.003147220996371244,0.06995,0.07825,0.06021,0.0061715800245966184,0.0499,0.06845,0.06972238527553366,0.005217027097784361,0.06360026821048888,0.07670108340048061,-0.04730088717580836,0.010434281088112016,-0.059182991904152035,-0.02966700255612426,-0.023741490802784503,0.004416731576847117,-0.028936166217727714,-0.01820779645531295,0.3174,0.03446505476566082,0.274,0.3745,0.2,0.02556364606232844,0.172,0.232,0.22549999999999998,0.013835642377569601,0.203,0.242,0.16165000000000002,0.01868261223705079,0.13525,0.18725
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,2.0,5,2,7,0.975915172,0.0018027505531058407,0.974589825,0.979483165,-0.01140065674999995,0.001826954299313859,-0.012891531249999866,-0.007806936250000063,0.11105000000000001,0.008234986338786483,0.1001,0.1235,0.101,0.011190531712121634,0.08275,0.11605,0.11812956190359722,0.007160878168626056,0.10552000298813156,0.1276446561005294,-0.10026605266666304,0.011421108641456516,-0.11277325804845872,-0.07865239480623211,-0.06249558447272593,0.004654199773575614,-0.06739611211310101,-0.0538770463098954,0.4095,0.033488804099280706,0.371,0.4475,0.3238,0.03669005314795825,0.29,0.3875,0.3457,0.024968680381630096,0.32925,0.39525,0.29755,0.03669550381177509,0.24525,0.36025
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,3.0,5,3,7,0.9758722305,0.0017685205889933823,0.9745540375,0.9793688025,-0.011443598249999964,0.00179384328053804,-0.012927318749999861,-0.007921298750000028,0.11105000000000001,0.008247848204228789,0.10035,0.1236,0.10099,0.011155196098679755,0.08305,0.11615,0.11837353510559515,0.0071883884529336094,0.10587385680488454,0.12813939101218672,-0.10055152683828943,0.011366347156642476,-0.11338336242769133,-0.07918445918723876,-0.06273794846175774,0.004570737796106754,-0.06681627170719563,-0.0541654267096962,0.40939999999999993,0.03382513858064739,0.37,0.4475,0.3237,0.03673363581242675,0.2905,0.3875,0.3457,0.024968680381630096,0.32925,0.39525,0.2975,0.03663127079422717,0.2455,0.36025
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,1.0,100,1,7,0.9855009350375002,0.0027799129005564686,0.979020685,0.9875096237500001,-0.0018148937124999908,0.0027851688667685755,-0.008330615000000097,2.8267500000178636e-05,0.021129500000000002,0.0304835563008977,0.0,0.07825,0.017189500000000003,0.02510570283322098,0.0,0.06845,0.021493871779380214,0.029896658149741597,0.0,0.07670108340048061,-0.014650337141991331,0.02097566089408464,-0.059182991904152035,0.00017470016563765525,-0.008567037249688565,0.011667706236205258,-0.028936166217727714,9.031246065269906e-05,0.10215500000000002,0.14087957082203226,0.0,0.3745,0.06634,0.0912386398408043,0.0,0.232,0.07251,0.09962248691936977,0.0,0.242,0.053112500000000014,0.0731229903570006,0.0,0.18725
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,2.0,100,2,7,0.9843240650874998,0.0035284782274394677,0.974589825,0.9875096237500001,-0.002991763662500002,0.0035339515117196398,-0.012891531249999866,2.8267500000178636e-05,0.0327265,0.035271974324525696,0.0,0.1235,0.027558000000000003,0.03072292687879851,0.0,0.11605,0.03382368146431486,0.035262071758017294,2.9986939470597468e-05,0.1276446561005294,-0.02443964914021893,0.02743953569008614,-0.11277325804845872,0.00017470016563765525,-0.014363028819499888,0.015663367508310096,-0.06551178845053258,9.031246065269906e-05,0.15458,0.15109870482568669,0.0,0.4475,0.10817,0.10861595693083037,0.0,0.3875,0.11300749999999997,0.11281599207891582,0.0,0.39525,0.08764999999999999,0.09037252071288042,0.0,0.36025
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,3.0,100,3,7,0.9834562382625001,0.0037253560738226663,0.9745540375,0.98750827375,-0.0038595904874999987,0.0037291338944176852,-0.012927318749999861,2.691750000016757e-05,0.043953500000000006,0.03649824122817427,0.0,0.1236,0.036869,0.03237681252069141,0.0,0.11615,0.046724984490225975,0.03747787173750913,0.00032524164832758236,0.12813939101218672,-0.0341498874536471,0.030878998963695208,-0.11338336242769133,0.00014415611315587743,-0.02170795767090045,0.01886945730476352,-0.06793634957737013,5.9992031447494346e-05,0.21490499999999998,0.14839098178460844,0.0,0.4475,0.15179,0.10886620641870458,0.0,0.3875,0.1581975,0.11450935166504962,0.0,0.39525,0.12356499999999998,0.09433384612640364,0.0,0.36025
header,header_benign_substitution,2024-09-29_2024-10-05,baseline,baseline,0.0,5,0,7,0.9882697765000001,0.00029083055741101004,0.98775495,0.98855979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,1.0,5,1,7,0.9830743992499998,0.0016540410030911443,0.9811977812499999,0.98604633625,-0.005195377250000077,0.0015270057575037417,-0.00655716875000012,-0.0023648887500000715,0.05861000000000001,0.00243051434885705,0.0562,0.06295,0.04509,0.0050304472962153166,0.03645,0.05195,0.056799915451698504,0.004200510007737755,0.052113686649211455,0.06262596925921413,-0.03604042545944225,0.008772100556034935,-0.04637623489075546,-0.02155922751227183,-0.019339151183410584,0.003675814614582709,-0.02554351590040052,-0.015262194864121103,0.3222,0.030627765181286088,0.291,0.3775,0.19870000000000002,0.01704875362013306,0.1815,0.231,0.23520000000000002,0.009112354251234965,0.22275,0.247,0.1678,0.017716094377712033,0.13825,0.1925
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,2.0,5,2,7,0.98039522275,0.0019549335671206563,0.9778270875,0.9838838274999999,-0.007874553750000013,0.0017986712295215226,-0.009927862499999995,-0.0045273975000001965,0.08846,0.0059006270853189805,0.0782,0.0938,0.07615,0.009161495511105162,0.0586,0.08375,0.09162903405805349,0.006780042401201596,0.07952629682602227,0.09854804068105447,-0.0732264583189119,0.010651765747496624,-0.08367058967338328,-0.05302357135039907,-0.04982236857443516,0.003781908146505868,-0.05355857505194384,-0.04307095377572726,0.42829999999999996,0.02769223717939739,0.404,0.4755,0.32320000000000004,0.03140159231631416,0.285,0.3765,0.35575,0.017073371078963874,0.334,0.386,0.2948,0.03218206021994242,0.236,0.33325
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,3.0,5,3,7,0.9803567577500001,0.001929899990240519,0.9778013324999999,0.98378431,-0.007913018750000056,0.0017751819231275182,-0.009953617500000123,-0.00462691500000012,0.0887,0.0058990677229542,0.0783,0.09395,0.07639,0.009158897313541628,0.05875,0.08375,0.09212246911154148,0.006694667871087183,0.08019305289555903,0.09889025783042805,-0.07370160075389491,0.010545402408797847,-0.08409040656334951,-0.05376597355539852,-0.05023974413651883,0.003746563063036222,-0.053795403541801,-0.04357079056683342,0.4284,0.027614126819437902,0.403,0.4755,0.3234,0.031643956769026226,0.285,0.3765,0.35614999999999997,0.01703129472471192,0.33425,0.386,0.2952,0.032098052900448655,0.2365,0.33325
header,header_benign_substitution,2024-09-29_2024-10-05,random,budget,1.0,100,1,7,0.9874177448874998,0.0018166343918146412,0.9811977812499999,0.98855979,-0.0008520316125000182,0.00173600204366305,-0.00655716875000012,3.606125000010785e-05,0.0114825,0.020538698078261922,0.0,0.06295,0.008675500000000001,0.015585797212526538,0.0,0.05195,0.011772467360562543,0.02048289134617596,0.0,0.06262596925921413,-0.007287317295823472,0.013019117881575908,-0.04637623489075546,0.00014427569511506772,-0.00475915092580231,0.008086858204931583,-0.02554351590040052,8.023367826567046e-05,0.070675,0.12349800352637284,0.0,0.3775,0.044875,0.07782767422324785,0.0,0.231,0.049510000000000005,0.08663790250231132,0.0,0.247,0.035525,0.06197884215601321,0.0,0.1925
header,header_benign_substitution,2024-09-29_2024-10-05,random,budget,2.0,100,2,7,0.9862295856625,0.0026731428871519755,0.9778270875,0.9885582575000001,-0.002040190837500019,0.002633797759675973,-0.009927862499999995,3.600125000025045e-05,0.025963499999999997,0.02847218278864478,0.0,0.0938,0.0203905,0.023114839059573834,0.0,0.08315,0.026528632426669554,0.028644769221459185,1.9515664287721336e-05,0.09854804068105447,-0.01750313622426913,0.02066535821505289,-0.08367058967338328,0.00014313690567122902,-0.01144251938623787,0.013148572144589393,-0.05024899175312099,8.023367826567046e-05,0.151495,0.15737336965001417,0.0,0.4755,0.10085500000000001,0.10733366887887508,0.0,0.3765,0.10998749999999999,0.11750501784498396,0.0,0.386,0.0822275,0.09073187212192857,0.0,0.33325
header,header_benign_substitution,2024-09-29_2024-10-05,random,budget,3.0,100,3,7,0.9859042527875,0.0025197539691036277,0.9778312499999999,0.9885356525,-0.0023655237125000308,0.0024831383415785595,-0.00992370000000009,3.7274999999947767e-05,0.031306999999999995,0.026615090663005454,0.0,0.09375,0.024367,0.02146808004922657,0.0,0.08375,0.03213285861568431,0.026591200646922667,0.0001821844008323093,0.09855977393483217,-0.020698908664246694,0.018944144060313594,-0.08369523817494319,9.854026532266277e-05,-0.013661818599908804,0.01207967577121191,-0.053207495504507415,6.094283855579811e-05,0.18701500000000004,0.1465065093263777,0.0,0.475,0.12383,0.09822113367295249,0.0,0.376,0.1335925,0.10801853807911863,0.0,0.384,0.0990525,0.08203075105562546,0.0,0.33125
header,header_benign_substitution,2024-10-06_2024-10-12,baseline,baseline,0.0,5,0,7,0.9840281252499998,0.00011424057952785853,0.9838690612500001,0.9841577137499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-10-06_2024-10-12,important,budget,1.0,5,1,7,0.9783909810000001,0.0018496114201565304,0.9767851825,0.98186428375,-0.0056371442500000365,0.0018363297713252576,-0.007372531249999925,-0.002270502499999938,0.06065,0.004331281565541546,0.05495,0.06575,0.045200000000000004,0.005218907931742041,0.03765,0.0516,0.07118323102856557,0.0050030451961048045,0.0647616929010242,0.07695184232929078,-0.04279356138795437,0.011958537894334405,-0.055396632528942905,-0.023179327443324262,-0.026483744781713208,0.006195201533646206,-0.03366907618546446,-0.017422615602391087,0.32120000000000004,0.029510337171913172,0.283,0.366,0.18050000000000002,0.014577379737113249,0.1665,0.2085,0.22544999999999998,0.017154736955138652,0.20125,0.2445,0.1487,0.013248962223510189,0.133,0.16725
header,header_benign_substitution,2024-10-06_2024-10-12,important,budget,2.0,5,2,7,0.9723878635000001,0.0027587818667311336,0.9702740225,0.97753990125,-0.011640261749999992,0.0026840644497000458,-0.013781859999999924,-0.006594884999999939,0.12443,0.012311482445262225,0.10895,0.14165,0.10984999999999998,0.015673895495377017,0.08275,0.1283,0.13507129768088738,0.01176904621952553,0.113711957527137,0.14442856688726965,-0.11214465752540878,0.01692805343137233,-0.1265813116873193,-0.07977467394057908,-0.08044531225266834,0.008002028766779815,-0.08625491421067022,-0.06467529581419233,0.4181,0.032025614748198046,0.385,0.463,0.3188,0.026748084043534785,0.288,0.366,0.37115,0.027397810131468543,0.323,0.406,0.2994,0.03430692349949205,0.2525,0.35475
header,header_benign_substitution,2024-10-06_2024-10-12,important,budget,3.0,5,3,7,0.9723760519999999,0.002731235929198371,0.9702375425,0.97748100875,-0.011652073250000016,0.002657442355333163,-0.013818339999999929,-0.006653777499999958,0.12461,0.012285902490252803,0.10925,0.1417,0.11001000000000001,0.015604819768263905,0.0831,0.1284,0.13542875899285936,0.01174766652709651,0.11403566767446473,0.14487141427226524,-0.11248183951696027,0.016853782837342905,-0.12709122714878732,-0.0802234578031325,-0.08080103636732346,0.008019272661618216,-0.08626829570106423,-0.06494442229350339,0.4187,0.03119551249779366,0.385,0.463,0.3189,0.02669344488821179,0.288,0.366,0.37160000000000004,0.02748845212084521,0.323,0.4065,0.29975,0.03425237218062423,0.25325,0.35525
header,header_benign_substitution,2024-10-06_2024-10-12,random,budget,1.0,100,1,7,0.9824272146374998,0.0022852461581596177,0.9767851825,0.98433287625,-0.001600910612500016,0.0022881758656365906,-0.007372531249999925,0.00019809000000003962,0.021107,0.02586136019237967,0.0,0.06575,0.0160885,0.01973181549553918,0.0,0.0516,0.026689914243305392,0.032145728358300915,0.0,0.07695184232929078,-0.016769014377546854,0.02091831060976784,-0.055396632528942905,0.00026935404150410736,-0.012521933172619334,0.015403628389681925,-0.03783210422932219,3.968533669391085e-05,0.12106499999999999,0.14593676121868676,0.0,0.366,0.07577499999999998,0.09159280471194231,0.0,0.219,0.08663749999999998,0.10460364103964069,0.0,0.2445,0.0617075,0.07496411687434196,0.0,0.18375
header,header_benign_substitution,2024-10-06_2024-10-12,random,budget,2.0,100,2,7,0.9812218845374998,0.0031124235780674555,0.9702740225,0.9843281312500001,-0.00280624071250001,0.0030966094249057657,-0.013781859999999924,0.00019334500000012245,0.035539,0.03213420030123669,0.0,0.14165,0.027646500000000004,0.026585777452427455,0.0,0.1283,0.0435595816990549,0.03691970432763545,2.9368287983128468e-05,0.14442856688726965,-0.028225389291809032,0.027112321391575944,-0.1265813116873193,0.0002048002704896642,-0.02060553236182998,0.01925970712700591,-0.08545414750511005,1.6927601009415323e-05,0.1907,0.1516558604208884,0.0,0.463,0.12222999999999999,0.10014750171621857,0.0,0.366,0.14043999999999998,0.11502827435026572,0.0,0.406,0.10130249999999999,0.08604681353048468,0.0,0.35475
