density_bin,feature_group,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
high_density,all,5,0.9957545282947032,0.0003206647896683561,0.9953571845280194,0.9961858004223737,0.013511243489637587,0.000358946603294839,0.012995725035624702,0.013928217264856125,0.06911656525969363,0.002310220099666007,0.06603072148979379,0.07250995768615467
high_density,header,5,0.9781159320853755,0.0011022025218300458,0.9760876068652072,0.979397202571938,0.019814367864990017,0.0005093867299985748,0.019149007091607568,0.020703994133382222,0.06880720471276527,0.0023169638942050685,0.06573354026572806,0.0722333587280599
high_density,imports,5,0.9173657201235639,0.0171786708064152,0.8957203353271619,0.9389508842102079,0.136486882457924,0.023712156897535606,0.1034074716044033,0.15711035741368826,0.059312243666011975,0.0013155997070782213,0.05714333630700502,0.06081123542572904
high_density,section,5,0.975409494929178,0.000775937142543654,0.974469939228984,0.976416535776234,0.01992870045110735,0.000642237486952006,0.018838176348530425,0.02084065966116949,0.03542157477909787,0.0025602737361009225,0.03039780963808337,0.03729143635155417
high_density,strings,5,0.9834502917101882,0.0014902900896872529,0.9813122151164759,0.9857630386292158,0.01582056137587742,0.0004812201203217683,0.015194040049666254,0.01645152957058691,0.00048045243172342554,2.5443308933801592e-05,0.0004384967788115455,0.0005100990139251836
low_density,all,5,0.9466606088367124,0.0019597945906288006,0.9443209229454889,0.9493249822997086,0.08389089040507995,0.0009043201180419629,0.08263597803351638,0.08506666666666667,0.08050811162453043,0.0016631264015766606,0.07793324874409373,0.08238163889105928
low_density,header,5,0.9001669203812656,0.0008665500114764195,0.8994562112199869,0.9014146482537893,0.08455221931067242,0.00044319682455811637,0.08409013258222847,0.08535833333333333,0.07928347471693124,0.0016366698236934625,0.07670423668077242,0.08108797853897928
low_density,imports,5,0.8771943929801637,0.001966943817207689,0.8744958614504792,0.8798964091606917,0.13407822391341184,0.001704796846023057,0.1319780668494429,0.13642500000000002,0.018405928360047428,0.00024063348688476994,0.018164825352672512,0.018738609918594662
low_density,section,5,0.8921075716133398,0.004905919005978525,0.8829206165430215,0.8973997279118474,0.07445708781315712,0.0007116959296314197,0.07329355588703429,0.07526500000000001,0.21437109187009887,0.014777714432199452,0.19766077784006103,0.23933835302811163
low_density,strings,5,0.8534703862888409,0.003138539946995286,0.8490042395916632,0.8569084897861726,0.11012696908081324,0.0011224611446800595,0.10894575878534346,0.11170416666666665,0.0005166468164991316,8.269640546847601e-05,0.0004055847188208625,0.0006149454572213439
mid_density,all,5,0.9817678436667319,0.00043967146088586375,0.9811961784852792,0.9823991878090126,0.04319121568622008,0.00017304020129023853,0.0429610123375514,0.04341291666666667,0.07966716276765831,0.0005614690983173797,0.07908869429638526,0.08073919092498603
mid_density,header,5,0.9443599945521444,0.0013784994599677003,0.9422050177073953,0.946145269664143,0.04973333165241857,0.00019525483584911817,0.049465622773428225,0.049967083333333336,0.07946114554680801,0.0005621110529714468,0.07886839679670671,0.08052800160264799
mid_density,imports,5,0.9204977759414475,0.0015648982586697472,0.9190080218155963,0.9231845685104623,0.13810569046693313,0.001899840975493832,0.13605833333333334,0.1411655881899508,0.04112396246048746,0.00019506429359153935,0.04089777316677806,0.041382018048343176
mid_density,section,5,0.9384687318684788,0.0009836225577864338,0.9367586904024029,0.9398114151809285,0.04524214289393379,0.00041464063276985244,0.04481120676005633,0.04591746597888317,0.098178661708528,0.004591038057681826,0.0911970904391843,0.1040275803300797
mid_density,strings,5,0.9072411768281927,0.0011794752055836718,0.9058783360874854,0.9090514548000739,0.061973642637218294,0.00043447188353772646,0.061471345594546624,0.06255666666666666,0.0001799247995628682,1.7105588382668986e-05,0.00016269762350679264,0.00020943082338507592
