feature_group,auc,mix_at_10,js_divergence,silhouette
all,0.9866504667499998,0.07687641666666666,0.08203745022951958,0.0392765110048155
header,0.9766372390000002,0.07890337499999998,0.08158102838046159,0.11728384246428808
section,0.9756383944375002,0.07957279166666667,0.11788678586013551,0.07375152918199698
imports,0.9242543407916666,0.17066966666666666,0.03721578965291339,0.035571678820997474
strings,0.9701628858541664,0.099334375,0.0004943524296359217,0.05086009272684654
