seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density,density_definition
13,header,important,0.01,0.030339613844322145,0.23438366271629435,0.22604166666666667,0.00018374426716794012,0.13292048514091737,0.10213062666666672,0.00018374426716794012,0.13292048514091737,0.10213062666666672,0.1957020528223445,7.450380477039883,0.10194688239949878,0.10194688239949878,class_conditional
13,header,important,0.05,0.11896059347082186,0.2501240136227401,0.33858333333333335,0.00016364982447969467,0.18300819056714468,0.1663039831944445,0.00016364982447969467,0.18300819056714468,0.1663039831944445,0.2196227398625115,2.8461806002706234,0.1661403333699648,0.1661403333699648,class_conditional
13,header,important,0.1,0.08107770571240644,0.3921748446182256,0.400525,0.003975586038231782,0.21919319737182308,0.19779783069444445,0.003975586038231782,0.21919319737182308,0.19779783069444445,0.31944729428759355,4.940013983877593,0.19382224465621267,0.19382224465621267,class_conditional
13,header,random,0.01,0.03894360861565104,0.06092716336033147,0.06140541666666667,0.0005513372125265259,0.007002151880565693,0.00708017908333336,0.0005513372125265259,0.007002151880565693,0.00708017908333336,0.02246180805101563,1.5767777781637948,0.006528841870806834,0.006528841870806834,class_conditional
13,header,random,0.05,0.1846116379561558,0.23987611143301385,0.22714208333333336,0.0022800332601305095,0.023826468592481016,0.02101554395138893,0.0022800332601305095,0.023826468592481016,0.02101554395138893,0.04253044537717757,1.2303779211756862,0.018735510691258422,0.018735510691258422,class_conditional
13,header,random,0.1,0.31041196599698606,0.3343213432655392,0.3702375,0.004102129708963426,0.016867189638191272,0.023149945354166694,0.004102129708963426,0.016867189638191272,0.023149945354166694,0.059825534003013936,1.192729471013997,0.01904781564520327,0.01904781564520327,class_conditional
13,imports,important,0.01,0.05299851089752267,0.10803367128083498,0.10822446186387956,0.03883527484177751,0.027399651745403264,0.016446268681364007,0.03883527484177751,0.027399651745403264,0.016446268681364007,0.055225950966356886,2.0420283519501363,-0.022389006160413505,-0.022389006160413505,class_conditional
13,imports,important,0.05,0.08246816132290614,0.21319966782767666,0.22389780598067271,0.06567653029362164,0.08741287773545536,0.08641450843585696,0.06567653029362164,0.08741287773545536,0.08641450843585696,0.14142964465776658,2.714960566466315,0.020737978142235325,0.020737978142235325,class_conditional
13,imports,important,0.1,0.11477543709843696,0.26828292000979787,0.2474140433826884,0.055834231646603616,0.13140601989224332,0.12129581289736602,0.055834231646603616,0.13140601989224332,0.12129581289736602,0.13263860628425145,2.155635819278076,0.0654615812507624,0.0654615812507624,class_conditional
13,imports,random,0.01,0.008425924961731106,0.027053523954045512,0.027545518642943058,0.000851966476717414,0.0018292822685026023,0.0021392801722951325,0.000851966476717414,0.0018292822685026023,0.0021392801722951325,0.019119593681211952,3.2691388503991416,0.0012873136955777185,0.0012873136955777185,class_conditional
13,imports,random,0.05,0.02410315418979288,0.06670480275774719,0.06678196673717389,0.006181215196223283,0.007545211253736178,0.0067356633019568565,0.006181215196223283,0.007545211253736178,0.0067356633019568565,0.04267881254738101,2.7706733405644677,0.0005544481057335737,0.0005544481057335737,class_conditional
13,imports,random,0.1,0.04409383428267956,0.10663418626742263,0.10886400398158518,0.02428452491206574,0.01874150583154143,0.014461370874962132,0.02428452491206574,0.01874150583154143,0.014461370874962132,0.06477016969890562,2.4689167034935746,-0.009823154037103609,-0.009823154037103609,class_conditional
42,header,important,0.01,0.020079953360539686,0.21721099663232302,0.21727137881035316,0.0003869099938961229,0.11806441295332759,0.11337663105674256,0.0003869099938961229,0.11806441295332759,0.11337663105674256,0.19719142544981347,10.820312921509375,0.11298972106284644,0.11298972106284644,class_conditional
42,header,important,0.05,0.0349462813358874,0.27151478776966426,0.2957950700821653,0.0031863095832638244,0.17019419165388128,0.19075032054487073,0.0031863095832638244,0.17019419165388128,0.19075032054487073,0.2608487887462779,8.464278852422687,0.1875640109616069,0.1875640109616069,class_conditional
42,header,important,0.1,0.48425085366869325,0.420888766629989,0.49228346194230094,0.00481143596359801,0.20074084624385735,0.20683688127062427,0.00481143596359801,0.20074084624385735,0.20683688127062427,0.008032608273607689,1.0165877008016662,0.20202544530702626,0.20202544530702626,class_conditional
42,header,random,0.01,0.07854876322145417,0.10724467340202062,0.1252774953750771,0.0003292982423284185,0.0027880170185444753,0.004739523564492315,0.0003292982423284185,0.0027880170185444753,0.004739523564492315,0.04672873215362293,1.5949009282536968,0.0044102253221638965,0.0044102253221638965,class_conditional
42,header,random,0.05,0.1459123844424086,0.21075801907238834,0.22737746037566042,0.0013043676266577986,0.006314204887515895,0.006741756899770001,0.0013043676266577986,0.006314204887515895,0.006741756899770001,0.08146507593325183,1.5583150206513552,0.005437389273112203,0.005437389273112203,class_conditional
42,header,random,0.1,0.2666394603148164,0.3193245473642093,0.3278820352994117,0.0027443622579213177,0.015082446898694802,0.018497241411397396,0.0027443622579213177,0.015082446898694802,0.018497241411397396,0.06124257498459529,1.229683089338267,0.01575287915347608,0.01575287915347608,class_conditional
42,imports,important,0.01,0.046641340276671106,0.10255510658375475,0.0999026273958238,0.024194018298056785,0.0413562703497532,0.03947799521806816,0.024194018298056785,0.0413562703497532,0.03947799521806816,0.05326128711915269,2.1419330320100753,0.015283976920011377,0.015283976920011377,class_conditional
42,imports,important,0.05,0.17371881538295456,0.29776307193496093,0.2533934768677647,0.14287228306221222,0.11705316903943697,0.09847119966642826,0.14287228306221222,0.11705316903943697,0.09847119966642826,0.07967466148481014,1.458641519683238,-0.04440108339578397,-0.04440108339578397,class_conditional
42,imports,important,0.1,0.20932826805533422,0.35352899900796053,0.2837204657240111,0.19223509397259286,0.16127487117086092,0.10068032606346722,0.19223509397259286,0.16127487117086092,0.10068032606346722,0.07439219766867688,1.3553853397813043,-0.09155476790912564,-0.09155476790912564,class_conditional
42,imports,random,0.01,0.010734756614762989,0.03770778388056812,0.040754179947901495,-0.005376755803620997,0.0027465518308427916,0.0022129710036514483,-0.005376755803620997,0.0027465518308427916,0.0022129710036514483,0.030019423333138506,3.7964698605140477,0.007589726807272446,0.007589726807272446,class_conditional
42,imports,random,0.05,0.018586622936661752,0.08205557840741369,0.08616435163993777,-0.0017261575176658994,0.010418821391985078,0.00838143408774809,-0.0017261575176658994,0.010418821391985078,0.00838143408774809,0.06757772870327602,4.635826095658306,0.010107591605413989,0.010107591605413989,class_conditional
42,imports,random,0.1,0.023443789294031164,0.09415120133562391,0.10165366978203516,-0.0007203330337897773,0.016799231472294653,0.013860323563065425,-0.0007203330337897773,0.016799231472294653,0.013860323563065425,0.078209880488004,4.336059691848382,0.014580656596855202,0.014580656596855202,class_conditional
77,header,important,0.01,0.027067231779273664,0.24405223849459673,0.24214166666666667,0.00034348610420453785,0.14493959249045973,0.11700630222222208,0.00034348610420453785,0.14493959249045973,0.11700630222222208,0.215074434887393,8.94593391157507,0.11666281611801754,0.11666281611801754,class_conditional
77,header,important,0.05,0.04496800465386853,0.36276546918679853,0.345825,-0.0008570020443119386,0.15473294479958766,0.14044309708333325,-0.0008570020443119386,0.15473294479958766,0.14044309708333325,0.3008569953461315,7.690467981888745,0.14130009912764518,0.14130009912764518,class_conditional
77,header,important,0.1,0.5004238344552481,0.4326574039304043,0.5102833333333333,0.004283453781976809,0.17863469321885184,0.1818266262499999,0.004283453781976809,0.17863469321885184,0.1818266262499999,0.009859498878085238,1.0197022967317655,0.1775431724680231,0.1775431724680231,class_conditional
77,header,random,0.01,0.01389387517659769,0.03417887094755288,0.035185,0.00014447403171443662,0.00032419160329795195,0.0005941325277776966,0.00014447403171443662,0.00032419160329795195,0.0005941325277776966,0.021291124823402313,2.5324108323115113,0.00044965849606325994,0.00044965849606325994,class_conditional
77,header,random,0.05,0.17570015789911078,0.24633788125339007,0.2558041666666666,0.0015328500953091019,0.006081202811202996,0.008805091354166567,0.0015328500953091019,0.006081202811202996,0.008805091354166567,0.08010400876755583,1.4559131290795568,0.0072722412588574654,0.0072722412588574654,class_conditional
77,header,random,0.1,0.21737804371312225,0.257079108774565,0.28873875,0.005752520063263144,0.01813269935029661,0.021862254798610998,0.005752520063263144,0.01813269935029661,0.021862254798610998,0.07136070628687774,1.3282792736006668,0.016109734735347853,0.016109734735347853,class_conditional
77,imports,important,0.01,0.0549609333190624,0.10025877270782683,0.117950595911845,0.042500159037290985,0.019311734407733372,0.02481150356692563,0.042500159037290985,0.019311734407733372,0.02481150356692563,0.0629896625927826,2.1460806574573863,-0.017688655470365355,-0.017688655470365355,class_conditional
77,imports,important,0.05,0.08642239585191527,0.19112138318186087,0.20335907850056595,0.02390200925883057,0.06399612034107105,0.0733021762732664,0.02390200925883057,0.06399612034107105,0.0733021762732664,0.11693668264865067,2.353083092593517,0.049400167014435836,0.049400167014435836,class_conditional
77,imports,important,0.1,0.11835955617396268,0.2845143316255726,0.27796457820094544,0.1205069531046511,0.17321762026037513,0.14732532189394543,0.1205069531046511,0.17321762026037513,0.14732532189394543,0.15960502202698276,2.348476009764672,0.026818368789294333,0.026818368789294333,class_conditional
77,imports,random,0.01,0.007483023535148119,0.02455132151465509,0.03366194486983155,0.0031031889007759163,0.0014696488511469151,0.0018638549406940152,0.0031031889007759163,0.0014696488511469151,0.0018638549406940152,0.026178921334683435,4.498441667558547,-0.0012393339600819011,-0.0012393339600819011,class_conditional
77,imports,random,0.05,0.015181597631025012,0.06410937320659037,0.07167379652440244,0.006521077432453798,0.009562252257627213,0.008550869722763005,0.006521077432453798,0.009562252257627213,0.008550869722763005,0.05649219889337742,4.721097098366666,0.002029792290309207,0.002029792290309207,class_conditional
77,imports,random,0.1,0.02502764993399693,0.08891816313114975,0.09540165789999336,0.011722352153527838,0.015294145023004557,0.015863709000969665,0.011722352153527838,0.015294145023004557,0.015863709000969665,0.07037400796599642,3.811850419499521,0.004141356847441827,0.004141356847441827,class_conditional
123,header,important,0.01,0.10388587069215775,0.4398646814375509,0.3968333333333333,-6.174577318462937e-05,0.0026797548519151837,0.008439418611111194,-6.174577318462937e-05,0.0026797548519151837,0.008439418611111194,0.29294746264117555,3.8198970725216235,0.008501164384295823,0.008501164384295823,class_conditional
123,header,important,0.05,0.47960021565130845,0.40428091131204713,0.46141666666666664,0.05313677922641147,0.2344208240735306,0.2274730425,0.05313677922641147,0.2344208240735306,0.2274730425,-0.018183548984641806,0.9620860283393574,0.17433626327358853,0.17433626327358853,class_conditional
123,header,important,0.1,0.48494173267532037,0.41950424958757077,0.5036583333333333,0.003592006377200363,0.16401023548361238,0.17476777166666668,0.003592006377200363,0.16401023548361238,0.17476777166666668,0.01871660065801295,1.0385955660172974,0.17117576528946632,0.17117576528946632,class_conditional
123,header,random,0.01,0.03236055239912081,0.08816944055798023,0.08888208333333333,0.0003886329648066511,0.0013927963424640755,0.0010367138402777865,0.0003886329648066511,0.0013927963424640755,0.0010367138402777865,0.05652153093421253,2.7466182355944007,0.0006480808754711354,0.0006480808754711354,class_conditional
123,header,random,0.05,0.2116024551072036,0.30408252761709864,0.2997041666666666,0.0019758381038628703,0.013293724977835902,0.012336426284722212,0.0019758381038628703,0.013293724977835902,0.012336426284722212,0.088101711559463,1.4163548646674646,0.010360588180859342,0.010360588180859342,class_conditional
123,header,random,0.1,0.24284867084145484,0.27499404848915165,0.28539041666666665,0.005149607864999334,0.0213753511320176,0.019984540062499983,0.005149607864999334,0.0213753511320176,0.019984540062499983,0.04254174582521181,1.1751780056189207,0.01483493219750065,0.01483493219750065,class_conditional
123,imports,important,0.01,0.07330725458170341,0.19449767897449002,0.166082475085131,0.12209077421982006,0.03039140103675353,0.034220312404686926,0.12209077421982006,0.03039140103675353,0.034220312404686926,0.09277522050342758,2.2655667032248012,-0.08787046181513314,-0.08787046181513314,class_conditional
123,imports,important,0.05,0.04393087774567986,0.20854627145351562,0.2211741001923253,0.07298147022671975,0.06172609469704504,0.0782501163164695,0.07298147022671975,0.06172609469704504,0.0782501163164695,0.17724322244664545,5.034593241517362,0.005268646089749751,0.005268646089749751,class_conditional
123,imports,important,0.1,0.06786094174130886,0.23995996763340574,0.2533865072559092,0.10211674716904151,0.10999308105527905,0.10405807560709146,0.10211674716904151,0.10999308105527905,0.10405807560709146,0.18552556551460037,3.733907911591297,0.0019413284380499496,0.0019413284380499496,class_conditional
123,imports,random,0.01,0.005756700359793772,0.021346780375622845,0.028583203590072347,0.0007880918522622571,0.0014727706250173278,0.0014586563160257416,0.0007880918522622571,0.0014727706250173278,0.0014586563160257416,0.022826503230278575,4.965206073552925,0.0006705644637634846,0.0006705644637634846,class_conditional
123,imports,random,0.05,0.024565079660317478,0.06562273753247305,0.0815363544780158,0.006332616426351417,0.008121312165244799,0.007887675070843347,0.006332616426351417,0.008121312165244799,0.007887675070843347,0.05697127481769832,3.3191976417536284,0.00155505864449193,0.00155505864449193,class_conditional
123,imports,random,0.1,0.040123690007730625,0.10763729185298751,0.12275724550200236,0.0403005942228992,0.017253232237790884,0.012463455749832092,0.0403005942228992,0.017253232237790884,0.012463455749832092,0.08263355549427173,3.059470489338113,-0.02783713847306711,-0.02783713847306711,class_conditional
2024,header,important,0.01,0.03193855535099922,0.24448130290010295,0.23441666666666666,0.0021053406170022937,0.14925084113473996,0.11653270749999989,0.0021053406170022937,0.14925084113473996,0.11653270749999989,0.20247811131566745,7.33961395844201,0.1144273668829976,0.1144273668829976,class_conditional
2024,header,important,0.05,0.0518480877685496,0.3759756956454698,0.343675,-0.00039611098157421587,0.1567804533430035,0.14037058916666656,-0.00039611098157421587,0.1567804533430035,0.14037058916666656,0.2918269122314504,6.628499040006427,0.14076670014824078,0.14076670014824078,class_conditional
2024,header,important,0.1,0.4977716318319269,0.4260263297174077,0.5061166666666667,0.005834085016848789,0.25961534424835564,0.21559019583333328,0.005834085016848789,0.25961534424835564,0.21559019583333328,0.00834503483473975,1.0167647858999675,0.2097561108164845,0.2097561108164845,class_conditional
2024,header,random,0.01,0.05872270769640879,0.09101651545901975,0.09849916666666667,0.000499040867933559,0.00744973008209891,0.007091037333333328,0.000499040867933559,0.00744973008209891,0.007091037333333328,0.039776458970257875,1.6773607779787447,0.006591996465399768,0.006591996465399768,class_conditional
2024,header,random,0.05,0.24497430087551958,0.2838896135557621,0.29495499999999997,0.0025266711842623912,0.010153574848695845,0.010867137597222205,0.0025266711842623912,0.010153574848695845,0.010867137597222205,0.04998069912448039,1.2040242545681452,0.008340466412959813,0.008340466412959813,class_conditional
2024,header,random,0.1,0.2904380097131861,0.3367315810749426,0.34460999999999997,0.004966816614759406,0.011370044991816586,0.017945078208333343,0.004966816614759406,0.011370044991816586,0.017945078208333343,0.054171990286813854,1.186518253379817,0.012978261593573938,0.012978261593573938,class_conditional
2024,imports,important,0.01,0.03144136293981551,0.11479763171762469,0.10570074227113306,0.052857055853424484,0.06180382145057717,0.027208792083904698,0.052857055853424484,0.06180382145057717,0.027208792083904698,0.07425937933131754,3.361837159332549,-0.025648263769519786,-0.025648263769519786,class_conditional
2024,imports,important,0.05,0.056807187284035936,0.18896661465813866,0.2120346226580138,0.1137017836001617,0.072611417978371,0.09523301743691703,0.1137017836001617,0.072611417978371,0.09523301743691703,0.15522743537397785,3.7325316178363255,-0.018468766163244665,-0.018468766163244665,class_conditional
2024,imports,important,0.1,0.07487755776569213,0.23136217567860795,0.2713913210093554,0.1437840752492091,0.11312772492001666,0.1481198829243311,0.1437840752492091,0.11312772492001666,0.1481198829243311,0.1965137632436633,3.6244681197882658,0.004335807675121983,0.004335807675121983,class_conditional
2024,imports,random,0.01,0.006387428262371925,0.01499860506928156,0.022786307555170488,-0.006347391575790551,0.002026060601777513,0.0011912098253622715,-0.006347391575790551,0.002026060601777513,0.0011912098253622715,0.01639887929279856,3.567368057877641,0.007538601401152822,0.007538601401152822,class_conditional
2024,imports,random,0.05,0.022523962621315466,0.05727998842724145,0.07225313861559353,0.006034739377137627,0.015158680490479286,0.009486398154052122,0.006034739377137627,0.015158680490479286,0.009486398154052122,0.04972917599427806,3.207834244371239,0.0034516587769144952,0.0034516587769144952,class_conditional
2024,imports,random,0.1,0.04085424115861903,0.08208753965219728,0.10878312520306241,0.01796896329227019,0.02123107853219579,0.014927738516137651,0.01796896329227019,0.02123107853219579,0.014927738516137651,0.06792888404444339,2.662713150899204,-0.0030412247761325405,-0.0030412247761325405,class_conditional
