seed,feature_group,density_bin,density_definition,thresholds_json,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",important,0.01,0,120107,1,0.99652180250775,0.9963380582405821,0.00018374426716794012,0.00018374426716794012,0.030339613844322145,0.019191221161131325,0.0,0.03841666666666667,0.0,0.09952198225428668,0.09952198225428668,-0.08308095545932566
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",important,0.01,0,239893,1,0.9428736923409484,0.8099532072000311,0.13292048514091737,0.13292048514091737,0.23438366271629435,0.20996027395547182,0.0,0.41973333333333335,0.0,0.1852011845588706,0.1852011845588706,-0.0867958022155629
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",important,0.01,0,120000,1,0.8926097197222223,0.7904790930555555,0.10213062666666672,0.10213062666666672,0.22604166666666667,0.19485833333333333,0.0,0.38971666666666666,0.0,0.16726175368159676,0.16726175368159676,-0.05030370939563445
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,1,120107,1,0.99652180250775,0.996692840822755,-0.0001710383150049788,-0.0001710383150049788,0.0,0.0,0.0,0.0,0.0,0.0041209844021798895,0.0041209844021798895,0.002733500847969105
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,1,239893,1,0.9428736923409484,0.9428603021374614,1.3390203487007035e-05,1.3390203487007035e-05,0.008099444335599622,0.004306086463548332,0.0,0.008608333333333334,0.0,0.007990222325607903,0.007990222325607903,0.001559481499984176
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,1,120000,1,0.8926097197222223,0.8909989697222223,0.0016107499999999941,0.0016107499999999941,0.009825,0.005141666666666667,0.0,0.010283333333333334,0.0,0.00883896222269322,0.00883896222269322,0.0006964658011175188
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,2,120107,1,0.99652180250775,0.9964809043317195,4.0898176030479405e-05,4.0898176030479405e-05,0.007226889356990018,0.0,0.0060529361319490126,0.0,0.012095097076879564,0.019314491729397976,-0.019314491729397976,-0.005176939731279264
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,2,239893,1,0.9428736923409484,0.9430018894973018,-0.00012819715635337126,-0.00012819715635337126,0.03204345270599809,0.0,0.022539215400199257,0.0,0.0450985462036983,0.033063842758248724,-0.033063842758248724,0.001610333681985259
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,2,120000,1,0.8926097197222223,0.8926803819444444,-7.066222222218421e-05,-7.066222222218421e-05,0.04641666666666667,0.0,0.024016666666666665,0.0,0.04803333333333333,0.03590885440194694,-0.03590885440194694,-0.0011688654271927868
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,3,120107,1,0.99652180250775,0.9946565519268415,0.001865250580908473,0.001865250580908473,0.01594411649612429,0.014828444636865461,0.0,0.029683333333333332,0.0,0.014958677086910982,0.014958677086910982,-0.007650457767674634
