seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,120000,1,0.9995546958617778,0.9995052858896779,4.9409972099900834e-05,4.9409972099900834e-05,8.333333333333333e-05,8.333333333333333e-05,0.0,0.00033178500331785003,0.0,0.005255588120062479,0.0052404853213918546,-0.003392440428046474
13,header,mid_density,important,0.01,0,239999,1,0.9735229816878829,0.95803195729364,0.01549102439424288,0.01549102439424288,0.04810436710152959,0.038641827674281974,0.0,0.05769817025750779,0.0,0.058596177128562583,0.0585750368702082,-0.040914510498091264
13,header,low_density,important,0.01,0,120001,1,0.9567428487726374,0.9405139993690175,0.016228849403619905,0.016228849403619905,0.0635828034766377,0.042141315489037594,8.333263889467588e-06,0.10293728499603069,1.4109546519174874e-05,0.0651886568006484,0.06504789214409018,-0.036609251979013054
13,header,high_density,random,0.01,1,120000,1,0.9995546958617778,0.9995533552081531,1.340653624670729e-06,1.340653624670729e-06,0.00016666666666666666,0.0,0.00016666666666666666,0.0,0.00022256843979523704,0.0005982803326718904,-0.0005680822413038195,-0.0004391592803723216
13,header,mid_density,random,0.01,1,239999,1,0.9735229816878829,0.9729196398432226,0.0006033418446602656,0.0006033418446602656,0.002283342847261864,7.91669965291522e-05,0.0017916741319755499,0.00011820845750405953,0.005424772285721495,0.003277086693597191,-0.0024594289484991916,-0.0010293379943703976
13,header,low_density,random,0.01,1,120001,1,0.9567428487726374,0.9560513376776338,0.0006915110950035386,0.0006915110950035386,0.0050249581253489555,0.001333322222314814,0.0024333130557245355,0.0032568648604636963,0.0041199875835990635,0.005098625116554761,-0.002784497752422604,-0.001772525098381927
13,header,high_density,random,0.01,2,120000,1,0.9995546958617778,0.9995210669077357,3.362895404213084e-05,3.362895404213084e-05,0.003375,0.0,0.001958333333333333,0.0,0.002615179167594035,0.0048533044179383845,-0.004853173714367752,-0.0029230987259021295
13,header,mid_density,random,0.01,2,239999,1,0.9735229816878829,0.9732943750420878,0.00022860664579504864,0.00022860664579504864,0.013195888316201318,5.0000208334201394e-05,0.008950037291822048,7.465797316045864e-05,0.02709862992960412,0.015850790681993493,-0.01505368866196626,0.001556852391454948
13,header,low_density,random,0.01,2,120001,1,0.9567428487726374,0.955085266990626,0.0016575817820113636,0.0016575817820113636,0.023233139723835634,0.00017499854167881933,0.016149865417788185,0.0004274635129358601,0.027344301154160904,0.024806732160079673,-0.023511611941049483,-0.005206741193004239
13,header,high_density,random,0.01,3,120000,1,0.9995546958617778,0.9995301791801476,2.4516681630171178e-05,2.4516681630171178e-05,0.00115,0.00021666666666666666,0.00016666666666666666,0.0008626410086264101,0.00022256843979523704,0.007404222307653098,0.006174323743169838,-0.004762012463736061
