seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,flip_rate,benign_to_malware_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,2024-09-22_2024-09-28,random,0.05,14,4,0.0105,0.004025,0.002725,0.027144740819820483,-0.009533602285245885,-0.022774904174518433
13,header,2024-09-22_2024-09-28,random,0.05,15,4,0.00565,0.000575,0.0024,0.07387954700316433,-0.040966265941189454,-0.07207733303298709
13,header,2024-09-22_2024-09-28,random,0.05,16,4,0.032275,0.014425,0.0077,0.10364155696742545,-0.03109104545821208,-0.09653030546270916
13,header,2024-09-22_2024-09-28,random,0.05,17,4,0.0018,0.000225,0.00085,0.012116454014546495,-0.006864898881442693,-0.010857121459492965
13,header,2024-09-22_2024-09-28,random,0.05,18,4,0.036075,0.00165,0.025425,0.12436198404491368,-0.06908286099757836,-0.11636468637738899
13,header,2024-09-22_2024-09-28,random,0.05,19,4,0.020775,0.00485,0.009475,0.08658887535446506,-0.053817109653986187,-0.07994053477520893
13,header,2024-09-22_2024-09-28,random,0.05,20,4,0.001625,0.000325,0.00035,0.007542110113016069,0.005253939571890527,-0.006787360091371051
13,header,2024-09-22_2024-09-28,random,0.1,1,8,0.02915,0.01355,0.0032,0.16379439289739647,0.01820576323975088,-0.15826905026938112
13,header,2024-09-22_2024-09-28,random,0.1,2,8,0.003925,0.000925,0.0016,0.050701229778949794,-0.03075224046281763,-0.04939944707626871
13,header,2024-09-22_2024-09-28,random,0.1,3,8,0.02465,0.003225,0.012025,0.20925500742160147,-0.028982717499612693,-0.20552538124161665
13,header,2024-09-22_2024-09-28,random,0.1,4,8,0.01315,0.00425,0.00405,0.08225213757639079,-0.04603680483522509,-0.07942982691203715
13,header,2024-09-22_2024-09-28,random,0.1,5,8,0.089975,0.0613,0.00725,0.18925134008651387,0.01023909128025099,-0.1612769969860652
13,header,2024-09-22_2024-09-28,random,0.1,6,8,0.028,0.01275,0.00415,0.1493024889899507,-0.026780467952946408,-0.14466346605844324
13,header,2024-09-22_2024-09-28,random,0.1,7,8,0.0373,0.021275,0.002075,0.12159819522269147,0.010442710339442189,-0.1110722297360786
13,header,2024-09-22_2024-09-28,random,0.1,8,8,0.0423,0.027825,0.00265,0.12333093983923286,-0.00021502218326618122,-0.10707448028521976
13,header,2024-09-22_2024-09-28,random,0.1,9,8,0.049525,0.02025,0.016875,0.163353261812811,-0.0183038008834775,-0.15255289625471066
13,header,2024-09-22_2024-09-28,random,0.1,10,8,0.026375,0.015475,0.001775,0.0993392805427636,0.07695077461288082,-0.0933091135067416
13,header,2024-09-22_2024-09-28,random,0.1,11,8,0.04385,0.027825,0.0008,0.0970905537373684,0.0398209146123861,-0.08122288200499837
13,header,2024-09-22_2024-09-28,random,0.1,12,8,0.036075,0.021325,0.00215,0.09428879000979846,0.03185668985430788,-0.08158189232592988
13,header,2024-09-22_2024-09-28,random,0.1,13,8,0.056375,0.00355,0.04225,0.14177935140874517,-0.08158409524754498,-0.12965802286932965
