feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_mean,benign_to_malware_rate_std,benign_to_malware_rate_min,benign_to_malware_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max
header,2024-09-22_2024-09-28,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-22_2024-09-28,important,0.01,5,1,0.020655,0.015214634402442933,0.0068,0.048675,0.013454999999999998,0.01025504022420195,0.003325,0.031275,0.001065,0.0009764220398987317,0.000125,0.002775,0.05317573317967644,0.027773938835583843,0.019707600341864463,0.08608947329956736,0.03807480309482687,0.03857490781291279,-0.007977599861255187,0.08278557329956736,-0.04527153465010659,0.026725237318525896,-0.08214829874872034,-0.016917240520988325
header,2024-09-22_2024-09-28,important,0.05,5,4,0.10922499999999999,0.005489398874193783,0.1015,0.1173,0.07877,0.004419937782367528,0.071525,0.08455,0.005425,0.0013486103959261177,0.004,0.007575,0.19813884428581274,0.00476108614735535,0.19234407842170914,0.20567067659113605,0.12342787449068253,0.007098838529464678,0.11730321950852722,0.13699223635068228,-0.16294294372115292,0.0035570688647936833,-0.16803051997363005,-0.1577498565233381
header,2024-09-22_2024-09-28,important,0.1,5,8,0.1668,0.024062096749867833,0.138425,0.204625,0.102065,0.021712430771334657,0.079725,0.143275,0.034435,0.03306425033174047,0.00375,0.094925,0.3372747309633941,0.022852001230321956,0.30127240439795544,0.36277796203557555,0.06808005103484767,0.023866077653704947,0.03280359967380874,0.10220288354516625,-0.3128979509842744,0.026943951394495628,-0.3400545150045156,-0.27548638869959197
header,2024-09-22_2024-09-28,random,0.01,100,1,0.00428,0.009063729226979369,0.0,0.05,0.0019704999999999996,0.005640265264152032,0.0,0.034425,0.00081125,0.0016879365176155178,0.0,0.009775,0.014932841840882994,0.022592081621185662,3.7990444123892075e-19,0.08576301994219308,-0.0020344061731205295,0.01765671510750478,-0.06341996758745953,0.059677375942900505,-0.013054068259573257,0.01985353597372666,-0.08280369827386616,3.399999999998557e-07
header,2024-09-22_2024-09-28,random,0.05,100,4,0.0188945,0.017731082729207488,2.5e-05,0.08675,0.00893975,0.011681396050451332,0.0,0.0589,0.0034435,0.0040243502891771235,0.0,0.025425,0.0691046164227557,0.044532434988078774,0.0012066480326748937,0.19191135264262976,-0.0016327200926077095,0.03726540572027018,-0.09625254206599425,0.10597494082742864,-0.06294425397820613,0.0413722218393843,-0.18221309575702693,-0.0011241017178498583
header,2024-09-22_2024-09-28,random,0.1,100,8,0.03728775,0.020559281205516405,0.003925,0.09385,0.019007999999999997,0.015874201113756876,0.0001,0.066225,0.0069155,0.007309208045335691,0.000325,0.04225,0.12933095637579184,0.045081912864573165,0.038560146421442676,0.24228592848005642,-0.006690542023448708,0.042929054539311166,-0.10389417247124709,0.08999372762233887,-0.11918566424023115,0.0441046360486174,-0.23342405384793838,-0.03683029890382217
header,2024-09-29_2024-10-05,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-29_2024-10-05,important,0.01,5,1,0.022109999999999998,0.01461523691220912,0.0081,0.04835,0.015085000000000001,0.01043425368677607,0.0035,0.031175,0.0011,0.001089380557931892,0.0001,0.003125,0.04866333212812504,0.02725916284863872,0.015545051905135755,0.07858187158304837,0.03780260315701737,0.03419784454887745,-0.0031064232314882835,0.07751087158304835,-0.04079268301166341,0.025743628156607717,-0.07456564514387351,-0.01261652144640259
header,2024-09-29_2024-10-05,important,0.05,5,4,0.113735,0.007141753986241757,0.104675,0.1254,0.08445499999999999,0.005559797658188654,0.076025,0.0927,0.004860000000000001,0.00129765172523293,0.003625,0.0072,0.18686619468711974,0.005936027841389135,0.18106010307027803,0.19803923659127332,0.12849441891837066,0.007600950536920913,0.12161743918535671,0.14284133129383617,-0.15167419376251112,0.0045371857020773424,-0.16043652779505302,-0.14740235577707378
