density_bin,feature_group,density_definition,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,mix_at_10_benign_query_mean,mix_at_10_benign_query_std,mix_at_10_benign_query_min,mix_at_10_benign_query_max,mix_at_10_malware_query_mean,mix_at_10_malware_query_std,mix_at_10_malware_query_min,mix_at_10_malware_query_max,mix_at_10_class_balanced_mean,mix_at_10_class_balanced_std,mix_at_10_class_balanced_min,mix_at_10_class_balanced_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max
high_density,all,class_conditional,5,0.9974553877821222,0.00022782257427095946,0.9971441937078827,0.9977115755555557,0.010735428983925136,0.0003234756643787972,0.010160748660427831,0.0110675,0.004060666666666666,0.00013891884121473348,0.0038966666666666668,0.004308333333333332,0.0174101025871791,0.0005377930901279104,0.016424726254562427,0.017929701171647137,0.010735384626922884,0.00032348549111507725,0.010160696460614547,0.011067499999999997,0.07879784048689668,0.001730751743665797,0.07691567501933923,0.08191753772033838,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0
high_density,header,class_conditional,5,0.9848447357367498,0.0008236980514892809,0.9834030369444444,0.9857273739882113,0.01591622739810502,0.00026448395352628965,0.015414871542737145,0.016189031758068684,0.006547,0.00028690958699756125,0.006323333333333334,0.007098333333333334,0.025285330783375838,0.0005532242234524309,0.024452925784570253,0.026054565757237382,0.015916165391687914,0.00026448849797968484,0.01541479622561846,0.01618894954528536,0.07832350261636312,0.0017557191692968068,0.076397764684658,0.0814859097948056,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0
high_density,imports,class_conditional,5,0.9199961194784837,0.012807687614601708,0.9053241652916897,0.9420152621067428,0.12160598500151387,0.021676421810331845,0.09149257089524254,0.14137798851676237,0.15234833333333336,0.042772527917396296,0.09907000000000003,0.1900266666666667,0.09086414200318885,0.0068871107258086095,0.08391526807886535,0.1012016466392227,0.1216062376682611,0.021676596742950093,0.0914926340394327,0.14137832331961137,0.06806460896297531,0.0015026988482752643,0.06572592577311799,0.07017273483748608,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0
high_density,section,class_conditional,5,0.986279325623485,0.0005251007824265899,0.9857260698432804,0.9872017402487737,0.015984560635605816,0.0005148843490392835,0.01497154190381747,0.016371530237248026,0.005100666666666667,0.00025438946519067964,0.004753333333333334,0.0054933333333333344,0.02686830924484592,0.0008845187228608201,0.025189580173663774,0.027811203146614224,0.015984487955756292,0.000514892630762175,0.014971456753498555,0.016371434906640447,0.08278764487681907,0.006714518470447502,0.07546014090768262,0.09371292232866285,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0
high_density,strings,class_conditional,5,0.9868360813772062,0.001802585470272796,0.9849180221996299,0.9898199891112927,0.012311418192348397,0.00038283036187742995,0.011589070091082572,0.012701560820326497,0.005238999999999999,0.0002696367927416436,0.004706666666666666,0.00542,0.019383742032077243,0.0005192969998439777,0.018471358810686487,0.020057999033349445,0.012311371016038622,0.000382834238760699,0.011589012738676577,0.012701499516674722,0.0008377591910489066,0.00010477549625280248,0.0007305603355647389,0.000980239859118324,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0
low_density,all,class_conditional,5,0.9527124870101312,0.0016322099597734768,0.9503113417554152,0.9549044921473532,0.08427593992688949,0.0012450727854270128,0.08207514937375521,0.08543178806843275,0.06528890414604202,0.0009655513872709085,0.06376893718438026,0.066495,0.1032629769448287,0.0016208932234240353,0.10038166666666667,0.10452,0.08427594054543534,0.0012450139514607662,0.08207530192552347,0.08543163026449559,0.08172649266231577,0.0018339573759385563,0.07933048717045144,0.08498387805025864,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0
low_density,header,class_conditional,5,0.9090485028428674,0.0009613630124260295,0.9072059646228119,0.9099899916945828,0.08699192141176602,0.0007257543156840389,0.08575678536012203,0.08780666666666667,0.06537090004055487,0.0005707777193000053,0.06475558740687655,0.066455,0.10861294180096999,0.001085066486289512,0.10675833333333333,0.10968833333333333,0.08699192092076242,0.0007257204974171979,0.08575696037010494,0.08780666666666666,0.08049644621520709,0.001805246196218174,0.07815791131934283,0.08370843045694985,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0
low_density,imports,class_conditional,5,0.8860397601506179,0.001878983462029448,0.883183009588729,0.8883800529713395,0.14875750766660278,0.003130623988598592,0.14417629853084557,0.15357538687177605,0.09137405888790742,0.000947980769643318,0.09038,0.09306666666666667,0.2061409120681322,0.006382604055206465,0.19767333333333334,0.21605973233779438,0.1487574854780198,0.0031302391611100497,0.14417674433203892,0.15357486616889718,0.018039219000498374,0.00024110368842770744,0.017649353922402026,0.018382155478581748,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0
low_density,section,class_conditional,5,0.8985405731118268,0.0033923824568710807,0.8923004524924585,0.9022592529013406,0.07844131199740001,0.0009699349875876825,0.076616028199765,0.079405,0.05066466356116287,0.0006897768552879914,0.04945084248595857,0.05148080865318912,0.10621795598406694,0.0013270059361193461,0.10378166666666667,0.10766,0.0784413097726149,0.0009698577900804755,0.07661625457631262,0.079405,0.22303682663389224,0.01966094102880865,0.18668058514251595,0.24018333847625015,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0
low_density,strings,class_conditional,5,0.864625449744963,0.002171229453235308,0.8610401575251524,0.8673981896135063,0.10922610801576656,0.001293472416507374,0.10733577220189833,0.11094000000000001,0.09902333979433678,0.001230303480796517,0.09742833333333334,0.10032499458342362,0.11942887251879135,0.0015687706377069178,0.116935,0.121605,0.10922610615656406,0.001293476501056453,0.1073358521941301,0.11094000000000001,0.0004671066869533478,2.3150705568973388e-05,0.00042729759145633767,0.0004933969606679738,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0
mid_density,all,class_conditional,5,0.9831956201884827,0.00021966852996282968,0.9828901282394367,0.9835459731967755,0.04438654622542552,0.00020033308409930618,0.04409976708236285,0.04471537262810524,0.05690069010852868,0.0003160412070938038,0.056334166666666664,0.057225,0.03187231820075053,0.0003458480032682094,0.0315588593143219,0.032536104467537234,0.04438650415463961,0.00020035187832124083,0.0440997161052731,0.04471537262810524,0.08099157599755409,0.001242095254995369,0.07944348392842276,0.08249967146639095,239998.4,0.4898979485566356,239998.0,239999.0,119999.6,0.4898979485566356,119999.0,120000.0,119998.8,0.4,119998.0,119999.0
