seed,density_bin,feature_group,n_samples,n_benign,n_malware,auc,mix_at_10,mix_at_10_benign_query,mix_at_10_malware_query,mix_at_10_class_balanced,js_divergence,density_definition,thresholds_json
13,high_density,header,120001,60000,60001,0.9845898522524625,0.015414871542737145,0.006376666666666668,0.024452925784570253,0.01541479622561846,0.076397764684658,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,mid_density,header,239999,120000,119999,0.9510951856890474,0.05059354413976725,0.0609575,0.04022950191251594,0.05059350095625797,0.08195712566907318,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,low_density,header,120000,60000,60000,0.9092703744444444,0.08780666666666667,0.066455,0.10915833333333332,0.08780666666666666,0.08049102773349295,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,high_density,section,120001,60000,60001,0.986041782636956,0.016122365646952946,0.005241666666666667,0.02700288328527858,0.016122274975972625,0.09371292232866285,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,mid_density,section,239999,120000,119999,0.9408808107428672,0.04500560419001747,0.05201499999999999,0.03799614996791641,0.0450055749839582,0.06892208655934928,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,low_density,section,120000,60000,60000,0.8989197469444444,0.079405,0.05115000000000001,0.10766,0.079405,0.2193967617538946,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,high_density,imports,120001,60000,60001,0.9420152621067428,0.13837968016933191,0.1900266666666667,0.08673355444075931,0.13838011055371302,0.0690404263360885,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,mid_density,imports,239999,120000,119999,0.9242860653352666,0.14164934020558417,0.1401,0.14319869332244434,0.14164934666122217,0.041699454483655016,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,low_density,imports,120000,60000,60000,0.8859523194444445,0.1483875,0.09306666666666667,0.20370833333333335,0.1483875,0.01812747480355068,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,high_density,strings,120001,60000,60001,0.9898199891112927,0.012301564153632056,0.005306666666666666,0.01929634506091565,0.012301505863791157,0.0009438800131371251,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,mid_density,strings,239999,120000,119999,0.9112992107573119,0.06381484922853846,0.0809725,0.046657055475462304,0.06381477773773116,0.0002373140432917193,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,low_density,strings,120000,60000,60000,0.863809070972222,0.11094000000000001,0.10027500000000002,0.121605,0.11094000000000001,0.0004670420395487349,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
13,high_density,all,120001,60000,60001,0.9976794917306934,0.010640744660461164,0.0039700000000000004,0.017311378143697605,0.010640689071848803,0.07691567501933923,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00250249037488427, ""label_0_q_low"": -0.416911266958311, ""label_1_q_high"": -0.01962349127944596, ""label_1_q_low"": -0.29666627527280676, ""low_quantile"": 0.25}"
