density_bin,density_definition,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max,benign_to_malware_ratio_mean,benign_to_malware_ratio_std,benign_to_malware_ratio_min,benign_to_malware_ratio_max,n_packed_malware_mean,n_packed_malware_std,n_packed_malware_min,n_packed_malware_max,packed_ratio_mean,packed_ratio_std,packed_ratio_min,packed_ratio_max
high_density,class_conditional,5,120000.8,0.4,120000.0,120001.0,60000.0,0.0,60000.0,60000.0,60000.8,0.4,60000.0,60001.0,0.9999866668888853,6.666555557410803e-06,0.9999833336111065,1.0,3413.6,94.4300799533708,3240.0,3502.0,0.0568925756237396,0.0015738395484708805,0.05399910001499975,0.05836569390510158
low_density,class_conditional,5,120000.8,0.4,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.4,0.4898979485566356,60000.0,60001.0,1.0000000001111093,1.4906995626226426e-05,0.9999833336111065,1.0000166666666668,6737.2,172.1050841782427,6485.0,7011.0,0.11228593690105167,0.002869131120208821,0.1080815319744671,0.11685
mid_density,class_conditional,5,239998.4,0.4898979485566356,239998.0,239999.0,119999.6,0.4898979485566356,119999.0,120000.0,119998.8,0.4,119998.0,119999.0,1.0000066667500012,6.236192157236212e-06,1.0,1.000016666944449,8754.8,182.47345012357277,8540.0,8972.0,0.0729573969109009,0.001520657072125822,0.0711672597271644,0.0747672897274144
