feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,auc_original,mix_at_k_original,silhouette_original,js_divergence_original,auc_mean,auc_std,auc_min,auc_max,mix_at_k_mean,mix_at_k_std,mix_at_k_min,mix_at_k_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,delta_mix_at_k_mean,delta_mix_at_k_std,delta_mix_at_k_min,delta_mix_at_k_max,delta_silhouette_mean,delta_silhouette_std,delta_silhouette_min,delta_silhouette_max,delta_js_divergence_mean,delta_js_divergence_std,delta_js_divergence_min,delta_js_divergence_max
header,2024-10-27_2024-11-02,random,0.01,100,1,0.9431887599999998,0.069285,0.09207358006388065,0.07056712187533624,0.9418209041124997,0.010147181160711824,0.84654072125,0.9454684250000001,0.06923620000000001,0.001103106096438597,0.067925,0.07448,0.09144045447850417,0.00204413335873029,0.08457760147283219,0.09456503024620803,0.07088408921641616,0.00029101173305084256,0.07051093784955136,0.07140507221743363,-0.0019083331374999913,0.009999166787278337,-0.09584741000000008,0.0011404099999999806,0.00015720000000000095,0.0007118712383570508,-0.0005099999999999966,0.006030000000000008,0.00018593684696293521,0.0012733873449757966,-0.008464490313979472,0.00194789772840398,-1.2182481506193693e-05,5.145007944161272e-05,-0.0003361778171709212,1.0532246572894643e-05
header,2024-10-27_2024-11-02,random,0.05,100,4,0.9431887599999998,0.069285,0.09207358006388065,0.07056712187533624,0.9365486057625,0.01868707321481763,0.8396140212500001,0.94672732625,0.06977815,0.001716526238511954,0.067795,0.078845,0.09161158224052311,0.00380708792777398,0.08095735501991957,0.10118517586677206,0.07175547071607088,0.03058531765883956,0.002848892767166268,0.16941458089937958,-0.007180631487500002,0.018624151788024405,-0.10532856000000002,0.001784744999999921,0.0006991500000000015,0.0014808597258011977,-0.0010249999999999981,0.008215,0.00035706460898188823,0.0032270520208972967,-0.00815310290791231,0.008433767790898744,0.0008591990181485442,0.030592882689974874,-0.06799158676505988,0.09884745902404334
header,2024-10-27_2024-11-02,random,0.1,100,8,0.9431887599999998,0.069285,0.09207358006388065,0.07056712187533624,0.9203488235749998,0.03893102531731135,0.76265412875,0.9442758425000001,0.07114575,0.002630780243102795,0.067585,0.079,0.09213370330056836,0.005408365707686027,0.07566098003840571,0.1052127485818813,0.07246933118893578,0.031442894162568076,0.0011556099334211064,0.16991090024518207,-0.023380413674999993,0.038872679275608155,-0.1805346312499998,2.227499999996052e-05,0.002066750000000001,0.0026504666923958878,-0.0008649999999999908,0.010804999999999995,0.0008791856690271318,0.005142442301001166,-0.013449477889426173,0.012360102478903984,0.001573059491013415,0.03146195912222293,-0.07024945394400295,0.09850583636775802
header,2024-11-03_2024-11-09,baseline,0.0,5,0,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.93433788525,0.0007523754917183493,0.93335899875,0.9355613887500001,0.05913900000000001,0.0005687565384239564,0.058335,0.06004,0.08509652639684333,0.003514126572272705,0.08101438546265691,0.09073348336876176,0.06135095867257645,0.0007564363424249757,0.06035469125537132,0.062403186792601345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-11-03_2024-11-09,important,0.01,5,1,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.8424294532500001,0.04473367785229384,0.810602365,0.9308633212500002,0.059372,0.0005223179108550651,0.058585,0.060145,0.07869286521837802,0.0036168542883301107,0.07328671590965614,0.08262562844472343,0.06135095863171822,0.0007564363201175235,0.06035469128155947,0.06240318673439137,-0.09190843199999998,0.04414363449751373,-0.12317013749999994,-0.004698067499999903,0.00023299999999999986,6.469930447849016e-05,0.00010499999999999399,0.0002750000000000044,-0.0064036611784653,0.003264102941856406,-0.008562334033946864,9.945164838909282e-05,-4.085822929988936e-11,3.352582968705195e-11,-5.820997850403131e-11,2.618814887167531e-11
header,2024-11-03_2024-11-09,important,0.05,5,4,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.7826315597500001,0.049480488805891815,0.68709768,0.8221067675,0.06052,0.00042581686204282734,0.06012,0.06106,0.07904753222870156,0.0032118368277503067,0.07538015919988901,0.08290830117277612,0.061107375758709684,0.0007192517894267053,0.060181361928068236,0.0620811634946901,-0.15170632550000002,0.05005220468012563,-0.24846370875,-0.11234643500000008,0.0013810000000000003,0.0009025098337414412,0.00016999999999999654,0.002725000000000005,-0.006048994168141764,0.0014246792843090885,-0.008259657559408343,-0.004454388724422359,-0.00024358291386678138,5.753370224813513e-05,-0.00032202329791124196,-0.00017332932730308725
header,2024-11-03_2024-11-09,important,0.1,5,8,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.7769587877499999,0.023229114349116394,0.73809809125,0.80391157125,0.06420000000000001,0.004068300628026398,0.06064,0.06999,0.08028166255828996,0.0036854248784893144,0.07541597843462622,0.0859323822068991,0.06082713075842168,0.0006984945694560929,0.05989182627323547,0.06177865077615715,-0.15737909750000004,0.022685032665600482,-0.19567441124999996,-0.13164981750000004,0.005060999999999998,0.004287271160073736,0.0005999999999999964,0.010579999999999999,-0.004814863838553377,0.0004657577124233814,-0.005598407028030689,-0.004132804267592383,-0.0005238279141547813,0.00039088573459122026,-0.0010844383833042148,-0.0001613805684378411
header,2024-11-03_2024-11-09,random,0.01,100,1,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.9320158511999999,0.011981422513820622,0.8154783925,0.93828817875,0.05928699999999999,0.0009544611044982401,0.058165,0.065545,0.08543606217475143,0.003722129182792457,0.07587288637845302,0.09240441332890098,0.06290598968187636,0.011330688353666374,0.05962203393260879,0.1495027680341547,-0.002322034049999999,0.011946169366874565,-0.1189748100000001,0.002726789999999979,0.00014800000000000002,0.0008153217156435865,-0.00037500000000000033,0.007210000000000008,0.000339535777908074,0.0013173729751363697,-0.007973010080812151,0.005962361529309304,0.0015550310092998973,0.011288664427003797,-0.0012354047578781377,0.08709958124155334
header,2024-11-03_2024-11-09,random,0.05,100,4,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.9199298459374998,0.03567127204445829,0.71555853375,0.93804055625,0.059671200000000015,0.001394839438788565,0.058,0.066665,0.08577288716842078,0.005259869549863849,0.07066096511827882,0.10013698193575933,0.06543165929895745,0.021697476922901967,0.0032268604597442724,0.14950276641999452,-0.014408039312500015,0.03576989533198528,-0.22000285500000005,0.0038392675000000764,0.0005322000000000004,0.0012987752538449447,-0.0006250000000000006,0.0072550000000000045,0.0006763607715774654,0.0035933753473744267,-0.011865211678055515,0.00940349856699757,0.004080700626380994,0.021682099286293277,-0.058903959423462306,0.08709957962739318
header,2024-11-03_2024-11-09,random,0.1,100,8,0.9337725025,0.058335,0.08101438546265691,0.062403186792601345,0.9074226174375001,0.04544421303271395,0.69572895375,0.9365132712499998,0.06047320000000001,0.0023743776574083582,0.057895,0.07002,0.0855453163583614,0.006277400657642214,0.06831245497570797,0.10176531822783484,0.06313311933523406,0.03380341740415187,0.0017371485005877028,0.14808442690696902,-0.02691526781250001,0.0452934978439708,-0.23763004499999996,0.0014220399999999023,0.0013342,0.002277394752782223,-0.0005300000000000027,0.010930000000000002,0.00044878996151809193,0.005173126089253306,-0.014490883707466637,0.011077343137038398,0.0017821606626576114,0.033757641140019945,-0.06066603829201364,0.08568124011436767
