model,view,seed,family,dimension,sampling_mode,subset_indices_hash,n_subset_repeats,auc_mean,mix_at_10_mean,js_divergence_mean,same_family_rate_at_10_mean
lightgbm,wild_b,29,strings,16,family_random,seed_level_aggregate,10,0.9416242303148147,0.13177600000000003,0.03201821229835798,0.5927767897853471
lightgbm,wild_b,29,strings,32,family_random,seed_level_aggregate,10,0.9596172463518519,0.11174188888888889,0.023170847063643595,0.6244864130582718
lightgbm,wild_b,29,strings,64,family_random,seed_level_aggregate,10,0.9697967685555555,0.09823066666666666,0.01014704476557383,0.6398716373111185
lightgbm,wild_b,31,header,16,family_random,seed_level_aggregate,10,0.9283345042777776,0.1494098888888889,0.07344353176070546,0.5835736462221134
lightgbm,wild_b,31,header,32,family_random,seed_level_aggregate,10,0.9693916491851853,0.0881611111111111,0.05678384662265212,0.6893166711645831
lightgbm,wild_b,31,header,64,family_random,seed_level_aggregate,10,0.9803944308518519,0.07233563888888889,0.0806485517611339,0.7053596675538256
lightgbm,wild_b,31,imports,16,family_random,seed_level_aggregate,10,0.7156534569814814,0.37492030555555556,0.07145808069530359,0.3332591967162931
lightgbm,wild_b,31,imports,32,family_random,seed_level_aggregate,10,0.788799367537037,0.30250444444444446,0.06970960467756541,0.45018507022184534
lightgbm,wild_b,31,imports,64,family_random,seed_level_aggregate,10,0.8420674492222222,0.24445175,0.06372981955079168,0.5299214258245091
lightgbm,wild_b,31,section,16,family_random,seed_level_aggregate,10,0.8944283556851851,0.17899958333333332,0.13341549732263056,0.550547727984256
lightgbm,wild_b,31,section,32,family_random,seed_level_aggregate,10,0.9581572866296296,0.10525316666666666,0.1831635397160411,0.6398835994083912
lightgbm,wild_b,31,section,64,family_random,seed_level_aggregate,10,0.9713597166481481,0.08616225,0.17436834585830185,0.6724964761997565
lightgbm,wild_b,31,strings,16,family_random,seed_level_aggregate,10,0.9350293613703705,0.1369576388888889,0.017515326547633332,0.5928428915622486
lightgbm,wild_b,31,strings,32,family_random,seed_level_aggregate,10,0.9575534943333335,0.11093236111111111,0.020956671231977884,0.6245041529245281
lightgbm,wild_b,31,strings,64,family_random,seed_level_aggregate,10,0.9694639630740742,0.09652091666666666,0.014130942354527627,0.6393238584307417
