k,scope,feature_group,metric,mean,std,min,max
5,metric,header,same_family_rate_at_k,0.8341786010801374,0.011811950894997952,0.8120607028753993,0.8637557452396586
5,metric,header,family_silhouette,-0.004631940811398938,0.03939654468592886,-0.0820933401832576,0.10580365647750956
5,metric,header,family_macro_f1,0.6363373603699639,0.02747524706086823,0.5751685443666507,0.704435485538421
5,rank,header,same_family_rate_at_k_rank,1.3166666666666667,0.4651761912317621,1.0,2.0
5,rank,header,family_silhouette_rank,1.1833333333333333,0.4278499217664479,1.0,3.0
5,rank,header,family_macro_f1_rank,4.6,0.5537749241945383,3.0,5.0
5,metric,section,same_family_rate_at_k,0.8242971370993669,0.01196413896199047,0.7965006729475101,0.8416940249507551
5,metric,section,family_silhouette,-0.05639542027070191,0.034541597571370625,-0.13041233679204126,0.002342056510071416
5,metric,section,family_macro_f1,0.6947915697826265,0.027064029442059438,0.6359457976839186,0.7552606477373848
5,rank,section,same_family_rate_at_k_rank,1.75,0.566421515598881,1.0,3.0
5,rank,section,family_silhouette_rank,2.7333333333333334,1.364632632697248,1.0,5.0
5,rank,section,family_macro_f1_rank,2.4833333333333334,0.5913731666403389,2.0,4.0
5,metric,imports,same_family_rate_at_k,0.7584662851620193,0.016666395440760793,0.7269761606022584,0.7979645436638214
5,metric,imports,family_silhouette,-0.08169525635636292,0.03147780377949437,-0.1318582038559116,-0.024002114728881526
5,metric,imports,family_macro_f1,0.68598963611749,0.01929766157225698,0.6427191753281871,0.7423889703790667
5,rank,imports,same_family_rate_at_k_rank,4.95,0.21794494717703367,4.0,5.0
5,rank,imports,family_silhouette_rank,3.283333333333333,1.0815369721938415,2.0,5.0
5,rank,imports,family_macro_f1_rank,2.716666666666667,0.7092640943651071,2.0,5.0
5,metric,strings,same_family_rate_at_k,0.7793542375264146,0.012015839606937882,0.7555408970976253,0.7997304582210243
5,metric,strings,family_silhouette,-0.10440494680897122,0.01730947631128581,-0.1415545369962631,-0.07066964345829477
5,metric,strings,family_macro_f1,0.6467595897943187,0.03207385929006161,0.5792949582370577,0.7156896931885729
5,rank,strings,same_family_rate_at_k_rank,4.05,0.21794494717703367,4.0,5.0
5,rank,strings,family_silhouette_rank,4.233333333333333,0.8239471396205518,2.0,5.0
5,rank,strings,family_macro_f1_rank,4.2,0.7023769168568492,2.0,5.0
5,metric,all,same_family_rate_at_k,0.8106912402409253,0.009254397452835416,0.7905013192612137,0.8334208798424163
5,metric,all,family_silhouette,-0.08696047250093883,0.022785285503904955,-0.12619758809666753,-0.04272438666944724
5,metric,all,family_macro_f1,0.8044414993728154,0.019039727805860926,0.7597675327459554,0.857659659048663
5,rank,all,same_family_rate_at_k_rank,2.933333333333333,0.2494438257849294,2.0,3.0
5,rank,all,family_silhouette_rank,3.566666666666667,0.9012337223063849,2.0,5.0
5,rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
10,metric,header,same_family_rate_at_k,0.7835041489766449,0.01347556079906397,0.7608226837060703,0.8152659225213394
10,metric,header,family_silhouette,-0.004631940811398938,0.03939654468592886,-0.0820933401832576,0.10580365647750956
10,metric,header,family_macro_f1,0.6363373603699639,0.02747524706086823,0.5751685443666507,0.704435485538421
10,rank,header,same_family_rate_at_k_rank,1.2333333333333334,0.4229525846816507,1.0,2.0
10,rank,header,family_silhouette_rank,1.1833333333333333,0.4278499217664479,1.0,3.0
10,rank,header,family_macro_f1_rank,4.6,0.5537749241945383,3.0,5.0
10,metric,section,same_family_rate_at_k,0.7710886433055386,0.01361313424967217,0.7429340511440108,0.7903387703889586
10,metric,section,family_silhouette,-0.05639542027070191,0.034541597571370625,-0.13041233679204126,0.002342056510071416
10,metric,section,family_macro_f1,0.6947915697826265,0.027064029442059438,0.6359457976839186,0.7552606477373848
10,rank,section,same_family_rate_at_k_rank,1.8166666666666667,0.49972214501883166,1.0,3.0
10,rank,section,family_silhouette_rank,2.7333333333333334,1.364632632697248,1.0,5.0
10,rank,section,family_macro_f1_rank,2.4833333333333334,0.5913731666403389,2.0,4.0
10,metric,imports,same_family_rate_at_k,0.7057749040125073,0.013544937140059709,0.6800131926121372,0.7394541778975742
10,metric,imports,family_silhouette,-0.08169525635636292,0.03147780377949437,-0.1318582038559116,-0.024002114728881526
10,metric,imports,family_macro_f1,0.68598963611749,0.01929766157225698,0.6427191753281871,0.7423889703790667
10,rank,imports,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
10,rank,imports,family_silhouette_rank,3.283333333333333,1.0815369721938415,2.0,5.0
10,rank,imports,family_macro_f1_rank,2.716666666666667,0.7092640943651071,2.0,5.0
10,metric,strings,same_family_rate_at_k,0.7244087366853036,0.011212405928208487,0.7025065963060686,0.7460242587601078
10,metric,strings,family_silhouette,-0.10440494680897122,0.01730947631128581,-0.1415545369962631,-0.07066964345829477
10,metric,strings,family_macro_f1,0.6467595897943187,0.03207385929006161,0.5792949582370577,0.7156896931885729
10,rank,strings,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
10,rank,strings,family_silhouette_rank,4.233333333333333,0.8239471396205518,2.0,5.0
10,rank,strings,family_macro_f1_rank,4.2,0.7023769168568492,2.0,5.0
