scope,feature_group,metric,mean,std,min,max
metric,header,same_family_rate_at_k,0.774606366929042,0.04174073899023734,0.7066493610223642,0.8637557452396586
metric,header,family_silhouette,-0.004631940811398936,0.039396544685928854,-0.0820933401832576,0.10580365647750956
metric,header,family_macro_f1,0.6363373603699639,0.02747524706086823,0.5751685443666507,0.704435485538421
rank,header,same_family_rate_at_k_rank,1.1833333333333333,0.38693955887479664,1.0,2.0
rank,header,family_silhouette_rank,1.1833333333333333,0.42784992176644787,1.0,3.0
rank,header,family_macro_f1_rank,4.6,0.5537749241945383,3.0,5.0
metric,section,same_family_rate_at_k,0.7604682657351489,0.044831646488580894,0.6846900544959128,0.8416940249507551
metric,section,family_silhouette,-0.05639542027070189,0.034541597571370625,-0.13041233679204126,0.002342056510071416
metric,section,family_macro_f1,0.6947915697826264,0.027064029442059438,0.6359457976839186,0.7552606477373848
rank,section,same_family_rate_at_k_rank,1.8958333333333333,0.5016465942828233,1.0,3.0
rank,section,family_silhouette_rank,2.7333333333333334,1.364632632697248,1.0,5.0
rank,section,family_macro_f1_rank,2.4833333333333334,0.591373166640339,2.0,4.0
metric,imports,same_family_rate_at_k,0.6957916006557453,0.04454273370121594,0.6188984168865436,0.7979645436638214
metric,imports,family_silhouette,-0.08169525635636292,0.031477803779494364,-0.1318582038559116,-0.024002114728881526
metric,imports,family_macro_f1,0.6859896361174899,0.01929766157225698,0.6427191753281871,0.7423889703790667
rank,imports,same_family_rate_at_k_rank,4.9625,0.1899835519196333,4.0,5.0
rank,imports,family_silhouette_rank,3.283333333333333,1.0815369721938413,2.0,5.0
rank,imports,family_macro_f1_rank,2.716666666666667,0.7092640943651072,2.0,5.0
metric,strings,same_family_rate_at_k,0.716642826908567,0.04278291865020424,0.6430408970976254,0.7997304582210243
metric,strings,family_silhouette,-0.10440494680897121,0.01730947631128581,-0.1415545369962631,-0.07066964345829477
metric,strings,family_macro_f1,0.6467595897943187,0.0320738592900616,0.5792949582370577,0.7156896931885729
rank,strings,same_family_rate_at_k_rank,4.029166666666667,0.21209110987707352,3.0,5.0
rank,strings,family_silhouette_rank,4.233333333333333,0.8239471396205515,2.0,5.0
rank,strings,family_macro_f1_rank,4.2,0.7023769168568492,2.0,5.0
metric,all,same_family_rate_at_k,0.7438040435412219,0.04518228559989589,0.6768111254851229,0.8334208798424163
metric,all,family_silhouette,-0.08696047250093882,0.022785285503904955,-0.12619758809666753,-0.04272438666944724
metric,all,family_macro_f1,0.8044414993728153,0.019039727805860926,0.7597675327459554,0.857659659048663
rank,all,same_family_rate_at_k_rank,2.9291666666666667,0.2871979089215116,2.0,4.0
rank,all,family_silhouette_rank,3.566666666666667,0.901233722306385,2.0,5.0
rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
