seed,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,high_density,120001,60001,60000,1.0000166666666668,3560,0.059333333333333335,"{""2024-09-22_2024-09-28"": 12923, ""2024-09-29_2024-10-05"": 14321, ""2024-10-06_2024-10-12"": 10828, ""2024-10-13_2024-10-19"": 10532, ""2024-10-20_2024-10-26"": 10150, ""2024-10-27_2024-11-02"": 7543, ""2024-11-03_2024-11-09"": 9414, ""2024-11-10_2024-11-16"": 9815, ""2024-11-17_2024-11-23"": 9500, ""2024-11-24_2024-11-30"": 8751, ""2024-12-01_2024-12-07"": 7412, ""2024-12-08_2024-12-14"": 8812}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0042902043207098004, ""label_0_q_low"": -0.4597824830511612, ""label_1_q_high"": -0.045424737402584854, ""label_1_q_low"": -0.348704592284815, ""low_quantile"": 0.25}"
13,mid_density,239999,119999,120000,0.9999916666666666,8943,0.074525,"{""2024-09-22_2024-09-28"": 19230, ""2024-09-29_2024-10-05"": 18376, ""2024-10-06_2024-10-12"": 19363, ""2024-10-13_2024-10-19"": 19980, ""2024-10-20_2024-10-26"": 20183, ""2024-10-27_2024-11-02"": 21605, ""2024-11-03_2024-11-09"": 19888, ""2024-11-10_2024-11-16"": 19910, ""2024-11-17_2024-11-23"": 20175, ""2024-11-24_2024-11-30"": 20585, ""2024-12-01_2024-12-07"": 20545, ""2024-12-08_2024-12-14"": 20159}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0042902043207098004, ""label_0_q_low"": -0.4597824830511612, ""label_1_q_high"": -0.045424737402584854, ""label_1_q_low"": -0.348704592284815, ""low_quantile"": 0.25}"
13,low_density,120000,60000,60000,1.0,6425,0.10708333333333334,"{""2024-09-22_2024-09-28"": 7847, ""2024-09-29_2024-10-05"": 7303, ""2024-10-06_2024-10-12"": 9809, ""2024-10-13_2024-10-19"": 9488, ""2024-10-20_2024-10-26"": 9667, ""2024-10-27_2024-11-02"": 10852, ""2024-11-03_2024-11-09"": 10698, ""2024-11-10_2024-11-16"": 10275, ""2024-11-17_2024-11-23"": 10325, ""2024-11-24_2024-11-30"": 10664, ""2024-12-01_2024-12-07"": 12043, ""2024-12-08_2024-12-14"": 11029}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0042902043207098004, ""label_0_q_low"": -0.4597824830511612, ""label_1_q_high"": -0.045424737402584854, ""label_1_q_low"": -0.348704592284815, ""low_quantile"": 0.25}"
42,high_density,120000,60000,60000,1.0,3735,0.06225,"{""2024-09-22_2024-09-28"": 12921, ""2024-09-29_2024-10-05"": 14351, ""2024-10-06_2024-10-12"": 10713, ""2024-10-13_2024-10-19"": 10213, ""2024-10-20_2024-10-26"": 10115, ""2024-10-27_2024-11-02"": 7584, ""2024-11-03_2024-11-09"": 9627, ""2024-11-10_2024-11-16"": 9861, ""2024-11-17_2024-11-23"": 9412, ""2024-11-24_2024-11-30"": 8785, ""2024-12-01_2024-12-07"": 7396, ""2024-12-08_2024-12-14"": 9022}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.003927282705888706, ""label_0_q_low"": -0.46169284786162434, ""label_1_q_high"": -0.04791338380794191, ""label_1_q_low"": -0.34532056140889245, ""low_quantile"": 0.25}"
42,mid_density,240000,120000,120000,1.0,8782,0.07318333333333334,"{""2024-09-22_2024-09-28"": 19283, ""2024-09-29_2024-10-05"": 18330, ""2024-10-06_2024-10-12"": 19331, ""2024-10-13_2024-10-19"": 20258, ""2024-10-20_2024-10-26"": 20148, ""2024-10-27_2024-11-02"": 21491, ""2024-11-03_2024-11-09"": 19841, ""2024-11-10_2024-11-16"": 19839, ""2024-11-17_2024-11-23"": 20445, ""2024-11-24_2024-11-30"": 20578, ""2024-12-01_2024-12-07"": 20397, ""2024-12-08_2024-12-14"": 20059}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.003927282705888706, ""label_0_q_low"": -0.46169284786162434, ""label_1_q_high"": -0.04791338380794191, ""label_1_q_low"": -0.34532056140889245, ""low_quantile"": 0.25}"
42,low_density,120000,60000,60000,1.0,6439,0.10731666666666667,"{""2024-09-22_2024-09-28"": 7796, ""2024-09-29_2024-10-05"": 7319, ""2024-10-06_2024-10-12"": 9956, ""2024-10-13_2024-10-19"": 9529, ""2024-10-20_2024-10-26"": 9737, ""2024-10-27_2024-11-02"": 10925, ""2024-11-03_2024-11-09"": 10532, ""2024-11-10_2024-11-16"": 10300, ""2024-11-17_2024-11-23"": 10143, ""2024-11-24_2024-11-30"": 10637, ""2024-12-01_2024-12-07"": 12207, ""2024-12-08_2024-12-14"": 10919}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.003927282705888706, ""label_0_q_low"": -0.46169284786162434, ""label_1_q_high"": -0.04791338380794191, ""label_1_q_low"": -0.34532056140889245, ""low_quantile"": 0.25}"
77,high_density,120001,60001,60000,1.0000166666666668,3649,0.060816666666666665,"{""2024-09-22_2024-09-28"": 13036, ""2024-09-29_2024-10-05"": 14145, ""2024-10-06_2024-10-12"": 10770, ""2024-10-13_2024-10-19"": 10309, ""2024-10-20_2024-10-26"": 9967, ""2024-10-27_2024-11-02"": 7352, ""2024-11-03_2024-11-09"": 9400, ""2024-11-10_2024-11-16"": 9870, ""2024-11-17_2024-11-23"": 9685, ""2024-11-24_2024-11-30"": 8880, ""2024-12-01_2024-12-07"": 7529, ""2024-12-08_2024-12-14"": 9058}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.004074560159922624, ""label_0_q_low"": -0.46147947954080726, ""label_1_q_high"": -0.04614899039734671, ""label_1_q_low"": -0.3477319651745403, ""low_quantile"": 0.25}"
77,mid_density,239999,119999,120000,0.9999916666666666,9079,0.07565833333333333,"{""2024-09-22_2024-09-28"": 19213, ""2024-09-29_2024-10-05"": 18519, ""2024-10-06_2024-10-12"": 19383, ""2024-10-13_2024-10-19"": 20170, ""2024-10-20_2024-10-26"": 20275, ""2024-10-27_2024-11-02"": 21743, ""2024-11-03_2024-11-09"": 20010, ""2024-11-10_2024-11-16"": 19724, ""2024-11-17_2024-11-23"": 20154, ""2024-11-24_2024-11-30"": 20471, ""2024-12-01_2024-12-07"": 20297, ""2024-12-08_2024-12-14"": 20040}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.004074560159922624, ""label_0_q_low"": -0.46147947954080726, ""label_1_q_high"": -0.04614899039734671, ""label_1_q_low"": -0.3477319651745403, ""low_quantile"": 0.25}"
77,low_density,120000,60000,60000,1.0,6158,0.10263333333333333,"{""2024-09-22_2024-09-28"": 7751, ""2024-09-29_2024-10-05"": 7336, ""2024-10-06_2024-10-12"": 9847, ""2024-10-13_2024-10-19"": 9521, ""2024-10-20_2024-10-26"": 9758, ""2024-10-27_2024-11-02"": 10905, ""2024-11-03_2024-11-09"": 10590, ""2024-11-10_2024-11-16"": 10406, ""2024-11-17_2024-11-23"": 10161, ""2024-11-24_2024-11-30"": 10649, ""2024-12-01_2024-12-07"": 12174, ""2024-12-08_2024-12-14"": 10902}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.004074560159922624, ""label_0_q_low"": -0.46147947954080726, ""label_1_q_high"": -0.04614899039734671, ""label_1_q_low"": -0.3477319651745403, ""low_quantile"": 0.25}"
123,high_density,120001,60001,60000,1.0000166666666668,3585,0.05975,"{""2024-09-22_2024-09-28"": 12875, ""2024-09-29_2024-10-05"": 13859, ""2024-10-06_2024-10-12"": 10893, ""2024-10-13_2024-10-19"": 10394, ""2024-10-20_2024-10-26"": 10104, ""2024-10-27_2024-11-02"": 7584, ""2024-11-03_2024-11-09"": 9645, ""2024-11-10_2024-11-16"": 9806, ""2024-11-17_2024-11-23"": 9517, ""2024-11-24_2024-11-30"": 8931, ""2024-12-01_2024-12-07"": 7486, ""2024-12-08_2024-12-14"": 8907}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.004104771529042051, ""label_0_q_low"": -0.46229410929887826, ""label_1_q_high"": -0.047322795921428115, ""label_1_q_low"": -0.34793693501239764, ""low_quantile"": 0.25}"
