seed,mix_k,test_week,n_test_samples,n_benign,n_malware,header_acc,header_f1,header_auc,header_positive_rate,header_mix_at_k,header_silhouette,header_js_divergence,header_auc_rank,header_acc_rank,header_mix_at_k_rank,header_silhouette_rank,header_js_divergence_rank,section_acc,section_f1,section_auc,section_positive_rate,section_mix_at_k,section_silhouette,section_js_divergence,section_auc_rank,section_acc_rank,section_mix_at_k_rank,section_silhouette_rank,section_js_divergence_rank,imports_acc,imports_f1,imports_auc,imports_positive_rate,imports_mix_at_k,imports_silhouette,imports_js_divergence,imports_auc_rank,imports_acc_rank,imports_mix_at_k_rank,imports_silhouette_rank,imports_js_divergence_rank,strings_acc,strings_f1,strings_auc,strings_positive_rate,strings_mix_at_k,strings_silhouette,strings_js_divergence,strings_auc_rank,strings_acc_rank,strings_mix_at_k_rank,strings_silhouette_rank,strings_js_divergence_rank,all_acc,all_f1,all_auc,all_positive_rate,all_mix_at_k,all_silhouette,all_js_divergence,all_auc_rank,all_acc_rank,all_mix_at_k_rank,all_silhouette_rank,all_js_divergence_rank
13,5,2024-09-22_2024-09-28,58384,30000,28384,0.9473143326938888,0.9447080816796088,0.9899445062946262,0.4667032063579063,0.04808166620992053,0.18177709548395343,0.09564891137012485,3,3,2,1,2,0.9533776377089613,0.9509779202535749,0.9924676554866592,0.4648876404494382,0.04849273773636613,0.10923748432417849,0.054519615560427184,2,2,3,2,3,0.8897985749520416,0.8756426611001585,0.926701916572717,0.40000685119210744,0.18688681830638532,0.06191654967729339,0.04351067826323211,5,5,5,5,4,0.9317621266100301,0.9274369809121376,0.9852249248402857,0.4542340367223897,0.059338174842422584,0.06425538855273552,0.00044020241399888693,4,4,4,4,5,0.954302548643464,0.9519313923320841,0.993570382375047,0.46451082488352974,0.04667032063579063,0.06484274617065744,0.09573429142129762,1,1,1,3,1
13,10,2024-09-22_2024-09-28,58384,30000,28384,0.9473143326938888,0.9447080816796088,0.9899445062946262,0.4667032063579063,0.06284255960537133,0.18177709548395343,0.09564891137012485,3,3,2,1,2,0.9533776377089613,0.9509779202535749,0.9924676554866592,0.4648876404494382,0.06415113729788983,0.10923748432417849,0.054519615560427184,2,2,3,2,3,0.8897985749520416,0.8756426611001585,0.926701916572717,0.40000685119210744,0.16043093998355715,0.06191654967729339,0.04351067826323211,5,5,5,5,4,0.9317621266100301,0.9274369809121376,0.9852249248402857,0.4542340367223897,0.07928199506714169,0.06425538855273552,0.00044020241399888693,4,4,4,4,5,0.954302548643464,0.9519313923320841,0.993570382375047,0.46451082488352974,0.06270211016716909,0.06484274617065744,0.09573429142129762,1,1,1,3,1
13,15,2024-09-22_2024-09-28,58384,30000,28384,0.9473143326938888,0.9447080816796088,0.9899445062946262,0.4667032063579063,0.0712432629944277,0.18177709548395343,0.09564891137012485,3,3,1,1,2,0.9533776377089613,0.9509779202535749,0.9924676554866592,0.4648876404494382,0.07492006942541335,0.10923748432417849,0.054519615560427184,2,2,3,2,3,0.8897985749520416,0.8756426611001585,0.926701916572717,0.40000685119210744,0.18238901068785968,0.06191654967729339,0.04351067826323211,5,5,5,5,4,0.9317621266100301,0.9274369809121376,0.9852249248402857,0.4542340367223897,0.08971636064675254,0.06425538855273552,0.00044020241399888693,4,4,4,4,5,0.954302548643464,0.9519313923320841,0.993570382375047,0.46451082488352974,0.07220242988946743,0.06484274617065744,0.09573429142129762,1,1,2,3,1
13,20,2024-09-22_2024-09-28,58384,30000,28384,0.9473143326938888,0.9447080816796088,0.9899445062946262,0.4667032063579063,0.07769251849821869,0.18177709548395343,0.09564891137012485,3,3,1,1,2,0.9533776377089613,0.9509779202535749,0.9924676554866592,0.4648876404494382,0.08261681282543162,0.10923748432417849,0.054519615560427184,2,2,3,2,3,0.8897985749520416,0.8756426611001585,0.926701916572717,0.40000685119210744,0.17466942998081667,0.06191654967729339,0.04351067826323211,5,5,5,5,4,0.9317621266100301,0.9274369809121376,0.9852249248402857,0.4542340367223897,0.09682618525623458,0.06425538855273552,0.00044020241399888693,4,4,4,4,5,0.954302548643464,0.9519313923320841,0.993570382375047,0.46451082488352974,0.07876130446697725,0.06484274617065744,0.09573429142129762,1,1,2,3,1
13,5,2024-09-29_2024-10-05,58642,30000,28642,0.9463865488898742,0.9440808195788275,0.9888612084817168,0.4703454861703216,0.047201664336141334,0.20452661209194473,0.09682334878205423,3,3,3,1,3,0.9554244398212886,0.9534527582891129,0.9928262504946116,0.46922001295999455,0.046055727976535586,0.12397812064149201,0.12188952961414182,2,2,2,2,1,0.8946488864636267,0.882614478434353,0.9354007029304285,0.409058354080693,0.21130930050134716,0.08046911693757801,0.05480393614630924,5,5,5,5,4,0.9332219228539272,0.929461776785071,0.9864584223634288,0.45827222809590396,0.058156270249991475,0.08655382483710579,0.0006855836174348802,4,4,4,3,5,0.9593124381842365,0.9575429730595395,0.9945241766170889,0.4699021179359503,0.04365471846117117,0.08585088453592762,0.09704022213831023,1,1,1,4,2
13,10,2024-09-29_2024-10-05,58642,30000,28642,0.9463865488898742,0.9440808195788275,0.9888612084817168,0.4703454861703216,0.06173391084887964,0.20452661209194473,0.09682334878205423,3,3,2,1,3,0.9554244398212886,0.9534527582891129,0.9928262504946116,0.46922001295999455,0.06245012107363323,0.12397812064149201,0.12188952961414182,2,2,3,2,1,0.8946488864636267,0.882614478434353,0.9354007029304285,0.409058354080693,0.18810408921933086,0.08046911693757801,0.05480393614630924,5,5,5,5,4,0.9332219228539272,0.929461776785071,0.9864584223634288,0.45827222809590396,0.07629685208553597,0.08655382483710579,0.0006855836174348802,4,4,4,3,5,0.9593124381842365,0.9575429730595395,0.9945241766170889,0.4699021179359503,0.06012073258074418,0.08585088453592762,0.09704022213831023,1,1,1,4,2
13,15,2024-09-29_2024-10-05,58642,30000,28642,0.9463865488898742,0.9440808195788275,0.9888612084817168,0.4703454861703216,0.06977251799051874,0.20452661209194473,0.09682334878205423,3,3,2,1,3,0.9554244398212886,0.9534527582891129,0.9928262504946116,0.46922001295999455,0.07139138046678717,0.12397812064149201,0.12188952961414182,2,2,3,2,1,0.8946488864636267,0.882614478434353,0.9354007029304285,0.409058354080693,0.17160965405909304,0.08046911693757801,0.05480393614630924,5,5,5,5,4,0.9332219228539272,0.929461776785071,0.9864584223634288,0.45827222809590396,0.08648181621818264,0.08655382483710579,0.0006855836174348802,4,4,4,3,5,0.9593124381842365,0.9575429730595395,0.9945241766170889,0.4699021179359503,0.06876072894285097,0.08585088453592762,0.09704022213831023,1,1,1,4,2
13,20,2024-09-29_2024-10-05,58642,30000,28642,0.9463865488898742,0.9440808195788275,0.9888612084817168,0.4703454861703216,0.07657310460079807,0.20452661209194473,0.09682334878205423,3,3,2,1,3,0.9554244398212886,0.9534527582891129,0.9928262504946116,0.46922001295999455,0.07764400941304866,0.12397812064149201,0.12188952961414182,2,2,3,2,1,0.8946488864636267,0.882614478434353,0.9354007029304285,0.409058354080693,0.17461034753248525,0.08046911693757801,0.05480393614630924,5,5,5,5,4,0.9332219228539272,0.929461776785071,0.9864584223634288,0.45827222809590396,0.09407080249650421,0.08655382483710579,0.0006855836174348802,4,4,4,3,5,0.9593124381842365,0.9575429730595395,0.9945241766170889,0.4699021179359503,0.07549196821390812,0.08585088453592762,0.09704022213831023,1,1,1,4,2
13,5,2024-10-06_2024-10-12,58250,30000,28250,0.9369957081545064,0.9329876200562393,0.9852986784660768,0.45521030042918453,0.056748497854077255,0.1405712255408056,0.09380126861130919,3,3,3,1,2,0.9528583690987125,0.950316627465171,0.9913879929203541,0.46386266094420603,0.05198283261802575,0.08635738686657006,0.07887669337639736,2,2,1,2,3,0.8392103004291845,0.8072918809925518,0.9118618265486724,0.34939055793991414,0.166262660944206,0.027939456866629873,0.03278002473263599,5,5,5,5,4,0.9161888412017167,0.9095356335470481,0.9797514926253688,0.4414763948497854,0.07070214592274678,0.06684128990319249,0.00027668867600403994,4,4,4,3,5,0.9549871244635193,0.9524500380834935,0.992661963421829,0.46166523605150217,0.05379570815450644,0.048440333711014756,0.09395719063401373,1,1,2,4,1
13,10,2024-10-06_2024-10-12,58250,30000,28250,0.9369957081545064,0.9329876200562393,0.9852986784660768,0.45521030042918453,0.0734901287553648,0.1405712255408056,0.09380126861130919,3,3,3,1,2,0.9528583690987125,0.950316627465171,0.9913879929203541,0.46386266094420603,0.07134763948497853,0.08635738686657006,0.07887669337639736,2,2,1,2,3,0.8392103004291845,0.8072918809925518,0.9118618265486724,0.34939055793991414,0.20972017167381973,0.027939456866629873,0.03278002473263599,5,5,5,5,4,0.9161888412017167,0.9095356335470481,0.9797514926253688,0.4414763948497854,0.09312961373390558,0.06684128990319249,0.00027668867600403994,4,4,4,3,5,0.9549871244635193,0.9524500380834935,0.992661963421829,0.46166523605150217,0.07301630901287554,0.048440333711014756,0.09395719063401373,1,1,2,4,1
