seed,scope,feature_group,metric,mean,std,min,max
13,metric,header,acc,0.9312117450351929,0.011888234578988485,0.909504161130149,0.9473143326938888
13,metric,header,f1,0.925796837745605,0.014232555940265307,0.8987718063052491,0.9447080816796088
13,metric,header,auc,0.9828363868964493,0.004656430961806299,0.9754539475301814,0.9899445062946262
13,metric,header,positive_rate,0.45105765565904793,0.014842325544058685,0.41849080355269597,0.4703454861703216
13,metric,header,mix_at_k,0.07332580947326728,0.013775634980143543,0.047201664336141334,0.0963434689807201
13,metric,header,silhouette,0.1209630981481918,0.0390954008971217,0.07221730801517329,0.20452661209194473
13,metric,header,js_divergence,0.08118852304310302,0.013029238071534438,0.06039933059953649,0.1007729307809958
13,rank,header,auc_rank,3.0,0.0,3.0,3.0
13,rank,header,acc_rank,3.0,0.0,3.0,3.0
13,rank,header,mix_at_k_rank,2.375,0.6653633092779713,1.0,3.0
13,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
13,rank,header,js_divergence_rank,2.8333333333333335,0.3726779962499649,2.0,3.0
13,metric,section,acc,0.9439253316524647,0.00880789949963575,0.9308079396142018,0.9554244398212886
13,metric,section,f1,0.9400832752191949,0.010096706717406558,0.9256030660554595,0.9534527582891129
13,metric,section,auc,0.988208825410236,0.0033883845222207865,0.9830902271837052,0.9928262504946116
13,metric,section,positive_rate,0.45843100190254243,0.00870539824669931,0.4422337226379467,0.46990110609558594
13,metric,section,mix_at_k,0.07307543049161473,0.014305985175210152,0.046055727976535586,0.09784107211588929
13,metric,section,silhouette,0.08088805181733129,0.01843876033266382,0.05945139714345156,0.12397812064149201
13,metric,section,js_divergence,0.10351996533326167,0.037262626473435034,0.054519615560427184,0.20103319123678642
13,rank,section,auc_rank,2.0,0.0,2.0,2.0
13,rank,section,acc_rank,2.0,0.0,2.0,2.0
13,rank,section,mix_at_k_rank,2.375,0.6653633092779713,1.0,3.0
13,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
13,rank,section,js_divergence_rank,1.3333333333333333,0.7453559924999298,1.0,3.0
13,metric,imports,acc,0.8711467819822055,0.016590874714369774,0.8392103004291845,0.8946488864636267
13,metric,imports,f1,0.8498327452413265,0.023142205260389286,0.8046851622280169,0.882614478434353
13,metric,imports,auc,0.9302944520193065,0.009913349565676667,0.9118618265486724,0.9426404622013318
13,metric,imports,positive_rate,0.38184911578508823,0.020145776502044393,0.34339899926519474,0.409058354080693
13,metric,imports,mix_at_k,0.16632304678538,0.026974286569603736,0.10546626046153307,0.22656223175965665
13,metric,imports,silhouette,0.03180213961760894,0.019559896124828585,0.013194434960076667,0.08046911693757801
13,metric,imports,js_divergence,0.037776618491332674,0.008275821076691392,0.024563529926045154,0.05480393614630924
13,rank,imports,auc_rank,5.0,0.0,5.0,5.0
13,rank,imports,acc_rank,5.0,0.0,5.0,5.0
13,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
13,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
13,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
13,metric,strings,acc,0.9126747793742341,0.012128624503880487,0.8947828519476887,0.9332219228539272
13,metric,strings,f1,0.9056635475517026,0.014152962556136019,0.8841667629056473,0.929461776785071
13,metric,strings,auc,0.9748819790566458,0.006933178260047079,0.9655560744227094,0.9864584223634288
13,metric,strings,positive_rate,0.447934798368215,0.00928750405243386,0.43286243793272255,0.45827222809590396
13,metric,strings,mix_at_k,0.09203101698554177,0.017330003042244985,0.058156270249991475,0.11912243255537283
13,metric,strings,silhouette,0.05145676267771443,0.015053884375539317,0.0334364226503112,0.08655382483710579
13,metric,strings,js_divergence,0.0004770285051705401,0.0001820670767818735,0.0002520098782431169,0.00094427608477679
13,rank,strings,auc_rank,4.0,0.0,4.0,4.0
13,rank,strings,acc_rank,4.0,0.0,4.0,4.0
13,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
13,rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
13,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
13,metric,all,acc,0.9479050240404586,0.00768339624638229,0.9350421963091361,0.9593124381842365
13,metric,all,f1,0.9442503258789919,0.00883543713134727,0.9307341033807898,0.9575429730595395
13,metric,all,auc,0.9906757526393123,0.0025958465990020716,0.9857506478817831,0.9945241766170889
13,metric,all,positive_rate,0.4567899602311352,0.009728562485214445,0.4357297713126792,0.4699021179359503
13,metric,all,mix_at_k,0.07112233758619674,0.014165355051200736,0.04365471846117117,0.0942160327513209
13,metric,all,silhouette,0.038343341686755655,0.019716769034465783,0.017015206659960855,0.08585088453592762
13,metric,all,js_divergence,0.08161310109536664,0.012899350029196226,0.06066059735500155,0.10107829624622962
13,rank,all,auc_rank,1.0,0.0,1.0,1.0
13,rank,all,acc_rank,1.0,0.0,1.0,1.0
13,rank,all,mix_at_k_rank,1.25,0.5204164998665332,1.0,3.0
