scope,feature_group,metric,mean,std,min,max
metric,header,same_family_rate_at_k,0.795124844488109,0.039581257003561396,0.7309159061277706,0.8861111111111111
metric,header,family_silhouette,0.05161448272184448,0.038193587276603116,-0.028203001044755174,0.1421877772677193
metric,header,family_macro_f1,0.6321460215506604,0.026606616295447288,0.5670208191835262,0.7013124799744557
rank,header,same_family_rate_at_k_rank,1.3291666666666666,0.504132230228891,1.0,3.0
rank,header,family_silhouette_rank,1.1666666666666667,0.41499665326629104,1.0,3.0
rank,header,family_macro_f1_rank,4.883333333333334,0.41197356981027583,3.0,5.0
metric,section,same_family_rate_at_k,0.7881771553712265,0.04182572052401307,0.7168360655737704,0.875
metric,section,family_silhouette,-0.0073388071651538204,0.041899607148749005,-0.09027620055980494,0.06841585336377119
metric,section,family_macro_f1,0.7116334770829976,0.030338404140883804,0.648255815352134,0.7735910001178201
rank,section,same_family_rate_at_k_rank,1.6875,0.46351240544347894,1.0,2.0
rank,section,family_silhouette_rank,2.716666666666667,1.1415145884111841,1.0,4.0
rank,section,family_macro_f1_rank,2.35,0.5423713365090994,2.0,4.0
metric,imports,same_family_rate_at_k,0.7141151906536425,0.043707453352410365,0.6338800530152419,0.8087037037037037
metric,imports,family_silhouette,-0.02392973006067359,0.04002904433573306,-0.08779024488931177,0.05434320492303106
metric,imports,family_macro_f1,0.6863981635874113,0.02051572652329709,0.6389813736741665,0.7236739964294561
rank,imports,same_family_rate_at_k_rank,4.995833333333334,0.06441510347391792,4.0,5.0
rank,imports,family_silhouette_rank,2.8,0.7916228058025279,2.0,5.0
rank,imports,family_macro_f1_rank,3.05,0.7399324293474371,2.0,4.0
metric,strings,same_family_rate_at_k,0.739777410108607,0.04237521241370886,0.6538787483702738,0.8269753086419753
metric,strings,family_silhouette,-0.06657865032548213,0.024823359366646598,-0.111409270355906,-0.02317155735599036
metric,strings,family_macro_f1,0.6758574349765766,0.02866443933952079,0.6215594357299699,0.7359719085098767
rank,strings,same_family_rate_at_k_rank,4.004166666666666,0.06441510347391792,4.0,5.0
rank,strings,family_silhouette_rank,4.833333333333333,0.3726779962499649,4.0,5.0
rank,strings,family_macro_f1_rank,3.716666666666667,0.7092640943651071,2.0,5.0
metric,all,same_family_rate_at_k,0.7668882867856347,0.043712215693480945,0.6898785425101215,0.8570987654320987
metric,all,family_silhouette,-0.035949762855692374,0.03582716669372817,-0.10324770002543164,0.030299093034338222
metric,all,family_macro_f1,0.8064428138095802,0.017193361947392908,0.7731551610329194,0.8455658124173493
rank,all,same_family_rate_at_k_rank,2.9833333333333334,0.12801909579781015,2.0,3.0
rank,all,family_silhouette_rank,3.4833333333333334,0.8264717512144959,2.0,5.0
rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
