Selection,Delta AUC (Imp),Delta AUC (Rand),M->B Rate (Imp),M->B Rate (Rand),Signed Shift (Imp),Signed Shift (Rand),Flip Rate (Imp),Flip Rate (Rand)
1%,0.039,-0.002,0.014,0.008,0.076,-0.002,0.145,0.023
5%,-0.019,-0.013,0.082,0.029,-0.027,-0.014,0.190,0.065
10%,-0.078,-0.024,0.151,0.047,-0.123,-0.026,0.179,0.089
