seed,feature_group,mask_type,strength,repeat,n_masked_features,baseline_auc,masked_auc,delta_auc,flip_rate,malware_to_benign_flip_rate,benign_to_malware_flip_rate,mean_probability_shift,mean_signed_probability_shift,threshold
13,all,important,0.01,0,18,0.9869461575000001,0.859629325,0.12731683250000014,0.482875,0.0,0.482875,0.4753141942999557,0.47530042385004906,0.5
13,all,random,0.01,1,18,0.9869461575000001,0.98693649875,9.658750000141048e-06,0.0044,0.00365,0.00075,0.004509523098396074,-0.0027657048428173553,0.5
13,all,random,0.01,2,18,0.9869461575000001,0.9864913312500001,0.00045482625000003996,0.01225,0.008725,0.003525,0.011649870644547632,-0.004864599117747422,0.5
13,all,random,0.01,3,18,0.9869461575000001,0.9869356424999999,1.0515000000266284e-05,0.00335,0.001575,0.001775,0.0033310059906023156,0.0001923199154568206,0.5
13,all,important,0.05,0,88,0.9869461575000001,0.9024481849999999,0.08449797250000024,0.337075,0.001175,0.3359,0.31145211522839383,0.3027184746164137,0.5
13,all,random,0.05,1,88,0.9869461575000001,0.9869186537499999,2.750375000026839e-05,0.011875,0.0077,0.004175,0.012662651997628803,-0.003661322539604244,0.5
13,all,random,0.05,2,88,0.9869461575000001,0.98617784375,0.0007683137500001935,0.027075,0.0266,0.000475,0.02691436647556203,-0.02572425645534946,0.5
13,all,random,0.05,3,88,0.9869461575000001,0.9794797937499999,0.0074663637500002045,0.11465,5e-05,0.1146,0.10988617986286993,0.10984185275055948,0.5
13,all,important,0.1,0,176,0.9869461575000001,0.8801494449999998,0.10679671250000033,0.155275,0.087025,0.06825,0.2437684616339188,0.01593169721186611,0.5
13,all,random,0.1,1,176,0.9869461575000001,0.97779029,0.009155867500000192,0.1249,0.000325,0.124575,0.12026685653447605,0.11955915433609744,0.5
13,all,random,0.1,2,176,0.9869461575000001,0.97871782,0.008228337500000182,0.058425,0.002225,0.0562,0.06499466677162496,0.05949770967004498,0.5
13,all,random,0.1,3,176,0.9869461575000001,0.98276007,0.004186087500000157,0.0435,0.01945,0.02405,0.06171323314452269,0.0015402484401504006,0.5
13,header,important,0.01,0,1,0.9777220200000001,0.9002681450000001,0.077453875,0.2846,2.5e-05,0.284575,0.2748060369251205,0.2744829614953872,0.5
13,header,random,0.01,1,1,0.9777220200000001,0.9002681450000001,0.077453875,0.2846,2.5e-05,0.284575,0.2748060369251205,0.2744829614953872,0.5
13,header,random,0.01,2,1,0.9777220200000001,0.81943942625,0.1582825937500001,0.445775,0.445775,0.0,0.4335225785417526,-0.4308830423044201,0.5
13,header,random,0.01,3,1,0.9777220200000001,0.9471837112500001,0.030538308749999965,0.122175,0.0091,0.113075,0.11761805004692753,0.09718431119781705,0.5
13,header,important,0.05,0,4,0.9777220200000001,0.92690580625,0.05081621375000012,0.15125,0.087475,0.063775,0.14691546105244066,-0.031307981795620755,0.5
13,header,random,0.05,1,4,0.9777220200000001,0.9551254500000002,0.022596569999999927,0.221975,7.5e-05,0.2219,0.20612662348326566,0.20603224705707554,0.5
13,header,random,0.05,2,4,0.9777220200000001,0.9427523037500001,0.034969716250000005,0.16265,0.14005,0.0226,0.16191010550038404,-0.12109518119725228,0.5
13,header,random,0.05,3,4,0.9777220200000001,0.9726136875,0.00510833250000009,0.04515,0.0067,0.03845,0.06034517068656006,0.03327856581025718,0.5
13,header,important,0.1,0,8,0.9777220200000001,0.87398583625,0.10373618375000004,0.250375,0.023325,0.22705,0.23951377230410276,0.1935266170221225,0.5
13,header,random,0.1,1,8,0.9777220200000001,0.83195563625,0.14576638375000006,0.431275,0.431225,5e-05,0.37398106461964514,-0.3449656144996846,0.5
13,header,random,0.1,2,8,0.9777220200000001,0.7846564974999999,0.1930655225000002,0.325275,0.0373,0.287975,0.4076127377471186,0.04309621607719434,0.5
13,header,random,0.1,3,8,0.9777220200000001,0.8771187925,0.10060322750000006,0.4943,0.000875,0.493425,0.4640874332126833,0.4618061846580959,0.5
13,section,important,0.01,0,3,0.97592197125,0.809009505,0.16691246625,0.26675,0.248975,0.017775,0.2786044433371747,-0.14261286465027112,0.5
13,section,random,0.01,1,3,0.97592197125,0.97348646375,0.0024355074999999893,0.01535,0.003825,0.011525,0.029694179966036315,0.019836120019272485,0.5
13,section,random,0.01,2,3,0.97592197125,0.97587313125,4.8840000000049955e-05,0.001625,0.000975,0.00065,0.0015583831907807328,-0.0006992730450210387,0.5
13,section,random,0.01,3,3,0.97592197125,0.9756666249999999,0.00025534625000012134,0.001,0.000775,0.000225,0.0011587305790820871,-0.0008672408354794776,0.5
13,section,important,0.05,0,12,0.97592197125,0.814678335,0.16124363625000004,0.290425,0.25845,0.031975,0.26194113023663596,-0.19286326931650138,0.5
13,section,random,0.05,1,12,0.97592197125,0.935990245,0.039931726249999966,0.285475,0.000675,0.2848,0.26828486728455814,0.26657604012921354,0.5
13,section,random,0.05,2,12,0.97592197125,0.95941793125,0.016504040000000053,0.101725,0.0255,0.076225,0.09885758521478182,0.04048026061948542,0.5
13,section,random,0.05,3,12,0.97592197125,0.9593259825,0.016595988750000013,0.06585,0.06045,0.0054,0.07809656788392526,-0.06747565611261282,0.5
13,section,important,0.1,0,23,0.97592197125,0.66847045875,0.3074515125,0.33365,0.28955,0.0441,0.3486239910670374,-0.09756834376990643,0.5
13,section,random,0.1,1,23,0.97592197125,0.92393036125,0.051991609999999966,0.172,0.0426,0.1294,0.14999303746978557,0.06416477283165571,0.5
13,section,random,0.1,2,23,0.97592197125,0.95564740875,0.020274562500000037,0.080075,0.040425,0.03965,0.08275017380159809,-0.001051717583287997,0.5
