model,view,seed,dimension,control_type,subset_indices_hash,n_null_repeats,auc_mean,mix_at_10_mean,js_divergence_mean,same_family_rate_at_10_mean
lightgbm,wild_b,13,16,global_unrestricted_random,seed_level_aggregate,10,0.8389620679814815,0.24569947222222227,0.16308155226862986,0.4569089145487575
lightgbm,wild_b,13,32,global_unrestricted_random,seed_level_aggregate,10,0.9336156001296297,0.14081705555555554,0.08445178198167999,0.6021806235782807
lightgbm,wild_b,13,64,global_unrestricted_random,seed_level_aggregate,10,0.9622332196851853,0.10176869444444443,0.13763559322151636,0.6607092967896904
lightgbm,wild_b,17,16,global_unrestricted_random,seed_level_aggregate,10,0.8105387834444444,0.27833919444444444,0.1978645159585679,0.4138341820153465
lightgbm,wild_b,17,32,global_unrestricted_random,seed_level_aggregate,10,0.9241431733703702,0.1449822222222222,0.13690369146722153,0.6059955672758868
lightgbm,wild_b,17,64,global_unrestricted_random,seed_level_aggregate,10,0.9599850127037037,0.10519772222222223,0.11832330728776078,0.6530719425812143
lightgbm,wild_b,23,16,global_unrestricted_random,seed_level_aggregate,10,0.8222575313703704,0.2474107222222222,0.09401605706624407,0.485383140283372
lightgbm,wild_b,23,32,global_unrestricted_random,seed_level_aggregate,10,0.9192822551481482,0.15792772222222223,0.15469707755124434,0.5796232884003522
lightgbm,wild_b,23,64,global_unrestricted_random,seed_level_aggregate,10,0.9544685340925927,0.11105905555555558,0.21095707816618683,0.6474821855259854
lightgbm,wild_b,29,16,global_unrestricted_random,seed_level_aggregate,10,0.883697764574074,0.2008039722222222,0.0374310547822131,0.5122729406068359
lightgbm,wild_b,29,32,global_unrestricted_random,seed_level_aggregate,10,0.9375468675925926,0.13151105555555556,0.1029862142274511,0.6136572812347619
lightgbm,wild_b,29,64,global_unrestricted_random,seed_level_aggregate,10,0.9557426964074075,0.10956702777777778,0.1424460991254039,0.6538279750425757
lightgbm,wild_b,31,16,global_unrestricted_random,seed_level_aggregate,10,0.8681782191481482,0.21382691666666664,0.19523355587871302,0.5046571762982159
lightgbm,wild_b,31,32,global_unrestricted_random,seed_level_aggregate,10,0.919692457462963,0.15310522222222223,0.0954202878620216,0.5794581095692101
lightgbm,wild_b,31,64,global_unrestricted_random,seed_level_aggregate,10,0.9587587882222219,0.10458705555555556,0.18286024646222274,0.6503521397544103
