model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
lightgbm,wild_b,13,section,16,mix_at_10,0.19295802777777776,0.2,10
lightgbm,wild_b,13,section,16,js_divergence,0.22610837246565474,0.7,10
lightgbm,wild_b,13,section,16,same_family_rate_at_10,0.5255938366693236,1.0,10
lightgbm,wild_b,13,section,32,auc,0.9545182460740742,0.8,10
lightgbm,wild_b,13,section,32,mix_at_10,0.11109294444444444,0.2,10
lightgbm,wild_b,13,section,32,js_divergence,0.1189695909404703,0.8,10
lightgbm,wild_b,13,section,32,same_family_rate_at_10,0.6336444093748999,0.9,10
lightgbm,wild_b,13,section,64,auc,0.9739493982962962,0.9,10
lightgbm,wild_b,13,section,64,mix_at_10,0.08471411111111113,0.1,10
lightgbm,wild_b,13,section,64,js_divergence,0.1590001496369892,0.5,10
lightgbm,wild_b,13,section,64,same_family_rate_at_10,0.6753956662736288,0.9,10
lightgbm,wild_b,13,strings,16,auc,0.9386087821481481,1.0,10
lightgbm,wild_b,13,strings,16,mix_at_10,0.13523958333333336,0.0,10
lightgbm,wild_b,13,strings,16,js_divergence,0.019084927015469724,0.0,10
lightgbm,wild_b,13,strings,16,same_family_rate_at_10,0.5965319980289576,1.0,10
lightgbm,wild_b,13,strings,32,auc,0.9593901517592591,0.8,10
lightgbm,wild_b,13,strings,32,mix_at_10,0.11094347222222223,0.2,10
lightgbm,wild_b,13,strings,32,js_divergence,0.00990879908000666,0.4,10
lightgbm,wild_b,13,strings,32,same_family_rate_at_10,0.6268550381611481,0.6,10
lightgbm,wild_b,13,strings,64,auc,0.9706760726111112,0.9,10
lightgbm,wild_b,13,strings,64,mix_at_10,0.09721038888888889,0.4,10
lightgbm,wild_b,13,strings,64,js_divergence,0.004034559668824486,0.1,10
lightgbm,wild_b,13,strings,64,same_family_rate_at_10,0.6401741733491568,0.0,10
lightgbm,wild_b,17,header,16,auc,0.9405142868518519,1.0,10
lightgbm,wild_b,17,header,16,mix_at_10,0.13348441666666666,0.0,10
lightgbm,wild_b,17,header,16,js_divergence,0.1337903036843137,0.3,10
lightgbm,wild_b,17,header,16,same_family_rate_at_10,0.6137596229720892,1.0,10
lightgbm,wild_b,17,header,32,auc,0.9683870712407406,1.0,10
lightgbm,wild_b,17,header,32,mix_at_10,0.08774269444444445,0.0,10
lightgbm,wild_b,17,header,32,js_divergence,0.08496361086799968,0.6,10
lightgbm,wild_b,17,header,32,same_family_rate_at_10,0.6903642560342005,1.0,10
lightgbm,wild_b,17,header,64,auc,0.9805320253703703,1.0,10
lightgbm,wild_b,17,header,64,mix_at_10,0.07112311111111111,0.0,10
lightgbm,wild_b,17,header,64,js_divergence,0.09313107415246726,0.5,10
lightgbm,wild_b,17,header,64,same_family_rate_at_10,0.7060245933659102,1.0,10
lightgbm,wild_b,17,imports,16,auc,0.7267903785925924,0.1,10
lightgbm,wild_b,17,imports,16,mix_at_10,0.3688014444444444,0.9,10
lightgbm,wild_b,17,imports,16,js_divergence,0.05992666796489848,0.3,10
lightgbm,wild_b,17,imports,16,same_family_rate_at_10,0.3096866346049677,0.1,10
lightgbm,wild_b,17,imports,32,auc,0.798545212462963,0.0,10
lightgbm,wild_b,17,imports,32,mix_at_10,0.2894520833333333,1.0,10
lightgbm,wild_b,17,imports,32,js_divergence,0.06749013876000046,0.6,10
lightgbm,wild_b,17,imports,32,same_family_rate_at_10,0.4598555827183808,0.0,10
lightgbm,wild_b,17,imports,64,auc,0.8374326702222223,0.0,10
lightgbm,wild_b,17,imports,64,mix_at_10,0.2487011388888889,1.0,10
lightgbm,wild_b,17,imports,64,js_divergence,0.06690381648397051,0.4,10
lightgbm,wild_b,17,imports,64,same_family_rate_at_10,0.524436616642138,0.0,10
lightgbm,wild_b,17,section,16,auc,0.8904872912037037,1.0,10
lightgbm,wild_b,17,section,16,mix_at_10,0.17325033333333334,0.0,10
lightgbm,wild_b,17,section,16,js_divergence,0.1584069866009531,0.3,10
lightgbm,wild_b,17,section,16,same_family_rate_at_10,0.5689837702654854,1.0,10
lightgbm,wild_b,17,section,32,auc,0.9327671245185186,0.7,10
lightgbm,wild_b,17,section,32,mix_at_10,0.12895116666666664,0.3,10
lightgbm,wild_b,17,section,32,js_divergence,0.18580995535337483,0.7,10
lightgbm,wild_b,17,section,32,same_family_rate_at_10,0.6237817582951815,0.6,10
lightgbm,wild_b,17,section,64,auc,0.9745086907962964,1.0,10
lightgbm,wild_b,17,section,64,mix_at_10,0.08142891666666667,0.0,10
lightgbm,wild_b,17,section,64,js_divergence,0.12755468245084162,0.6,10
lightgbm,wild_b,17,section,64,same_family_rate_at_10,0.6786833345959723,1.0,10
lightgbm,wild_b,17,strings,16,auc,0.9361654037592592,1.0,10
lightgbm,wild_b,17,strings,16,mix_at_10,0.13710030555555558,0.0,10
lightgbm,wild_b,17,strings,16,js_divergence,0.013181379721455586,0.2,10
lightgbm,wild_b,17,strings,16,same_family_rate_at_10,0.5916209065114385,1.0,10
lightgbm,wild_b,17,strings,32,auc,0.9567500746296297,1.0,10
lightgbm,wild_b,17,strings,32,mix_at_10,0.11440919444444446,0.1,10
lightgbm,wild_b,17,strings,32,js_divergence,0.009729019570412192,0.1,10
lightgbm,wild_b,17,strings,32,same_family_rate_at_10,0.6252734675332141,0.6,10
lightgbm,wild_b,17,strings,64,auc,0.9684796241851853,0.8,10
lightgbm,wild_b,17,strings,64,mix_at_10,0.09956486111111111,0.2,10
lightgbm,wild_b,17,strings,64,js_divergence,0.02551127272373535,0.4,10
lightgbm,wild_b,17,strings,64,same_family_rate_at_10,0.6358216272289828,0.1,10
lightgbm,wild_b,23,header,16,auc,0.948926711462963,1.0,10
lightgbm,wild_b,23,header,16,mix_at_10,0.1156553611111111,0.0,10
lightgbm,wild_b,23,header,16,js_divergence,0.11896963086418617,0.7,10
lightgbm,wild_b,23,header,16,same_family_rate_at_10,0.6487860707187975,1.0,10
lightgbm,wild_b,23,header,32,auc,0.9700794758333332,1.0,10
lightgbm,wild_b,23,header,32,mix_at_10,0.08472452777777778,0.0,10
lightgbm,wild_b,23,header,32,js_divergence,0.09208394234200436,0.5,10
lightgbm,wild_b,23,header,32,same_family_rate_at_10,0.693213284101576,1.0,10
lightgbm,wild_b,23,header,64,auc,0.9800754509444444,1.0,10
lightgbm,wild_b,23,header,64,mix_at_10,0.07231466666666667,0.0,10
lightgbm,wild_b,23,header,64,js_divergence,0.09288642337786145,0.5,10
lightgbm,wild_b,23,header,64,same_family_rate_at_10,0.7054647485947323,1.0,10
lightgbm,wild_b,23,imports,16,auc,0.7364920165370371,0.0,10
lightgbm,wild_b,23,imports,16,mix_at_10,0.35920597222222217,1.0,10
lightgbm,wild_b,23,imports,16,js_divergence,0.05162930948161241,0.5,10
lightgbm,wild_b,23,imports,16,same_family_rate_at_10,0.339061402992177,0.1,10
lightgbm,wild_b,23,imports,32,auc,0.7961834206481482,0.0,10
lightgbm,wild_b,23,imports,32,mix_at_10,0.2958619722222222,1.0,10
lightgbm,wild_b,23,imports,32,js_divergence,0.07708134432185557,0.4,10
lightgbm,wild_b,23,imports,32,same_family_rate_at_10,0.45939903858782427,0.0,10
lightgbm,wild_b,23,imports,64,auc,0.8430441948333331,0.0,10
lightgbm,wild_b,23,imports,64,mix_at_10,0.24594550000000007,1.0,10
lightgbm,wild_b,23,imports,64,js_divergence,0.06944220182457239,0.5,10
lightgbm,wild_b,23,imports,64,same_family_rate_at_10,0.5267860128603835,0.0,10
lightgbm,wild_b,23,section,16,auc,0.885319955962963,0.8,10
lightgbm,wild_b,23,section,16,mix_at_10,0.1991531666666667,0.3,10
lightgbm,wild_b,23,section,16,js_divergence,0.21189634546796174,0.9,10
lightgbm,wild_b,23,section,16,same_family_rate_at_10,0.507604723758882,0.6,10
lightgbm,wild_b,23,section,32,auc,0.9497287813148148,0.9,10
lightgbm,wild_b,23,section,32,mix_at_10,0.111473,0.0,10
lightgbm,wild_b,23,section,32,js_divergence,0.19401600576744865,0.5,10
lightgbm,wild_b,23,section,32,same_family_rate_at_10,0.6411214480138774,1.0,10
