feature_group,density_bin,density_definition,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max,benign_to_malware_ratio_mean,benign_to_malware_ratio_std,benign_to_malware_ratio_min,benign_to_malware_ratio_max,n_packed_malware_mean,n_packed_malware_std,n_packed_malware_min,n_packed_malware_max,packed_ratio_mean,packed_ratio_std,packed_ratio_min,packed_ratio_max
header,high_density,class_conditional,5,120064.8,48.23028094465136,120024.0,120157.0,60000.6,0.4898979485566356,60000.0,60001.0,60064.2,48.172191148005716,60023.0,60156.0,0.9989417741911977,0.0007995395068212851,0.9974233659152869,0.9996334738350299,651.0,49.03876018008612,573.0,719.0,0.010838313829979162,0.0008153707775364825,0.009541094978020513,0.011977943258866842
header,low_density,class_conditional,5,120009.2,14.99866660740214,120000.0,120039.0,60000.8,0.4,60000.0,60001.0,60008.4,14.880860190190619,60000.0,60038.0,0.9998734120616277,0.0002460606597390842,0.9993837236416936,1.0000166666666668,9394.4,405.49160287236526,8593.0,9691.0,0.15655110677259024,0.006750275245984291,0.14320711952536497,0.16151666666666667
header,mid_density,class_conditional,5,239926.0,43.41428336388843,239843.0,239971.0,119998.6,0.4898979485566356,119998.0,119999.0,119927.4,43.67424870561599,119844.0,119973.0,1.0005938260687082,0.0003667416207601636,1.0002083802188826,1.0012933480190915,8860.2,420.6943783793646,8545.0,9690.0,0.07387974903781233,0.0035085196323526996,0.0712243588140665,0.08079241601840967
imports,high_density,class_conditional,5,166872.2,5756.221274412582,156218.0,172296.0,95882.4,2119.3208912290747,93933.0,99836.0,70989.8,5978.809861502538,61880.0,78363.0,1.3612330401308634,0.12820738802931247,1.198690708625244,1.5245313510019392,6993.6,2220.835572481673,3578.0,9569.0,0.09969980115151081,0.032814258429887486,0.047493894021450565,0.13571385668808938
imports,low_density,class_conditional,5,120010.4,18.30409790183608,120001.0,120047.0,60000.6,0.4898979485566356,60000.0,60001.0,60009.8,18.10414317221337,60000.0,60046.0,0.9998467816896769,0.00029835969988786136,0.9992505745595044,1.0000166666666668,3656.2,171.15419948105276,3506.0,3926.0,0.06092704679646384,0.0028592782431272846,0.058432359460675654,0.0654322427959534
imports,mid_density,class_conditional,5,193117.4,5765.073272734701,187657.0,203781.0,84117.0,2119.0935798118967,80164.0,86066.0,109000.4,5989.866362449166,101591.0,118119.0,0.774337183823113,0.05151332652790409,0.7068948793241802,0.8471813448041657,8255.8,2296.5550200245584,5711.0,11802.0,0.07616298103217524,0.022721177781031412,0.05401973492764742,0.11276191204150464
