seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density,density_definition
13,header,important,0.01,0.0004081326681048484,0.0029174446519071753,0.003899837506770551,-4.9373671445751555e-06,0.0002123359532461011,-1.2108713149272532e-05,-4.9373671445751555e-06,0.0002123359532461011,-1.2108713149272532e-05,0.003491704838665703,9.555318188272768,-7.1713460046973765e-06,-7.1713460046973765e-06,class_conditional
13,header,important,0.05,0.05343206256923679,0.20991847826086957,0.23912336985958918,0.003695483330280913,0.03633964827842917,0.05027987495455388,0.003695483330280913,0.03633964827842917,0.05027987495455388,0.18569130729035238,4.4752786690525985,0.04658439162427297,0.04658439162427297,class_conditional
13,header,important,0.1,0.033841694500204064,0.24593641637770072,0.28164659805841424,0.019934166819294274,0.11553206843799191,0.11369595757165118,0.019934166819294274,0.11553206843799191,0.11369595757165118,0.24780490355821017,8.322473274992655,0.09376179075235691,0.09376179075235691,class_conditional
13,header,random,0.01,0.0014063918573368093,0.013120998933048814,0.016314736885963084,4.579990786839905e-05,0.0016360025553164349,0.002348884861151657,4.579990786839905e-05,0.0016360025553164349,0.002348884861151657,0.014908345028626275,11.600420466638093,0.002303084953283258,0.002303084953283258,class_conditional
13,header,random,0.05,0.009060128770021405,0.0678760169378501,0.07678555060205824,0.00027263268896695616,0.00824786823322327,0.01071380753885634,0.00027263268896695616,0.00824786823322327,0.01071380753885634,0.06772542183203684,8.475105878862342,0.010441174849889384,0.010441174849889384,class_conditional
13,header,random,0.1,0.025513289299427783,0.105482295278741,0.12085413107787177,0.0005910903999955975,0.010667410678261218,0.018701254089991053,0.0005910903999955975,0.010667410678261218,0.018701254089991053,0.09534084177844399,4.736909053925176,0.018110163689995455,0.018110163689995455,class_conditional
13,imports,important,0.01,0.03657338201049378,0.16931126034671248,0.16985691785901785,-0.002608230739316153,0.04708317226299963,0.04652412612567569,-0.002608230739316153,0.04708317226299963,0.04652412612567569,0.13328353584852407,4.644277026671523,0.049132356864991844,0.049132356864991844,class_conditional
13,imports,important,0.05,0.15074236640084807,0.2417044093914311,0.30444746293780883,0.05821433960692668,0.026846716234903534,0.048666461114536874,0.05821433960692668,0.026846716234903534,0.048666461114536874,0.15370509653696077,2.019654263143477,-0.009547878492389805,-0.009547878492389805,class_conditional
13,imports,important,0.1,0.23803965243078096,0.47813524910198346,0.3477054357880351,0.1734049247707955,0.06036068286807572,0.07045355466297776,0.1734049247707955,0.06036068286807572,0.07045355466297776,0.10966578335725413,1.4607038459239206,-0.10295137010781774,-0.10295137010781774,class_conditional
13,imports,random,0.01,0.0028113442400347806,0.0067949919308657415,0.00936908859092841,-0.0013029361761019876,0.0004937820769621793,0.0010658575759848131,-0.0013029361761019876,0.0004937820769621793,0.0010658575759848131,0.006557744350893629,3.3326009876373233,0.002368793752086801,0.002368793752086801,class_conditional
13,imports,random,0.05,0.0070478652127045,0.019633505127804676,0.02724352297064191,-0.0019939465933658473,0.0015495608216595735,0.002722332009744227,-0.0019939465933658473,0.0015495608216595735,0.002722332009744227,0.02019565775793741,3.8654999987134633,0.004716278603110075,0.004716278603110075,class_conditional
13,imports,random,0.1,0.017942159145727745,0.04393617575095008,0.050780826826443116,-0.0009491834174447433,0.005065500079037011,0.0074700122497957655,-0.0009491834174447433,0.005065500079037011,0.0074700122497957655,0.032838667680715375,2.8302517224374677,0.008419195667240508,0.008419195667240508,class_conditional
42,header,important,0.01,6.657955841107884e-05,0.004102683839011354,0.008508333333333333,8.093266712583258e-06,0.0005545346073259072,0.0007296525000000109,8.093266712583258e-06,0.0005545346073259072,0.0007296525000000109,0.008441753774922255,127.79197604166666,0.0007215592332874277,0.0007215592332874277,class_conditional
42,header,important,0.05,0.012641793653303594,0.1476716018395367,0.18979166666666666,0.0011869741717043247,0.07487182632138123,0.06401418166666673,0.0011869741717043247,0.07487182632138123,0.06401418166666673,0.17714987301336307,15.013033108404652,0.0628272074949624,0.0628272074949624,class_conditional
42,header,important,0.1,0.02717278227652155,0.28590786472817636,0.33955,0.006147091787892189,0.102550363948537,0.11744829902777798,0.006147091787892189,0.102550363948537,0.11744829902777798,0.3123772177234785,12.495959984686065,0.11130120723988579,0.11130120723988579,class_conditional
