seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,120000,1,0.9996228345275336,0.9996196348334961,3.19969403750342e-06,3.19969403750342e-06,0.00015,0.0,7.5e-05,0.0,0.00010288301058551864,0.001024714948596766,-0.0006449465694722737,-0.00020472105844807968
13,header,mid_density,important,0.01,0,240000,1,0.971816432854443,0.9716875230377089,0.00012890981673407964,0.00012890981673407964,0.0019666666666666665,9.166666666666667e-05,0.0009,0.00013788867369898903,0.002684864078756013,0.0022786955473708083,-0.0015735481075559463,-0.0002030557843918435
13,header,low_density,important,0.01,0,120000,1,0.956255638047426,0.9561622295870995,9.340846032646066e-05,9.340846032646066e-05,0.006058333333333333,0.000275,0.003725,0.0006885184335162428,0.006202217257981713,0.004429880406179463,-0.0032321012916426113,-0.0008410908822758563
13,header,high_density,random,0.01,1,120000,1,0.9996228345275336,0.9996158059565161,7.028571017531071e-06,7.028571017531071e-06,0.0,0.0,0.0,0.0,0.0,0.0013290720229486525,-0.0013170768346597297,-0.0011104568175143393
13,header,mid_density,random,0.01,1,240000,1,0.971816432854443,0.9709990334022842,0.0008173994521587513,0.0008173994521587513,0.0037333333333333333,9.166666666666667e-05,0.003,0.00013788867369898903,0.00894954692918671,0.004626614580851222,-0.0038584804140951814,-0.001024793829537465
13,header,low_density,random,0.01,1,120000,1,0.956255638047426,0.9554541476597137,0.000801490387712267,0.000801490387712267,0.0076,0.001175,0.004608333333333333,0.0029418514886603102,0.0076729891357133935,0.006445314048667319,-0.004993361666611126,-0.001910196745993262
13,header,high_density,random,0.01,2,120000,1,0.9996228345275336,0.9996068694497374,1.5965077796220584e-05,1.5965077796220584e-05,0.0019416666666666666,0.0,0.0012,0.0,0.0016461281693682982,0.005163279784987766,-0.005163276158837068,-0.0029031102360644392
13,header,mid_density,random,0.01,2,240000,1,0.971816432854443,0.971705200755179,0.00011123209926400257,0.00011123209926400257,0.0153875,0.0,0.008933333333333333,0.0,0.026649761966911538,0.01909878076153345,-0.019074981533074763,0.0018065087520688185
13,header,low_density,random,0.01,2,120000,1,0.956255638047426,0.9549861239699928,0.0012695140774331426,0.0012695140774331426,0.026883333333333332,1.6666666666666667e-05,0.018366666666666667,4.172838991007532e-05,0.030580954891704013,0.027741058242006383,-0.027672692511504997,-0.006156530276363686
13,header,high_density,random,0.01,3,120000,1,0.9996228345275336,0.9994658412566318,0.00015699327090179516,0.00015699327090179516,0.0018333333333333333,0.0008416666666666667,0.0,0.003105590062111801,0.0,0.00760768447216627,0.00619749566161069,-0.004629462771599827
13,header,mid_density,random,0.01,3,240000,1,0.971816432854443,0.970984142444232,0.0008322904102109341,0.0008322904102109341,0.008808333333333333,0.0028916666666666665,0.0008375,0.004349760888504472,0.0024984151843979565,0.007597012774631257,0.005225310831359464,-0.001302084211122042
13,header,low_density,random,0.01,3,120000,1,0.956255638047426,0.9544918119620391,0.0017638260853868326,0.0017638260853868326,0.009558333333333334,0.005508333333333333,0.0004166666666666667,0.013791232865279893,0.0006937603196847553,0.009011670460241379,0.00548850813080684,-0.001063560582888309
13,header,high_density,random,0.01,4,120000,1,0.9996228345275336,0.9995847656202642,3.8068907269428465e-05,3.8068907269428465e-05,0.004091666666666667,0.001275,0.0,0.004704507717852531,0.0,0.00862215339522191,0.008062002754641792,-0.00043623580922664786
13,header,mid_density,random,0.01,4,240000,1,0.971816432854443,0.9678875377290466,0.003928895125396403,0.003928895125396403,0.038004166666666665,0.019629166666666666,0.0005,0.029526979172542604,0.0014915911548644516,0.04252226581831758,0.04004599886207929,-0.008069028951688161
13,header,low_density,random,0.01,4,120000,1,0.956255638047426,0.9497740479712729,0.006481590076153121,0.006481590076153121,0.038983333333333335,0.022075,0.0008916666666666667,0.05526925243589476,0.0014846470841253763,0.036881766141818956,0.03145393304087375,0.006462695037143242
13,header,high_density,random,0.01,5,120000,1,0.9996228345275336,0.9996356041292785,-1.2769601744899717e-05,-1.2769601744899717e-05,0.00115,0.0,0.0006083333333333333,0.0,0.0008344955303047623,0.006059664088775801,-0.004880088451302345,-0.004801760951420816
13,header,mid_density,random,0.01,5,240000,1,0.971816432854443,0.9713024907446759,0.0005139421097670738,0.0005139421097670738,0.022866666666666667,0.0007416666666666666,0.0117625,0.0011156447235645475,0.035089681918186226,0.024801504870015673,-0.019954935187917938,-0.008237846786527715
13,header,low_density,random,0.01,5,120000,1,0.956255638047426,0.9556981315944787,0.0005575064529472762,0.0005575064529472762,0.034458333333333334,0.0010833333333333333,0.021233333333333333,0.0027123453441548957,0.03535402589113513,0.03293862578761103,-0.026278332139002953,-0.01362538532864346
13,header,high_density,random,0.01,6,120000,1,0.9996228345275336,0.9995911156227504,3.1718904783262225e-05,3.1718904783262225e-05,0.00010833333333333333,0.00010833333333333333,0.0,0.00039972941393518234,0.0,0.004093353889165812,0.00408184135167322,-0.0023448475924311442
13,header,mid_density,random,0.01,6,240000,1,0.971816432854443,0.9582172708374447,0.01359916201699829,0.01359916201699829,0.04006666666666667,0.03175,2.0833333333333333e-05,0.047759622435740744,6.214963145268549e-05,0.05179703716795911,0.05175267494056249,-0.036648292249048885
13,header,low_density,random,0.01,6,120000,1,0.956255638047426,0.9434267180097147,0.0128289200377113,0.0128289200377113,0.05143333333333333,0.03225,0.00015,0.08074443447599575,0.0002497537150865119,0.055656775921460136,0.05548021391165255,-0.03206619236553264
13,header,high_density,random,0.01,7,120000,1,0.9996228345275336,0.9996228345275336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,mid_density,random,0.01,7,240000,1,0.971816432854443,0.971816432854443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,low_density,random,0.01,7,120000,1,0.956255638047426,0.956255638047426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,high_density,random,0.01,8,120000,1,0.9996228345275336,0.9996354294343498,-1.2594906816154605e-05,-1.2594906816154605e-05,1.6666666666666667e-05,0.0,0.0,0.0,0.0,0.0006152790115383077,0.0006099213023590738,-0.0005721086533367137
13,header,mid_density,random,0.01,8,240000,1,0.971816432854443,0.9717521201451681,6.431270927487187e-05,6.431270927487187e-05,0.0020833333333333333,0.00010416666666666667,0.0,0.00015669167465794207,0.0,0.0009747930487120458,0.0008598178723404156,-0.0004519367738954962
13,header,low_density,random,0.01,8,120000,1,0.956255638047426,0.9560810818194889,0.0001745562279370505,0.0001745562279370505,0.0009833333333333332,0.0003,0.0001,0.0007511110183813557,0.00016650247672434128,0.0009118022812689009,0.0007276727105863166,-2.642967692643905e-05
13,header,high_density,random,0.01,9,120000,1,0.9996228345275336,0.9996221877696484,6.467578852475953e-07,6.467578852475953e-07,0.0,0.0,0.0,0.0,0.0,0.00027881432635529143,-0.00027881432635529143,-0.00027589402597068296
13,header,mid_density,random,0.01,9,240000,1,0.971816432854443,0.9717859257443924,3.05071100505927e-05,3.05071100505927e-05,0.0002458333333333333,0.0001375,2.9166666666666666e-05,0.00020683301054848354,8.700948403375968e-05,0.0005709275287082429,-7.633502910963895e-05,-0.0004279990464974406
13,header,low_density,random,0.01,9,120000,1,0.956255638047426,0.9562388632589998,1.6774788426210385e-05,1.6774788426210385e-05,0.0016,0.00035833333333333333,0.00025,0.0008971603830666194,0.00041625619181085316,0.002644235901493522,-0.0007301720388041979,-0.0012598755663450532
13,header,high_density,random,0.01,10,120000,1,0.9996228345275336,0.9996228345275336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,mid_density,random,0.01,10,240000,1,0.971816432854443,0.971816432854443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,low_density,random,0.01,10,120000,1,0.956255638047426,0.956255638047426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,high_density,random,0.01,11,120000,1,0.9996228345275336,0.9996228345275336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,mid_density,random,0.01,11,240000,1,0.971816432854443,0.971816432854443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,low_density,random,0.01,11,120000,1,0.956255638047426,0.956255638047426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,high_density,random,0.01,12,120000,1,0.9996228345275336,0.9994658412566318,0.00015699327090179516,0.00015699327090179516,0.0018333333333333333,0.0008416666666666667,0.0,0.003105590062111801,0.0,0.00760768447216627,0.00619749566161069,-0.004629462771599827
13,header,mid_density,random,0.01,12,240000,1,0.971816432854443,0.970984142444232,0.0008322904102109341,0.0008322904102109341,0.008808333333333333,0.0028916666666666665,0.0008375,0.004349760888504472,0.0024984151843979565,0.007597012774631257,0.005225310831359464,-0.001302084211122042
13,header,low_density,random,0.01,12,120000,1,0.956255638047426,0.9544918119620391,0.0017638260853868326,0.0017638260853868326,0.009558333333333334,0.005508333333333333,0.0004166666666666667,0.013791232865279893,0.0006937603196847553,0.009011670460241379,0.00548850813080684,-0.001063560582888309
13,header,high_density,random,0.01,13,120000,1,0.9996228345275336,0.9991979488681059,0.0004248856594277761,0.0004248856594277761,4.1666666666666665e-05,0.0,0.0,0.0,0.0,0.007747173011002115,0.00345632088919236,-0.0066530152552205886
