seed,feature_group,density_bin,density_definition,perturbation_type,strength,n_rows,n_samples,n_masked_features,thresholds_json,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,benign_to_malware_rate_cond_mean,benign_to_malware_rate_cond_std,benign_to_malware_rate_cond_min,benign_to_malware_rate_cond_max,malware_to_benign_rate_cond_mean,malware_to_benign_rate_cond_std,malware_to_benign_rate_cond_min,malware_to_benign_rate_cond_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,perturbed_auc_mean,perturbed_auc_std,perturbed_auc_min,perturbed_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,auc_drop_mean,auc_drop_std,auc_drop_min,auc_drop_max
13,header,high_density,class_conditional,important,0.01,1,120059,1,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.0004081326681048484,0.0,0.0004081326681048484,0.0004081326681048484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008154834000582685,0.0,0.0008154834000582685,0.0008154834000582685,-0.00048223537801093486,0.0,-0.00048223537801093486,-0.00048223537801093486,-0.00010007178380848941,0.0,-0.00010007178380848941,-0.00010007178380848941,0.9999670346381614,0.0,0.9999670346381614,0.9999670346381614,0.999971972005306,0.0,0.999971972005306,0.999971972005306,-4.9373671445751555e-06,0.0,-4.9373671445751555e-06,-4.9373671445751555e-06,-4.9373671445751555e-06,0.0,-4.9373671445751555e-06,-4.9373671445751555e-06
13,header,high_density,class_conditional,important,0.05,1,120059,4,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.05343206256923679,0.0,0.05343206256923679,0.05343206256923679,0.004422825444156623,0.0,0.004422825444156623,0.004422825444156623,0.04511948292089723,0.0,0.04511948292089723,0.04511948292089723,0.00885,0.0,0.00885,0.00885,0.09019464193543016,0.0,0.09019464193543016,0.09019464193543016,0.11892721671411578,0.0,0.11892721671411578,0.11892721671411578,-0.10910546268035166,0.0,-0.10910546268035166,-0.10910546268035166,-0.07856386144630184,0.0,-0.07856386144630184,-0.07856386144630184,0.9999670346381614,0.0,0.9999670346381614,0.9999670346381614,0.9962715513078805,0.0,0.9962715513078805,0.9962715513078805,0.003695483330280913,0.0,0.003695483330280913,0.003695483330280913,0.003695483330280913,0.0,0.003695483330280913,0.003695483330280913
13,header,high_density,class_conditional,important,0.1,1,120059,8,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.033841694500204064,0.0,0.033841694500204064,0.033841694500204064,0.024979385135641644,0.0,0.024979385135641644,0.024979385135641644,0.006821646024038181,0.0,0.006821646024038181,0.006821646024038181,0.04998333333333333,0.0,0.04998333333333333,0.04998333333333333,0.013636590685825605,0.0,0.013636590685825605,0.013636590685825605,0.17323707162274188,0.0,0.17323707162274188,0.17323707162274188,-0.059661526904716246,0.0,-0.059661526904716246,-0.059661526904716246,-0.1633342017828252,0.0,-0.1633342017828252,-0.1633342017828252,0.9999670346381614,0.0,0.9999670346381614,0.9999670346381614,0.9800328678188671,0.0,0.9800328678188671,0.9800328678188671,0.019934166819294274,0.0,0.019934166819294274,0.019934166819294274,0.019934166819294274,0.0,0.019934166819294274,0.019934166819294274
13,header,high_density,class_conditional,random,0.01,20,120059,1,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.0014063918573368093,0.0044045671764104625,0.0,0.020381645690868658,0.0003044336534537186,0.0006268739497295078,0.0,0.0020323341023996537,0.0008245945743342858,0.0035943244189150883,0.0,0.016491891486685714,0.0006091666666666666,0.0012543643255095828,0.0,0.004066666666666666,0.0016483790938910073,0.0071851178909160445,0.0,0.032967581877820146,0.004458859721778645,0.008999366606216726,0.0,0.04124070610753426,-0.0006407714926347806,0.00905353033882718,-0.03738513219104185,0.007200957818812126,-0.0029384372782268096,0.005353230023176908,-0.02353316146272616,1.405171385064131e-05,0.9999670346381613,1.1102230246251565e-16,0.9999670346381614,0.9999670346381614,0.9999212347302929,0.00018153892982629573,0.9991313047725292,0.999973149458588,4.579990786839905e-05,0.00018153892982629573,-6.114820426561529e-06,0.0008357298656321843,4.579990786839905e-05,0.00018153892982629573,-6.114820426561529e-06,0.0008357298656321843
13,header,high_density,class_conditional,random,0.05,20,120059,4,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.009060128770021405,0.012189905551983158,7.49631431212987e-05,0.04950066217443091,0.0063402160604369515,0.011778104240942156,0.0,0.04950066217443091,0.002121456950332753,0.005405558816758489,0.0,0.018715798065950907,0.012686666666666666,0.023567790284387904,0.0,0.09905,0.004240829850646864,0.010805807389087521,0.0,0.037413210343162556,0.024012382710129215,0.02205493213334668,0.00023351797453782704,0.08496769462354181,0.010957897089269409,0.02810920197766265,-0.055088692249184806,0.08161440494929302,-0.016868693859456142,0.018446958892478944,-0.08183795388128383,-0.0001790055345303171,0.9999670346381613,1.1102230246251565e-16,0.9999670346381614,0.9999670346381614,0.9996944019491945,0.000436175864000242,0.9983623930912381,0.9999735243677051,0.00027263268896695616,0.00043617586400024203,-6.48972954375715e-06,0.0016046415469233022,0.00027263268896695616,0.00043617586400024203,-6.48972954375715e-06,0.0016046415469233022
13,header,high_density,class_conditional,random,0.1,20,120059,8,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.025513289299427783,0.02553328740482715,0.001132776384944069,0.07850306932424891,0.016189540142763137,0.023286392033466993,0.0,0.07850306932424891,0.008439600529739546,0.018403323535392615,0.0,0.06196953164694025,0.032395,0.04659568235243357,0.0,0.15708333333333332,0.016870910271566293,0.03678856824681899,0.0,0.12387818644999084,0.041055395581615535,0.03898003702243055,0.006721982274162059,0.15811681939109287,-0.0027798195070435966,0.05153135528335383,-0.1495936994703052,0.06759061645570723,-0.02579522558824638,0.03283514414961609,-0.13756595112815484,-0.00272451223227449,0.9999670346381613,1.1102230246251565e-16,0.9999670346381614,0.9999670346381614,0.9993759442381659,0.0008674605654918024,0.9974621724748441,0.999959964368371,0.0005910903999955975,0.0008674605654918024,7.070269790410144e-06,0.002504862163317245,0.0005910903999955975,0.0008674605654918024,7.070269790410144e-06,0.002504862163317245
13,header,low_density,class_conditional,important,0.01,1,120005,1,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.003899837506770551,0.0,0.003899837506770551,0.003899837506770551,0.00027498854214407734,0.0,0.00027498854214407734,0.00027498854214407734,0.0014499395858505895,0.0,0.0014499395858505895,0.0014499395858505895,0.0005499908334861086,0.0,0.0005499908334861086,0.0005499908334861086,0.0028998066795546964,0.0,0.0028998066795546964,0.0028998066795546964,0.003946609774903357,0.0,0.003946609774903357,0.003946609774903357,-0.0027621826281439502,0.0,-0.0027621826281439502,-0.0027621826281439502,-0.0008303133625560107,0.0,-0.0008303133625560107,-0.0008303133625560107,0.9594734255928967,0.0,0.9594734255928967,0.9594734255928967,0.959485534306046,0.0,0.959485534306046,0.959485534306046,-1.2108713149272532e-05,0.0,-1.2108713149272532e-05,-1.2108713149272532e-05,-1.2108713149272532e-05,0.0,-1.2108713149272532e-05,-1.2108713149272532e-05
13,header,low_density,class_conditional,important,0.05,1,120005,4,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.23912336985958918,0.0,0.23912336985958918,0.23912336985958918,0.005241448272988626,0.0,0.005241448272988626,0.005241448272988626,0.19583350693721094,0.0,0.19583350693721094,0.19583350693721094,0.010483158614023099,0.0,0.010483158614023099,0.010483158614023099,0.39165722285180987,0.0,0.39165722285180987,0.39165722285180987,0.21302194824316753,0.0,0.21302194824316753,0.21302194824316753,-0.19720395514674866,0.0,-0.19720395514674866,-0.19720395514674866,-0.028974482791653582,0.0,-0.028974482791653582,-0.028974482791653582,0.9594734255928967,0.0,0.9594734255928967,0.9594734255928967,0.9091935506383428,0.0,0.9091935506383428,0.9091935506383428,0.05027987495455388,0.0,0.05027987495455388,0.05027987495455388,0.05027987495455388,0.0,0.05027987495455388,0.05027987495455388
13,header,low_density,class_conditional,important,0.1,1,120005,8,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.28164659805841424,0.0,0.28164659805841424,0.28164659805841424,0.2024665638931711,0.0,0.2024665638931711,0.2024665638931711,0.030198741719095038,0.0,0.030198741719095038,0.030198741719095038,0.40494325094581757,0.0,0.40494325094581757,0.40494325094581757,0.060395973601759884,0.0,0.060395973601759884,0.060395973601759884,0.2509825469982154,0.0,0.2509825469982154,0.2509825469982154,0.13905403214910497,0.0,0.13905403214910497,0.13905403214910497,-0.1218032481154926,0.0,-0.1218032481154926,-0.1218032481154926,0.9594734255928967,0.0,0.9594734255928967,0.9594734255928967,0.8457774680212455,0.0,0.8457774680212455,0.8457774680212455,0.11369595757165118,0.0,0.11369595757165118,0.11369595757165118,0.11369595757165118,0.0,0.11369595757165118,0.11369595757165118
13,header,low_density,class_conditional,random,0.01,20,120005,1,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",0.016314736885963084,0.028624379761446418,0.0,0.12096995958501729,0.004556476813466106,0.009837032979594288,0.0,0.03941502437398442,0.006708470480396649,0.019280225847420052,0.0,0.08791300362484897,0.009113181446975885,0.019674557802640165,0.0,0.07883201946634223,0.013416605559629358,0.038559487747810865,0.0,0.1758216118925405,0.01657154780052961,0.029214684158424396,0.0,0.12175680512789441,-0.0027926015892200365,0.030622759112936493,-0.11119235551473276,0.06481262503131599,-0.004643876718356241,0.01007867250506553,-0.0401226880193978,0.0005353839216088814,0.9594734255928967,0.0,0.9594734255928967,0.9594734255928967,0.957124540731745,0.004845694159842553,0.9393931903570333,0.9594781190906557,0.002348884861151657,0.004845694159842553,-4.693497759000742e-06,0.02008023523586344,0.002348884861151657,0.004845694159842553,-4.693497759000742e-06,0.02008023523586344
