feature_group,density_definition,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,class_conditional,important,0.01,5,0.00018823401999062465,0.00019108018677357213,0.0,0.0004331312054374625,0.02202365497229748,0.022901470256629922,0.0029174446519071753,0.05218322684971014,0.033687704698882937,0.03408181107727956,0.003899837506770551,0.07730768910259081,-3.6863852179713776e-07,5.540623960650817e-06,-7.737738188628995e-06,8.093266712583258e-06,0.007322436800231679,0.008549682821832353,0.0002123359532461011,0.018127879283273418,0.008290406229476544,0.00989765617051587,-1.2108713149272532e-05,0.023507105159358277,-3.6863852179713776e-07,5.540623960650817e-06,-7.737738188628995e-06,8.093266712583258e-06,0.007322436800231679,0.008549682821832353,0.0002123359532461011,0.018127879283273418,0.008290406229476544,0.00989765617051587,-1.2108713149272532e-05,0.023507105159358277,0.033499470678892314,0.03405819959388402,0.003491704838665703,0.07687455789715335,118.76575208732605,65.59766946325843,9.555318188272768,178.48561390193544,0.00829077486799834,0.009896112260013358,-7.1713460046973765e-06,0.023505156700142305,0.00829077486799834,0.009896112260013358,-7.1713460046973765e-06,0.023505156700142305
header,class_conditional,important,0.05,5,0.029842029305284824,0.014606099395520256,0.012641793653303594,0.05343206256923679,0.16564855475487145,0.02406114404756191,0.14617182909601578,0.20991847826086957,0.20906587326603981,0.01959607166589853,0.18979166666666666,0.23912336985958918,0.0019253319599357832,0.0010278917661903678,0.001060823925447263,0.003695483330280913,0.06583368424899716,0.015096807328043029,0.03633964827842917,0.0767556392204134,0.06335328676079274,0.006986216439934578,0.05027987495455388,0.07056715699196858,0.0019253319599357832,0.0010278917661903678,0.001060823925447263,0.003695483330280913,0.06583368424899716,0.015096807328043029,0.03633964827842917,0.0767556392204134,0.06335328676079274,0.006986216439934578,0.05027987495455388,0.07056715699196858,0.179223843960755,0.01706569963365733,0.1589973769219712,0.20806411644388426,8.989210104886366,4.428715539570963,4.4752786690525985,15.013033108404652,0.061427954800856964,0.0076970897280302895,0.04658439162427297,0.06807630182217261,0.061427954800856964,0.0076970897280302895,0.04658439162427297,0.06807630182217261
header,class_conditional,important,0.1,5,0.051761890030241245,0.021767498720620473,0.02717278227652155,0.087737861165728,0.30551958002231067,0.0745440201453451,0.21392163972276748,0.41182060290826344,0.32502247005941254,0.06465834559758091,0.23259806168281932,0.4238372528928098,0.009619080654294399,0.005363209377152344,0.006019713603877097,0.019934166819294274,0.10862062370789767,0.016757661422524432,0.09161860810060873,0.1379121823453643,0.1232752764427844,0.021759099579252372,0.09120936317728034,0.15358963795047853,0.009619080654294399,0.005363209377152344,0.006019713603877097,0.019934166819294274,0.10862062370789767,0.016757661422524432,0.09161860810060873,0.1379121823453643,0.1232752764427844,0.021759099579252372,0.09120936317728034,0.15358963795047853,0.2732605800291713,0.059528110675033656,0.1855616786615626,0.360816523705314,7.289860327190622,3.002383189598913,3.960438892015658,12.495959984686065,0.11365619578849,0.02258426600262314,0.0851026540224914,0.14370191604485905,0.11365619578849,0.02258426600262314,0.0851026540224914,0.14370191604485905
header,class_conditional,random,0.01,5,0.0016071291804061424,0.0009367932491205559,0.0006023795240951809,0.003322736086952903,0.014950031288445423,0.004958347765440148,0.008427212143187587,0.023669650563076676,0.018863350875352503,0.0068482293230976545,0.00948691675205558,0.030603750000000006,5.666808411636359e-05,5.5365796769057466e-05,4.762469981600681e-06,0.00015952323664580325,0.0013183182333605715,0.000613672486349481,0.0002312395012095625,0.0020645249434027733,0.0022325491634811656,0.001025644632662381,0.000615905939360395,0.0034464686458334005,5.666808411636359e-05,5.5365796769057466e-05,4.762469981600681e-06,0.00015952323664580325,0.0013183182333605715,0.000613672486349481,0.0002312395012095625,0.0020645249434027733,0.0022325491634811656,0.001025644632662381,0.000615905939360395,0.0034464686458334005,0.01725622169494636,0.0059546591782492836,0.0088845372279604,0.027281013913047103,13.267026246337178,3.2079912551700964,9.210406484032564,18.113228491743186,0.0021758810793648022,0.0009863470306117836,0.0006111434693787943,0.0033860493636288292,0.0021758810793648022,0.0009863470306117836,0.0006111434693787943,0.0033860493636288292
header,class_conditional,random,0.05,5,0.009235165212323763,0.0011258951075303826,0.00833617683530714,0.011430213957208557,0.058889717154223586,0.006135174632375978,0.05263005382687842,0.0678760169378501,0.06884977032226164,0.005925749494630856,0.06282697644186298,0.07678555060205824,0.0001884916519962865,0.00011019713726772952,5.9907112342660884e-05,0.0003590810105013276,0.005540700616324045,0.00141650264778209,0.00425717451414766,0.00824786823322327,0.00799556610849828,0.0015715693723303164,0.006002839486111189,0.01071380753885634,0.0001884916519962865,0.00011019713726772952,5.9907112342660884e-05,0.0003590810105013276,0.005540700616324045,0.00141650264778209,0.00425717451414766,0.00824786823322327,0.00799556610849828,0.0015715693723303164,0.006002839486111189,0.01071380753885634,0.05961460510993788,0.005277808033088357,0.05398985043399999,0.06772542183203684,7.506484383827259,0.6472942291856892,6.560336182890136,8.475105878862342,0.007807074456501995,0.0015531122924771338,0.00587261297335156,0.010441174849889384,0.007807074456501995,0.0015531122924771338,0.00587261297335156,0.010441174849889384
header,class_conditional,random,0.1,5,0.022675639682599343,0.004158768780819057,0.017619031766771806,0.029100169920703668,0.10069978784577349,0.010446120280880555,0.08578765767530244,0.11460242640960563,0.11304749431773972,0.008870336008973497,0.09985375121873984,0.12279106007449936,0.0006003899083750952,0.00020445302123294157,0.00038129040189713304,0.0009829288497402665,0.011009898919817896,0.0013566421491381904,0.009420990771816056,0.013505867714389237,0.017980464257944008,0.0018446105741135688,0.01557535784820252,0.020494930703707216,0.0006003899083750952,0.00020445302123294157,0.00038129040189713304,0.0009829288497402665,0.011009898919817896,0.0013566421491381904,0.009420990771816056,0.013505867714389237,0.017980464257944008,0.0018446105741135688,0.01557535784820252,0.020494930703707216,0.09037185463514037,0.005569510867050457,0.08045077857902244,0.09534084177844399,5.087725793024651,0.5951405388458968,4.219599418460377,5.997752017941634,0.017380074349568914,0.0017433423112571394,0.015194067446305387,0.019934878519825495,0.017380074349568914,0.0017433423112571394,0.015194067446305387,0.019934878519825495
imports,class_conditional,important,0.01,5,0.04379667608875034,0.03282346890436768,0.006623674973470316,0.09575962297441612,0.11269053194698872,0.03799884303556653,0.06944591812915137,0.16931126034671248,0.15199745465151557,0.013537922067200343,0.1358238681344322,0.16985691785901785,0.004481266746531554,0.010687784521420924,-0.008851446668650453,0.01897941332221298,0.024519066637034757,0.014859305778673606,0.010199732818523821,0.04708317226299963,0.03402947070484643,0.009137008963883681,0.0230844515091414,0.04652412612567569,0.004481266746531554,0.010687784521420924,-0.008851446668650453,0.01897941332221298,0.024519066637034757,0.014859305778673606,0.010199732818523821,0.04708317226299963,0.03402947070484643,0.009137008963883681,0.0230844515091414,0.04652412612567569,0.10820077856276522,0.0312622107938795,0.06986717319708338,0.1417655185399711,8.011901074354402,7.671551433040011,1.729609944430855,22.402849491827716,0.029548203958314877,0.014390882450540673,0.007354358461412525,0.049132356864991844,0.029548203958314877,0.014390882450540673,0.007354358461412525,0.049132356864991844
imports,class_conditional,important,0.05,5,0.10258031553684992,0.03188933028345309,0.05549660070201626,0.15074236640084807,0.20542039629811945,0.028882134243744063,0.15702056652218613,0.2417044093914311,0.24168289487395947,0.03506965400087118,0.19667336105532454,0.30444746293780883,0.026849161936171685,0.02028101175485124,-0.003944838854626487,0.05821433960692668,0.06835303933130313,0.027798584205765392,0.026846716234903534,0.10610644974858763,0.06824221535134989,0.015624463504343118,0.048666461114536874,0.08854343748147331,0.026849161936171685,0.02028101175485124,-0.003944838854626487,0.05821433960692668,0.06835303933130313,0.027798584205765392,0.026846716234903534,0.10610644974858763,0.06824221535134989,0.015624463504343118,0.048666461114536874,0.08854343748147331,0.1391025793371095,0.027710867920988584,0.11300182512476596,0.18688269297642243,2.582223560312355,0.9003905274037586,2.019654263143477,4.367461981678326,0.0413930534151782,0.03359472521322441,-0.009547878492389805,0.08627764412713601,0.0413930534151782,0.03359472521322441,-0.009547878492389805,0.08627764412713601
imports,class_conditional,important,0.1,5,0.1376661967859067,0.059657729579919015,0.06329807703520576,0.23803965243078096,0.2971170690710377,0.09866266850310954,0.17832068482747576,0.47813524910198346,0.2952932103734711,0.03222184423646956,0.25488954258714513,0.3477054357880351,0.055694170862703785,0.060697808401647096,0.0003536521984092156,0.1734049247707955,0.11873781843999824,0.03907908240487019,0.06036068286807572,0.1805250932790723,0.1043940268228388,0.026579289373012766,0.07045355466297776,0.14512651237757657,0.055694170862703785,0.060697808401647096,0.0003536521984092156,0.1734049247707955,0.11873781843999824,0.03907908240487019,0.06036068286807572,0.1805250932790723,0.1043940268228388,0.026579289373012766,0.07045355466297776,0.14512651237757657,0.15762701358756442,0.04741373232145509,0.09171779676903324,0.20908904984601287,2.545800366981069,1.0324082260346128,1.4607038459239206,4.303244895255185,0.04869985596013502,0.0801943097162123,-0.10295137010781774,0.12146001510701598,0.04869985596013502,0.0801943097162123,-0.10295137010781774,0.12146001510701598
imports,class_conditional,random,0.01,5,0.0036085015936118945,0.0030633469840859024,0.0009585963205264439,0.009368691117092867,0.0063460748318381385,0.0013674467729810433,0.004597750150540614,0.008256314351103236,0.010832668353220611,0.002204465687226022,0.008330070722300431,0.014675711035741371,-0.0008775840632040809,0.0015257816740920258,-0.0033491119313684313,0.0013750960996973816,0.0010973209795504123,0.00114291560101428,0.00016080376440996135,0.0033361445961390566,0.0011894603123091185,0.0006416249133751386,0.000496511698380897,0.00236458534718878,-0.0008775840632040809,0.0015257816740920258,-0.0033491119313684313,0.0013750960996973816,0.0010973209795504123,0.00114291560101428,0.00016080376440996135,0.0033361445961390566,0.0011894603123091185,0.0006416249133751386,0.000496511698380897,0.00236458534718878,0.007224166759608716,0.0012973087966071022,0.005307019918648504,0.009188402454483765,5.1695757588936315,3.2975186364318985,1.5664633247397837,10.585267810581268,0.0020670443755132,0.0020970792362864908,-0.0006075652043789736,0.005713697278557211,0.0020670443755132,0.0020970792362864908,-0.0006075652043789736,0.005713697278557211
