seed,feature_group,density_bin,density_definition,thresholds_json,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",important,0.01,0,120059,1,0.9999670346381614,0.999971972005306,-4.9373671445751555e-06,-4.9373671445751555e-06,0.0004081326681048484,0.0,0.0,0.0,0.0,0.0008154834000582685,-0.00048223537801093486,-0.00010007178380848941
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",important,0.01,0,239936,1,0.9747428055095497,0.9745304695563036,0.0002123359532461011,0.0002123359532461011,0.0029174446519071753,9.169111763136836e-05,0.0020755534809282477,0.0001833348611238427,0.004152179894444583,0.0026253640403160355,-0.0018901909909650235,-0.00026079682821717983
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",important,0.01,0,120005,1,0.9594734255928967,0.959485534306046,-1.2108713149272532e-05,-1.2108713149272532e-05,0.003899837506770551,0.00027498854214407734,0.0014499395858505895,0.0005499908334861086,0.0028998066795546964,0.003946609774903357,-0.0027621826281439502,-0.0008303133625560107
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,1,120059,1,0.9999670346381614,0.9999665345743352,5.000638262364632e-07,5.000638262364632e-07,4.997542874753246e-05,0.0,0.0,0.0,0.0,0.0010638354610608442,-0.001030249903636351,-0.0008967453922602084
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,1,239936,1,0.9747428055095497,0.9740573172104559,0.0006854882990938727,0.0006854882990938727,0.003871865830888237,8.335556148306216e-05,0.0032758735662843427,0.00016666805556712973,0.006553440556292053,0.00499425194770165,-0.00428996984062747,-0.0013871674779998436
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,1,120005,1,0.9594734255928967,0.9587196686845877,0.0007537569083090334,0.0007537569083090334,0.007274696887629682,0.0011916170159576684,0.004058164243156535,0.0023832936117731372,0.008116125591627225,0.005977167376817325,-0.004418807071987643,-0.0013994014887643426
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,2,120059,1,0.9999670346381614,0.9999662548493982,7.797887632277067e-07,7.797887632277067e-07,0.0013743242905571427,0.0,0.0,0.0,0.0,0.0040843911215288995,-0.004084377935011329,-0.001692899651051836
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,2,239936,1,0.9747428055095497,0.9747362860950572,6.5194144924785036e-06,6.5194144924785036e-06,0.016400206721792477,0.0,0.011127967457988797,0.0,0.022261687385877586,0.02053094546525546,-0.02050909712906608,-0.0004706984567639983
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,2,120005,1,0.9594734255928967,0.9583125995519123,0.0011608260409844418,0.0011608260409844418,0.025432273655264365,1.6665972251156202e-05,0.0151827007208033,3.333277778703688e-05,0.03036464235717619,0.025963477365077734,-0.025891210775549903,-0.0028116279893929366
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.00011104222140461694, ""label_0_q_low"": -0.013254009560933167, ""label_1_q_high"": -1.751931932858497e-14, ""label_1_q_low"": -0.029621760227046278, ""low_quantile"": 0.25}",random,0.01,3,120059,1,0.9999670346381614,0.9999494824533652,1.7552184796154613e-05,1.7552184796154613e-05,0.0017074938155406925,0.0016491891486685713,0.0,0.0033,0.0,0.006639191111742628,0.006484763189548097,-0.005229279397608559
