seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
13,header,2024-09-22_2024-09-28,baseline,0.0,0,0,0.987203275,0.0720625,0.17803866626411527,0.09400095758191013,0.0,0.0,0.0,0.0
13,header,2024-09-22_2024-09-28,important,0.01,0,1,0.987160985,0.0721325,0.1786263722267731,0.09400095756455026,-4.229000000000038e-05,7.000000000000062e-05,0.0005877059626578363,-1.7359863546673182e-11
13,header,2024-09-22_2024-09-28,important,0.05,0,4,0.9658951887499999,0.08018,0.17681387711720967,0.08437979711985963,-0.021308086250000136,0.0081175,-0.0012247891469056027,-0.009621160462050499
13,header,2024-09-22_2024-09-28,important,0.1,0,8,0.9058090212499998,0.09191,0.18345043467885208,0.14389277419984503,-0.0813942537500002,0.019847500000000004,0.005411768414736812,0.0498918166179349
13,header,2024-09-22_2024-09-28,random,0.01,1,1,0.987203275,0.0720625,0.17803866626411527,0.09400095758186632,0.0,0.0,0.0,-4.381217610927024e-14
13,header,2024-09-22_2024-09-28,random,0.01,2,1,0.9872239025,0.07203,0.17882900989932551,0.09400075202216696,2.0627499999981147e-05,-3.250000000000475e-05,0.0007903436352102444,-2.0555974317160164e-07
13,header,2024-09-22_2024-09-28,random,0.01,3,1,0.9872034675,0.0720675,0.17539431832739025,0.09400095753394733,1.9249999994030986e-07,5.0000000000050004e-06,-0.0026443479367250222,-4.796280039798262e-11
13,header,2024-09-22_2024-09-28,random,0.01,4,1,0.9785772187499999,0.07246,0.17586588192809444,0.08586886026161794,-0.008626056250000125,0.0003974999999999951,-0.002172784336020833,-0.008132097320292186
13,header,2024-09-22_2024-09-28,random,0.01,5,1,0.9872239025,0.07203,0.17882900989932551,0.09400075202216696,2.0627499999981147e-05,-3.250000000000475e-05,0.0007903436352102444,-2.0555974317160164e-07
13,header,2024-09-22_2024-09-28,random,0.01,6,1,0.9868851575,0.072015,0.17856241670704798,0.09400095761738747,-0.0003181174999999925,-4.750000000000587e-05,0.0005237504429327078,3.547734328535057e-11
