seed,feature_group,density_bin,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,high_density,important,0.01,0,180084,1,0.9996278363943233,0.9996242926850027,3.5437093205414882e-06,3.5437093205414882e-06,0.0001554829968237045,0.0,6.663557006730193e-05,0.0,9.130196603566864e-05,0.001024882915381755,-0.000633824517961583,-0.00019710475149740486
13,header,mid_density,important,0.01,0,359916,1,0.9720481879844475,0.9719168526276667,0.0001313353567807818,0.0001313353567807818,0.0019560119583458364,0.00010002333877904845,0.0009057669011658276,0.0001502617058042758,0.0027091262652284473,0.002292462082071607,-0.0015768332982934144,-0.00020806990858646853
13,header,low_density,important,0.01,0,180000,1,0.9565202726338369,0.9563456627476976,0.0001746098861392653,0.0001746098861392653,0.006244444444444445,0.0002666666666666667,0.004011111111111111,0.0006688403979600368,0.006670731932664412,0.004458408264293861,-0.003258204719911969,-0.0008168974704512814
13,header,high_density,random,0.01,1,180084,1,0.9996278363943233,0.9996214183082458,6.418086077486507e-06,6.418086077486507e-06,0.0,0.0,0.0,0.0,0.0,0.0013127262101267148,-0.001299072003688954,-0.0010982838008329584
13,header,mid_density,random,0.01,1,359916,1,0.9720481879844475,0.9712196110271362,0.0008285769573113111,0.0008285769573113111,0.0037008635348247925,8.890963447026528e-05,0.0029784727547538872,0.0001335659607149118,0.008908537902837103,0.004645199819913039,-0.0038878815480174567,-0.0010125458547577495
13,header,low_density,random,0.01,1,180000,1,0.9565202726338369,0.9556969904310442,0.0008232822027927078,0.0008232822027927078,0.0074333333333333335,0.0011222222222222222,0.004588888888888889,0.002814703341415155,0.007631612986677015,0.006379521026177532,-0.004927431624074691,-0.0019427854267221796
13,header,high_density,random,0.01,2,180084,1,0.9996278363943233,0.9996113492319743,1.648716234903258e-05,1.648716234903258e-05,0.001865795961884454,0.0,0.0011328046911441327,0.0,0.0015521334226063668,0.005165562347956796,-0.005165555174708325,-0.0029234341105493842
13,header,mid_density,random,0.01,2,359916,1,0.9720481879844475,0.9719314923794491,0.00011669560499838472,0.00011669560499838472,0.015364696206892719,0.0,0.00889652029918092,0.0,0.026609270862765304,0.019088679421413336,-0.019065253506735647,0.0018192499289047023
13,header,low_density,random,0.01,2,180000,1,0.9565202726338369,0.9552836722180454,0.0012366004157914334,0.0012366004157914334,0.026977777777777778,3.3333333333333335e-05,0.018344444444444444,8.36050497450046e-05,0.030507973464900123,0.02778136403636262,-0.027714117536947774,-0.006147892438923182
13,header,high_density,random,0.01,3,180084,1,0.9996278363943233,0.9994801134464399,0.00014772294788334417,0.00014772294788334417,0.0018213722485062526,0.0008440505541858243,0.0,0.0031242292197648605,0.0,0.007475708982451643,0.006056615617822044,-0.004529846636085098
13,header,mid_density,random,0.01,3,359916,1,0.9720481879844475,0.971222734455373,0.0008254535290744824,0.0008254535290744824,0.008757598995321131,0.0029062336767467964,0.0008668689360850865,0.00436593734086868,0.0025927834194824405,0.007601332444138224,0.0052171184048236405,-0.0013029056882184363
13,header,low_density,random,0.01,3,180000,1,0.9565202726338369,0.9547402180236638,0.001780054610173054,0.001780054610173054,0.009788888888888889,0.0057,0.00046666666666666666,0.014296463506395787,0.0007760962359332557,0.008963365131953492,0.00547450323199836,-0.0010740510353244668
13,header,high_density,random,0.01,4,180084,1,0.9996278363943233,0.9995951898549181,3.2646539405156716e-05,3.2646539405156716e-05,0.004075875702449968,0.0012993936163123877,0.0,0.004809668667269588,0.0,0.008579889341802458,0.008020198766927809,-0.0003718776655460009
13,header,mid_density,random,0.01,4,359916,1,0.9720481879844475,0.9680483616776924,0.003999826306755105,0.003999826306755105,0.03815890374420698,0.019771279965325243,0.0004890029895864591,0.02970173051397851,0.0014625957750926588,0.042582137078813906,0.040082247051788124,-0.008025471648815759
13,header,low_density,random,0.01,4,180000,1,0.9565202726338369,0.9499284456672161,0.006591826966620751,0.006591826966620751,0.03868888888888889,0.0221,0.0009333333333333333,0.05543014798093805,0.0015521924718665113,0.03698152364083412,0.031496464995911425,0.006332917032117629
