seed,feature_group,density_bin,n_samples,auc,acc,positive_rate,mean_probability,silhouette,js_divergence,density_q25,density_q75
13,all,high_density,10000,0.9974758568667232,0.9511,0.3405,0.3483190162974127,0.2787728011608124,0.06484397131006354,-0.3718220591545105,-0.012021884322166443
13,all,mid_density,20000,0.989177533548146,0.9411,0.5936,0.5989798971301349,0.055887915194034576,0.08456227412154156,-0.3718220591545105,-0.012021884322166443
13,all,low_density,10000,0.9628977880169276,0.9129,0.3237,0.3308008137346173,-0.005125772207975388,0.08581096437190211,-0.3718220591545105,-0.012021884322166443
13,header,high_density,10000,0.9994215082170942,0.9886,0.7207,0.7153042072261453,0.4654884338378906,0.16352374604021985,-0.019815033301711082,-2.7935207981499843e-05
13,header,mid_density,19999,0.9657712799826054,0.8992449622481125,0.30731536576828844,0.31953038447204657,0.1137532964348793,0.07660461589111436,-0.019815033301711082,-2.7935207981499843e-05
13,header,low_density,10001,0.9511663174783975,0.8735126487351265,0.533046695330467,0.5446795422174237,0.02585282176733017,0.07353439831465061,-0.019815033301711082,-2.7935207981499843e-05
13,section,high_density,10000,0.9983477351521699,0.9685,0.4309,0.4350503448930768,0.3007655739784241,0.0707943375800392,-0.026012269780039787,-0.0003728047013282776
13,section,mid_density,20000,0.9639150123081821,0.89005,0.37355,0.4049887572560788,0.0866113007068634,0.1016411756532622,-0.026012269780039787,-0.0003728047013282776
13,section,low_density,10000,0.9549662224318906,0.8896,0.6768,0.6771486584954761,-0.04847537726163864,0.2313334520471449,-0.026012269780039787,-0.0003728047013282776
13,imports,high_density,16615,0.8742792062187551,0.8536864279265723,0.3783930183569064,0.5750823920844362,0.2095516324043274,0.08540555643413406,-0.3076985478401184,-1.7881393432617188e-07
13,imports,mid_density,13385,0.9652664033965552,0.8954800149420994,0.6245797534553604,0.6401131265034216,0.12080124020576477,0.03648798493452603,-0.3076985478401184,-1.7881393432617188e-07
