feature_group,density_bin,n_rows,auc_mean,auc_std,auc_min,auc_max,acc_mean,acc_std,acc_min,acc_max,positive_rate_mean,positive_rate_std,positive_rate_min,positive_rate_max,mean_probability_mean,mean_probability_std,mean_probability_min,mean_probability_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
all,high_density,5,0.9972354106252878,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.9583400000000001,0.0058400684927490416,0.9511,0.964,0.34426000000000007,0.010357721757220554,0.3261,0.3558,0.34736577279019826,0.006410921788554226,0.33707598217520024,0.35674183813995153,0.279723709821701,0.0017523543430237448,0.27828118205070496,0.2828742563724518,0.0663692113820222,0.003203611351127963,0.06417934793949048,0.07274073413248064
all,low_density,5,0.9642542760688443,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.91476,0.0010150862032359369,0.9129,0.9157,0.32994,0.004722118168788252,0.3237,0.3375,0.33660766122364755,0.004798515189475896,0.3308008137346173,0.34306970955441507,-0.005091201979666948,0.0004700160316767893,-0.005698519758880138,-0.00427962513640523,0.08279791691987,0.0025295858860876737,0.07952109438390897,0.08581096437190211
all,mid_density,5,0.9883895205704787,0.0008915669412178578,0.986911013509364,0.9894110984365997,0.9429000000000001,0.0032185400416959104,0.9401,0.94845,0.60623,0.007577704137797936,0.5936,0.6142,0.6094717711681816,0.006751313146047806,0.5989798971301349,0.6173388787288476,0.054567667096853255,0.0012688993177085296,0.052518196403980255,0.055887915194034576,0.08215076504560814,0.001956191780163,0.07963318730969027,0.08456227412154156
header,high_density,5,0.9994427325279407,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9877605518896221,0.0011801183511443603,0.9862027594481104,0.9894,0.7176308778244351,0.00735227154990419,0.7072,0.7280543891221756,0.7102238840520841,0.007300944650431549,0.7016956035685329,0.7217887483785114,0.45877605080604555,0.00582889896927037,0.4486245810985565,0.4654884338378906,0.1601025363627549,0.0050770339053129,0.1502158536551925,0.1640587769667892
header,low_density,5,0.9510264680582278,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.8751425297470252,0.0038525482512535856,0.8714,0.881,0.5422893390660934,0.006927958992800714,0.533046695330467,0.5538,0.5482101674348188,0.006727729193076047,0.5422569485073131,0.5602929786448394,0.027072564885020255,0.0015643108561966634,0.02463316172361374,0.028641076758503914,0.07177860683745886,0.001307598170156733,0.06989728925869429,0.07353439831465061
header,mid_density,5,0.9645553801640137,0.0018165391568599834,0.9612117112898009,0.9659447539635784,0.8979869592463021,0.0017898082483446297,0.8947,0.89985,0.2977888457309154,0.010056006360123448,0.28335,0.30825,0.3117801553059031,0.010536669498321941,0.2950785519755456,0.32489993457706196,0.11139213293790817,0.003502347151800968,0.10477598011493683,0.11429297924041748,0.07608687365751196,0.0008720307439561456,0.07467210045540046,0.07694168144542021
imports,high_density,5,0.8559507903240917,0.027671255488776053,0.8130953115183193,0.8951345068035579,0.8441665558949978,0.012003728647890389,0.8271321843331607,0.8578178694158075,0.33546508708890965,0.0591491621725421,0.25061025223759154,0.41349871134020616,0.5447668741351919,0.046732043966811306,0.47770582876725065,0.6061110870503718,0.23533903062343597,0.03194268468261074,0.18523533642292023,0.26270267367362976,0.08346643091195702,0.004907729524430078,0.07706694045498554,0.0911776519357331
imports,low_density,5,0.9012585376069333,0.001653302998253272,0.8980679862682784,0.902699989959773,0.8618653669266146,0.003960404852704938,0.8559,0.8664,0.23205051389722056,0.006183626994572927,0.2212,0.238,0.246895839173099,0.008636589266693855,0.240111139523855,0.26375666137843395,-0.05415290743112564,0.0031094322282387383,-0.05847571790218353,-0.050733380019664764,0.01697836009048547,0.0007851490992408409,0.016130868475569337,0.01804707811736453
imports,mid_density,5,0.9633873744011021,0.004776883309190952,0.9565797235881532,0.971138058900652,0.8924131440640203,0.010363119354032582,0.8778698374549364,0.9095928645106486,0.6295172114513061,0.021997586917117017,0.6126054852320675,0.6725320065530004,0.6441375271819636,0.019888203533408613,0.6241559034918578,0.6808138231335029,0.11599696576595306,0.017306056554350243,0.09313968569040298,0.13394007086753845,0.03499798771968145,0.005308100567270563,0.02819372098582784,0.04184971724599821
section,high_density,5,0.9981177035408585,0.0003303811097756586,0.9975954043835212,0.9985624086476369,0.96782,0.0009682974749528038,0.9664,0.969,0.42951999999999996,0.0077398707999552585,0.4145,0.4356,0.43145727453450783,0.006596937568800224,0.4194819456762118,0.4387878428841951,0.2975822567939758,0.005660178769398999,0.2908208966255188,0.30633699893951416,0.06074244712347845,0.009951154880827384,0.04627320766824396,0.0707943375800392
section,low_density,5,0.9539504533096361,0.0012475086348972535,0.9522069487681375,0.9557133251759369,0.8940199999999999,0.003928562077910968,0.8896,0.901,0.68042,0.0065764428074758,0.6706,0.6904,0.6796236919891233,0.005323215460613542,0.6702273048583098,0.6839647725809056,-0.05192320272326469,0.003141062014754938,-0.05541867017745972,-0.04783206060528755,0.21862423807053796,0.018583642655548335,0.19630961152258392,0.24791250568401696
section,mid_density,5,0.9652200439450184,0.0006591755778040901,0.9639150123081821,0.9656869908558453,0.8918299999999999,0.002885931392115889,0.88885,0.89725,0.36582,0.009554663782677013,0.34815,0.37355,0.3881056432624802,0.010426805916331426,0.37247111388000576,0.4049887572560788,0.0856742411851883,0.0020795536119157347,0.08168147504329681,0.08759112656116486,0.10124400357299475,0.01140829696548944,0.08682900803412436,0.11932704018828862
strings,high_density,5,0.9973578781472929,0.0003372960752412327,0.9968515154783735,0.9979016683176923,0.9604799999999999,0.0036891191360540134,0.9549,0.9662,0.33074000000000003,0.01160492998686334,0.31,0.3409,0.33151063953710974,0.009651908821052138,0.31428685282991975,0.34058316924059945,0.22659933865070342,0.0029590022457332585,0.2227897197008133,0.23145873844623566,0.000607856211404586,0.0001191093940928088,0.00048320750593824186,0.0007917263638808791
strings,low_density,5,0.939020052940054,0.004558377537886433,0.9331558474171758,0.9462462977483351,0.8716799999999999,0.008011841236569797,0.8649,0.8868,0.42969999999999997,0.01366835761896797,0.404,0.4421,0.4409829647550237,0.015036964245568031,0.4149763301791171,0.4551157783042012,0.03992752432823181,0.0016518224468622283,0.03685508668422699,0.041596245020627975,0.0018053530097523237,0.0010197576783731145,0.00045457794188213745,0.003216900117092746
strings,mid_density,5,0.9653465322365633,0.0017615008237020897,0.9642039736141327,0.9688338800027272,0.89918,0.0032818592291565347,0.8962,0.90535,0.55488,0.008897168088779715,0.54025,0.56455,0.5595272211834516,0.006485891735739587,0.5475117589909693,0.5658009666028379,0.0173460453748703,0.0012970158807582139,0.015626104548573494,0.019252106547355652,0.0003558137324138831,0.000130310881639751,0.00018334869669722997,0.000516870210010039
