seed,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,high_density,120002,60001,60001,1.0,3032,0.05053249112514791,"{""2024-09-22_2024-09-28"": 12819, ""2024-09-29_2024-10-05"": 14446, ""2024-10-06_2024-10-12"": 10600, ""2024-10-13_2024-10-19"": 10631, ""2024-10-20_2024-10-26"": 10669, ""2024-10-27_2024-11-02"": 7806, ""2024-11-03_2024-11-09"": 9596, ""2024-11-10_2024-11-16"": 9955, ""2024-11-17_2024-11-23"": 9339, ""2024-11-24_2024-11-30"": 8573, ""2024-12-01_2024-12-07"": 6834, ""2024-12-08_2024-12-14"": 8734}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016398361390350669, ""label_0_q_low"": -0.374359306651632, ""label_1_q_high"": -0.008176307350754253, ""label_1_q_low"": -0.24930002137917978, ""low_quantile"": 0.25}"
13,mid_density,239997,119999,119998,1.0000083334722245,8904,0.07420123668727813,"{""2024-09-22_2024-09-28"": 19425, ""2024-09-29_2024-10-05"": 18293, ""2024-10-06_2024-10-12"": 19362, ""2024-10-13_2024-10-19"": 19906, ""2024-10-20_2024-10-26"": 19720, ""2024-10-27_2024-11-02"": 21068, ""2024-11-03_2024-11-09"": 19595, ""2024-11-10_2024-11-16"": 19726, ""2024-11-17_2024-11-23"": 20414, ""2024-11-24_2024-11-30"": 20941, ""2024-12-01_2024-12-07"": 21343, ""2024-12-08_2024-12-14"": 20204}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016398361390350669, ""label_0_q_low"": -0.374359306651632, ""label_1_q_high"": -0.008176307350754253, ""label_1_q_low"": -0.24930002137917978, ""low_quantile"": 0.25}"
13,low_density,120001,60000,60001,0.9999833336111065,6992,0.11653139114348095,"{""2024-09-22_2024-09-28"": 7756, ""2024-09-29_2024-10-05"": 7261, ""2024-10-06_2024-10-12"": 10038, ""2024-10-13_2024-10-19"": 9463, ""2024-10-20_2024-10-26"": 9611, ""2024-10-27_2024-11-02"": 11126, ""2024-11-03_2024-11-09"": 10809, ""2024-11-10_2024-11-16"": 10319, ""2024-11-17_2024-11-23"": 10247, ""2024-11-24_2024-11-30"": 10486, ""2024-12-01_2024-12-07"": 11823, ""2024-12-08_2024-12-14"": 11062}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016398361390350669, ""label_0_q_low"": -0.374359306651632, ""label_1_q_high"": -0.008176307350754253, ""label_1_q_low"": -0.24930002137917978, ""low_quantile"": 0.25}"
42,high_density,120001,60000,60001,0.9999833336111065,3071,0.05118248029199513,"{""2024-09-22_2024-09-28"": 12948, ""2024-09-29_2024-10-05"": 14240, ""2024-10-06_2024-10-12"": 10656, ""2024-10-13_2024-10-19"": 10481, ""2024-10-20_2024-10-26"": 10517, ""2024-10-27_2024-11-02"": 7899, ""2024-11-03_2024-11-09"": 9603, ""2024-11-10_2024-11-16"": 10030, ""2024-11-17_2024-11-23"": 9283, ""2024-11-24_2024-11-30"": 8620, ""2024-12-01_2024-12-07"": 6921, ""2024-12-08_2024-12-14"": 8803}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.001648369310345832, ""label_0_q_low"": -0.37553261653619885, ""label_1_q_high"": -0.008129382881055603, ""label_1_q_low"": -0.24993355747271262, ""low_quantile"": 0.25}"
42,mid_density,239998,119999,119999,1.0,8987,0.07489229076908974,"{""2024-09-22_2024-09-28"": 19457, ""2024-09-29_2024-10-05"": 18358, ""2024-10-06_2024-10-12"": 19254, ""2024-10-13_2024-10-19"": 19895, ""2024-10-20_2024-10-26"": 19853, ""2024-10-27_2024-11-02"": 21061, ""2024-11-03_2024-11-09"": 19767, ""2024-11-10_2024-11-16"": 19454, ""2024-11-17_2024-11-23"": 20512, ""2024-11-24_2024-11-30"": 20924, ""2024-12-01_2024-12-07"": 21077, ""2024-12-08_2024-12-14"": 20386}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.001648369310345832, ""label_0_q_low"": -0.37553261653619885, ""label_1_q_high"": -0.008129382881055603, ""label_1_q_low"": -0.24993355747271262, ""low_quantile"": 0.25}"
42,low_density,120001,60001,60000,1.0000166666666668,6898,0.11496666666666666,"{""2024-09-22_2024-09-28"": 7595, ""2024-09-29_2024-10-05"": 7402, ""2024-10-06_2024-10-12"": 10090, ""2024-10-13_2024-10-19"": 9624, ""2024-10-20_2024-10-26"": 9630, ""2024-10-27_2024-11-02"": 11040, ""2024-11-03_2024-11-09"": 10630, ""2024-11-10_2024-11-16"": 10516, ""2024-11-17_2024-11-23"": 10205, ""2024-11-24_2024-11-30"": 10456, ""2024-12-01_2024-12-07"": 12002, ""2024-12-08_2024-12-14"": 10811}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.001648369310345832, ""label_0_q_low"": -0.37553261653619885, ""label_1_q_high"": -0.008129382881055603, ""label_1_q_low"": -0.24993355747271262, ""low_quantile"": 0.25}"
77,high_density,120002,60001,60001,1.0,3067,0.05111581473642106,"{""2024-09-22_2024-09-28"": 13158, ""2024-09-29_2024-10-05"": 14086, ""2024-10-06_2024-10-12"": 10574, ""2024-10-13_2024-10-19"": 10394, ""2024-10-20_2024-10-26"": 10396, ""2024-10-27_2024-11-02"": 7720, ""2024-11-03_2024-11-09"": 9652, ""2024-11-10_2024-11-16"": 10098, ""2024-11-17_2024-11-23"": 9436, ""2024-11-24_2024-11-30"": 8720, ""2024-12-01_2024-12-07"": 6934, ""2024-12-08_2024-12-14"": 8834}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016665561037599197, ""label_0_q_low"": -0.3751456221410736, ""label_1_q_high"": -0.00824461505933729, ""label_1_q_low"": -0.24831314953620076, ""low_quantile"": 0.25}"
77,mid_density,239997,119999,119998,1.0000083334722245,9018,0.07515125252087534,"{""2024-09-22_2024-09-28"": 19272, ""2024-09-29_2024-10-05"": 18586, ""2024-10-06_2024-10-12"": 19290, ""2024-10-13_2024-10-19"": 20138, ""2024-10-20_2024-10-26"": 19950, ""2024-10-27_2024-11-02"": 21085, ""2024-11-03_2024-11-09"": 19576, ""2024-11-10_2024-11-16"": 19480, ""2024-11-17_2024-11-23"": 20307, ""2024-11-24_2024-11-30"": 20813, ""2024-12-01_2024-12-07"": 21124, ""2024-12-08_2024-12-14"": 20376}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016665561037599197, ""label_0_q_low"": -0.3751456221410736, ""label_1_q_high"": -0.00824461505933729, ""label_1_q_low"": -0.24831314953620076, ""low_quantile"": 0.25}"
77,low_density,120001,60000,60001,0.9999833336111065,6801,0.11334811086481891,"{""2024-09-22_2024-09-28"": 7570, ""2024-09-29_2024-10-05"": 7328, ""2024-10-06_2024-10-12"": 10136, ""2024-10-13_2024-10-19"": 9468, ""2024-10-20_2024-10-26"": 9654, ""2024-10-27_2024-11-02"": 11195, ""2024-11-03_2024-11-09"": 10772, ""2024-11-10_2024-11-16"": 10422, ""2024-11-17_2024-11-23"": 10257, ""2024-11-24_2024-11-30"": 10467, ""2024-12-01_2024-12-07"": 11942, ""2024-12-08_2024-12-14"": 10790}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016665561037599197, ""label_0_q_low"": -0.3751456221410736, ""label_1_q_high"": -0.00824461505933729, ""label_1_q_low"": -0.24831314953620076, ""low_quantile"": 0.25}"
123,high_density,120001,60000,60001,0.9999833336111065,2998,0.049965833902768285,"{""2024-09-22_2024-09-28"": 12901, ""2024-09-29_2024-10-05"": 14368, ""2024-10-06_2024-10-12"": 10696, ""2024-10-13_2024-10-19"": 10623, ""2024-10-20_2024-10-26"": 10626, ""2024-10-27_2024-11-02"": 7816, ""2024-11-03_2024-11-09"": 9629, ""2024-11-10_2024-11-16"": 9975, ""2024-11-17_2024-11-23"": 9355, ""2024-11-24_2024-11-30"": 8552, ""2024-12-01_2024-12-07"": 6742, ""2024-12-08_2024-12-14"": 8718}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0016476664517563854, ""label_0_q_low"": -0.3736048270222926, ""label_1_q_high"": -0.007960243472867102, ""label_1_q_low"": -0.2489200286805202, ""low_quantile"": 0.25}"
