model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,13,header,16,0,family_random,b487e8b2df3d1eca,0.9005214864814816,0.10200583333333334,0.03210079550836386,0.6615932121631675
logistic_regression,wild_b,13,header,16,1,family_random,e82f01cca3f15205,0.8497011484259259,0.10995277777777777,0.16849011083469204,0.6860856163478094
logistic_regression,wild_b,13,header,16,2,family_random,6bfa909eb869324f,0.8771976572222223,0.10369111111111112,0.0012614849101404335,0.6900971560750899
logistic_regression,wild_b,13,header,16,3,family_random,39076d7cbfad4642,0.8765359781481482,0.10671472222222222,0.0006713536568920593,0.6664358324330525
logistic_regression,wild_b,13,header,16,4,family_random,a53943b11442e48b,0.9069509467592592,0.10606416666666667,0.0016630538093358705,0.6742001450226662
logistic_regression,wild_b,13,header,16,5,family_random,e51ccc6702e5b008,0.9248026495370368,0.09234666666666667,0.07707466320264465,0.6701160872068512
logistic_regression,wild_b,13,header,16,6,family_random,c25d26836bcd4631,0.9271568349074073,0.11272416666666668,0.04558471695533098,0.610349235087215
logistic_regression,wild_b,13,header,16,7,family_random,9c7de3ad98901653,0.9068614545370371,0.15609083333333332,0.015946250930088977,0.469570020041784
logistic_regression,wild_b,13,header,16,8,family_random,fb118e416a70e4c4,0.8611264085185185,0.12222333333333334,0.14941402198895112,0.6642638161657722
logistic_regression,wild_b,13,header,16,9,family_random,4bda6782f416291f,0.8402046899074073,0.10373166666666668,0.0009449509527462979,0.6835644931834595
logistic_regression,wild_b,13,header,32,0,family_random,3a97614550d91f05,0.9375603253703703,0.08020361111111111,0.058162127954587806,0.7001349626203724
logistic_regression,wild_b,13,header,32,1,family_random,70ed0c9cfdd6b15b,0.9405812872222223,0.07548972222222224,0.1897285541482396,0.7008087822538668
logistic_regression,wild_b,13,header,32,2,family_random,1c85967d8fb1b8ba,0.9170293188888888,0.09540027777777776,0.0773014347458051,0.6687619252645555
logistic_regression,wild_b,13,header,32,3,family_random,154e4cd616cb341a,0.9297533929629629,0.092315,0.0009679524920750931,0.6710244924290786
logistic_regression,wild_b,13,header,32,4,family_random,e190d5b2a1072b1a,0.9240983894444444,0.10202194444444444,0.06940834741839226,0.6573144054006397
logistic_regression,wild_b,13,header,32,5,family_random,029496b5c1e08c41,0.9286142516666667,0.07676444444444444,0.14679568047744693,0.6998761898246121
logistic_regression,wild_b,13,header,32,6,family_random,afbabab771d46cd8,0.9319679427777777,0.08700388888888888,0.08581925737579954,0.6944607235502817
logistic_regression,wild_b,13,header,32,7,family_random,cbcf42ca878b7916,0.9203628083333334,0.09029194444444444,0.07998569122859332,0.693159294097179
logistic_regression,wild_b,13,header,32,8,family_random,851569f557bf88d9,0.9020450709259259,0.08524027777777778,0.08982510260582592,0.6956153939316242
logistic_regression,wild_b,13,header,32,9,family_random,af71448fde159cf1,0.9242328777777779,0.09417694444444445,0.07787102543007872,0.684749353576882
logistic_regression,wild_b,13,header,64,0,family_random,f4b0a1d99a1b9e0d,0.9502769646296296,0.07026138888888889,0.08094419553820044,0.7067571814918164
logistic_regression,wild_b,13,header,64,1,family_random,a6c19aabda9e0655,0.9461895792592592,0.07034472222222223,0.08156602748103965,0.7069968387012354
logistic_regression,wild_b,13,header,64,2,family_random,b0944f9e23151e10,0.9452703981481482,0.07048944444444444,0.2016823000120376,0.7055544495890103
