model,view,seed,family,dimension,sampling_mode,subset_indices_hash,n_subset_repeats,auc_mean,mix_at_10_mean,js_divergence_mean,same_family_rate_at_10_mean
logistic_regression,wild_b,13,header,16,family_random,seed_level_aggregate,10,0.8871059254444444,0.11155452777777779,0.04931514027491862,0.6476275613726867
logistic_regression,wild_b,13,header,32,family_random,seed_level_aggregate,10,0.9256245665370371,0.08789080555555555,0.08758651738768444,0.6865905522949092
logistic_regression,wild_b,13,header,64,family_random,seed_level_aggregate,10,0.9459416611851854,0.07087136111111111,0.08557426005025989,0.7063175687214042
logistic_regression,wild_b,13,imports,16,family_random,seed_level_aggregate,10,0.6821355866851853,0.3713272777777778,0.07344126402478093,0.308947271398172
logistic_regression,wild_b,13,imports,32,family_random,seed_level_aggregate,10,0.735340890888889,0.28059419444444444,0.05725379024319479,0.47999081563784074
logistic_regression,wild_b,13,imports,64,family_random,seed_level_aggregate,10,0.7799127514074075,0.24480066666666667,0.07317117332479049,0.5248476435604712
logistic_regression,wild_b,13,section,16,family_random,seed_level_aggregate,10,0.751360026074074,0.19295647222222223,0.22610837246565474,0.5256018702627634
logistic_regression,wild_b,13,section,32,family_random,seed_level_aggregate,10,0.8177859726296297,0.11109305555555556,0.1189695909404703,0.6336441619358971
logistic_regression,wild_b,13,section,64,family_random,seed_level_aggregate,10,0.8771502335185184,0.08471413888888889,0.1590001496369892,0.6753959650270754
logistic_regression,wild_b,13,strings,16,family_random,seed_level_aggregate,10,0.7940907735,0.13523958333333336,0.019084927015469724,0.5965319980289576
logistic_regression,wild_b,13,strings,32,family_random,seed_level_aggregate,10,0.8406974086111113,0.11094347222222223,0.00990879908000666,0.6268550381611481
logistic_regression,wild_b,13,strings,64,family_random,seed_level_aggregate,10,0.8766357926851851,0.09721038888888889,0.004034559668824486,0.6401741733491568
logistic_regression,wild_b,17,header,16,family_random,seed_level_aggregate,10,0.868892652625,0.13348166666666667,0.1337903036843137,0.6137541457403639
logistic_regression,wild_b,17,header,32,family_random,seed_level_aggregate,10,0.9154009838333333,0.08774158333333333,0.08496361086799968,0.6903625940067409
logistic_regression,wild_b,17,header,64,family_random,seed_level_aggregate,10,0.9461634002962963,0.07112311111111111,0.09313107415246726,0.7060238870498099
logistic_regression,wild_b,17,imports,16,family_random,seed_level_aggregate,10,0.681915190462963,0.36880030555555554,0.05992666796489848,0.3096871019650196
logistic_regression,wild_b,17,imports,32,family_random,seed_level_aggregate,10,0.7410603030555555,0.28945180555555555,0.06749013876000046,0.4598537217701474
logistic_regression,wild_b,17,imports,64,family_random,seed_level_aggregate,10,0.7721111213333335,0.24870111111111112,0.06690381648397051,0.524436616642138
logistic_regression,wild_b,17,section,16,family_random,seed_level_aggregate,10,0.7255916934351851,0.17325225,0.1584069866009531,0.5689848360321562
logistic_regression,wild_b,17,section,32,family_random,seed_level_aggregate,10,0.7937940373148149,0.1289511111111111,0.18580995535337483,0.623781493876045
logistic_regression,wild_b,17,section,64,family_random,seed_level_aggregate,10,0.8736684211296295,0.08142897222222222,0.12755468245084162,0.678682435302622
logistic_regression,wild_b,17,strings,16,family_random,seed_level_aggregate,10,0.7946610875833333,0.13710030555555558,0.013181379721455586,0.5916209065114385
logistic_regression,wild_b,17,strings,32,family_random,seed_level_aggregate,10,0.8298602535,0.11440919444444446,0.009729019570412192,0.6252734675332141
logistic_regression,wild_b,17,strings,64,family_random,seed_level_aggregate,10,0.8760619999629631,0.09956486111111111,0.02551127272373535,0.6358216272289828
logistic_regression,wild_b,23,header,16,family_random,seed_level_aggregate,10,0.8773442140694445,0.11564424999999998,0.11896963086418617,0.6487946231652714
logistic_regression,wild_b,23,header,32,family_random,seed_level_aggregate,10,0.9230101505740741,0.08472452777777778,0.09208394234200436,0.6932094665731842
logistic_regression,wild_b,23,header,64,family_random,seed_level_aggregate,10,0.9418459276666666,0.07231466666666667,0.09288642337786145,0.7054614473544956
logistic_regression,wild_b,23,imports,16,family_random,seed_level_aggregate,10,0.6849038857222223,0.35921425,0.05162930948161241,0.3390628586182413
logistic_regression,wild_b,23,imports,32,family_random,seed_level_aggregate,10,0.7348627093518518,0.29585733333333336,0.07708134432185557,0.4593957873790783
logistic_regression,wild_b,23,imports,64,family_random,seed_level_aggregate,10,0.775563781537037,0.24594286111111113,0.06944220182457239,0.5267865656723537
logistic_regression,wild_b,23,section,16,family_random,seed_level_aggregate,10,0.7589520686851852,0.1991481388888889,0.21189634546796174,0.5076169403158659
