seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density
13,header,important,0.01,0.0020325711191636468,0.0031355935737010427,0.004744938732019179,1.625603199484349e-05,0.00010591181791530513,0.00023615654822606302,1.625603199484349e-05,0.00010591181791530513,0.00023615654822606302,0.0027123676128555326,2.334451516742797,0.00021990051623121953,0.00021990051623121953
13,header,important,0.05,0.02608188595943188,0.1451421232805314,0.21343067394778903,0.002781360137409372,0.07165705716209048,0.08296939516976976,0.002781360137409372,0.07165705716209048,0.08296939516976976,0.18734878798835713,8.183099729818695,0.08018803503236038,0.08018803503236038
13,header,important,0.1,0.0625682035903203,0.46165360864289673,0.39680174480554076,0.018668140105614017,0.08629921620910541,0.11940885463808304,0.018668140105614017,0.08629921620910541,0.11940885463808304,0.3342335412152205,6.3419072633712075,0.10074071453246902,0.10074071453246902
13,header,random,0.01,0.001966345953600733,0.011086950176585621,0.01416780434203516,9.439861381501657e-05,0.0017682184973097869,0.003028207714962594,9.439861381501657e-05,0.0017682184973097869,0.003028207714962594,0.012201458388434427,7.205143284217796,0.0029338091011475776,0.0029338091011475776
13,header,random,0.05,0.008935815735765755,0.05489936495890788,0.06283089704315396,0.000664942170318128,0.008343401564501496,0.013024879866433414,0.000664942170318128,0.008343401564501496,0.013024879866433414,0.05389508130738821,7.031355491326016,0.012359937696115287,0.012359937696115287
13,header,random,0.1,0.01948352701070432,0.08032790303010087,0.1074037693127331,0.0010910030825256266,0.009783343549818208,0.01755344870460866,0.0010910030825256266,0.009783343549818208,0.01755344870460866,0.08792024230202877,5.512542428982447,0.016462445622083034,0.016462445622083034
13,imports,important,0.01,0.011950132813022362,0.10419320350107171,0.09770833333333333,0.012396039691630167,0.02042206154537407,0.027828769969548195,0.012396039691630167,0.02042206154537407,0.027828769969548195,0.08575820052031097,8.176338695320448,0.015432730277918028,0.015432730277918028
13,imports,important,0.05,0.05335010971510543,0.20373638628422933,0.17761666666666667,0.015062045355834885,0.06873348931751433,0.07535826446706628,0.015062045355834885,0.06873348931751433,0.07535826446706628,0.12426655695156125,3.329265255782158,0.0602962191112314,0.0602962191112314
13,imports,important,0.1,0.05184874511448665,0.2535872684581268,0.21535,0.020331324683006136,0.10363996186516822,0.09293390979039662,0.020331324683006136,0.10363996186516822,0.09293390979039662,0.16350125488551337,4.153427426729191,0.07260258510739048,0.07260258510739048
13,imports,random,0.01,0.0010564257797066564,0.006352214770593864,0.009130000000000001,-3.2250131838706955e-05,0.0006492270861513272,0.000924131087039659,-3.2250131838706955e-05,0.0006492270861513272,0.000924131087039659,0.008073574220293344,8.642348734177217,0.000956381218878366,0.000956381218878366
