seed,feature_group,density_bin,perturbation_type,strength,n_rows,n_samples,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,benign_to_malware_rate_cond_mean,benign_to_malware_rate_cond_std,benign_to_malware_rate_cond_min,benign_to_malware_rate_cond_max,malware_to_benign_rate_cond_mean,malware_to_benign_rate_cond_std,malware_to_benign_rate_cond_min,malware_to_benign_rate_cond_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,perturbed_auc_mean,perturbed_auc_std,perturbed_auc_min,perturbed_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,auc_drop_mean,auc_drop_std,auc_drop_min,auc_drop_max
13,header,high_density,important,0.01,1,120045,1,0.0020325711191636468,0.0,0.0020325711191636468,0.0020325711191636468,0.0007997001124578283,0.0,0.0007997001124578283,0.0007997001124578283,0.0006747469698862926,0.0,0.0006747469698862926,0.0006747469698862926,0.0032763386915122352,0.0,0.0032763386915122352,0.0032763386915122352,0.0008926209997355197,0.0,0.0008926209997355197,0.0008926209997355197,0.0011701644453617588,0.0,0.0011701644453617588,0.0011701644453617588,-0.0006174711390128634,0.0,-0.0006174711390128634,-0.0006174711390128634,-0.000584504246418991,0.0,-0.000584504246418991,-0.000584504246418991,0.9995883024408476,0.0,0.9995883024408476,0.9995883024408476,0.9995720464088528,0.0,0.9995720464088528,0.9995720464088528,1.625603199484349e-05,0.0,1.625603199484349e-05,1.625603199484349e-05,1.625603199484349e-05,0.0,1.625603199484349e-05,1.625603199484349e-05
13,header,high_density,important,0.05,1,120045,4,0.02608188595943188,0.0,0.02608188595943188,0.02608188595943188,0.005223041359490191,0.0,0.005223041359490191,0.005223041359490191,0.020167437211045858,0.0,0.020167437211045858,0.020167437211045858,0.021398587078939286,0.0,0.021398587078939286,0.021398587078939286,0.026679449880983867,0.0,0.026679449880983867,0.026679449880983867,0.05318057269872199,0.0,0.05318057269872199,0.05318057269872199,0.00046030498092549006,0.0,0.00046030498092549006,0.00046030498092549006,-0.04304618567812207,0.0,-0.04304618567812207,-0.04304618567812207,0.9995883024408476,0.0,0.9995883024408476,0.9995883024408476,0.9968069423034382,0.0,0.9968069423034382,0.9968069423034382,0.002781360137409372,0.0,0.002781360137409372,0.002781360137409372,0.002781360137409372,0.0,0.002781360137409372,0.002781360137409372
13,header,high_density,important,0.1,1,120045,8,0.0625682035903203,0.0,0.0625682035903203,0.0625682035903203,0.055062684826523385,0.0,0.055062684826523385,0.055062684826523385,0.0,0.0,0.0,0.0,0.22558957032183202,0.0,0.22558957032183202,0.22558957032183202,0.0,0.0,0.0,0.0,0.08018255797190561,0.0,0.08018255797190561,0.08018255797190561,0.07503911001881843,0.0,0.07503911001881843,0.07503911001881843,-0.01917266429182424,0.0,-0.01917266429182424,-0.01917266429182424,0.9995883024408476,0.0,0.9995883024408476,0.9995883024408476,0.9809201623352336,0.0,0.9809201623352336,0.9809201623352336,0.018668140105614017,0.0,0.018668140105614017,0.018668140105614017,0.018668140105614017,0.0,0.018668140105614017,0.018668140105614017
13,header,high_density,random,0.01,20,120045,1,0.001966345953600733,0.0036866466362150776,0.0,0.014286309300678913,0.00039693448290224493,0.0007155512985160663,0.0,0.001840976300553959,0.000854679495189304,0.002599666605717785,0.0,0.00994627014869424,0.0016262243609433125,0.0029315844384273974,0.0,0.0075424046960854575,0.0011306532663316582,0.0034390921458541768,0.0,0.013157894736842105,0.003919093177772702,0.006013128168500012,0.0,0.022111150047248555,0.00020856187014268453,0.005366786476118199,-0.013738418613853227,0.011422022186021579,-0.0020637004896820747,0.003550045585617461,-0.012963401495060568,0.0010373633946929334,0.9995883024408478,2.220446049250313e-16,0.9995883024408476,0.9995883024408476,0.9994939038270327,0.0002901353661914185,0.9982630578559968,0.9995950016651008,9.439861381501657e-05,0.00029013536619141856,-6.699224253225999e-06,0.0013252445848508376,9.439861381501657e-05,0.00029013536619141856,-6.699224253225999e-06,0.0013252445848508376
13,header,high_density,random,0.05,20,120045,4,0.008935815735765755,0.010739027177815502,0.0005747844558290641,0.03892706901578575,0.005111000041651047,0.00794609837201602,0.0,0.03142155025198884,0.0010071223291265776,0.002980145577222154,0.0,0.00994627014869424,0.020939558376847207,0.03255484041734628,0.0,0.12873280775400156,0.001332319492197831,0.0039424267810283155,0.0,0.013157894736842105,0.01636977842509205,0.01251368516266961,0.001294156200210527,0.047618122598983355,0.008678931407619857,0.01232867839894808,-0.012710996436632978,0.039338926900832245,-0.009687620764728731,0.010459679197017733,-0.042562415402727954,0.0010373633946929334,0.9995883024408478,2.220446049250313e-16,0.9995883024408476,0.9995883024408476,0.9989233602705294,0.0011142941856711595,0.9951553496867866,0.9996079418396566,0.000664942170318128,0.0011142941856711593,-1.9639398809001563e-05,0.00443295275406097,0.000664942170318128,0.0011142941856711593,-1.9639398809001563e-05,0.00443295275406097
13,header,high_density,random,0.1,20,120045,8,0.01948352701070432,0.01893581347744936,0.0014577866633345828,0.06006081052938481,0.007148152776042316,0.012016001331879564,0.0,0.0485734516223083,0.00945353825648715,0.017766034156722885,0.0,0.05843641967595485,0.029285689908194263,0.04922906658084988,0.0,0.19900344698133168,0.01250606100678833,0.02350264006814554,0.0,0.07730538658203297,0.03490856347539846,0.03545621696613846,0.005821318752827715,0.1535515337687448,-0.010646341880956417,0.04376636659725262,-0.15062987062846908,0.04775584501634067,-0.02086185758820961,0.02874311384025962,-0.11523690138479135,0.0011386520479477723,0.9995883024408478,2.220446049250313e-16,0.9995883024408476,0.9995883024408476,0.998497299358322,0.001772366984096955,0.9932595598623994,0.9995975916557154,0.0010910030825256266,0.001772366984096955,-9.289214867758133e-06,0.0063287425784481766,0.0010910030825256266,0.001772366984096955,-9.289214867758133e-06,0.0063287425784481766
13,header,low_density,important,0.01,1,120128,1,0.004744938732019179,0.0,0.004744938732019179,0.004744938732019179,0.0005660628662759723,0.0,0.0005660628662759723,0.0005660628662759723,0.0022809003729355355,0.0,0.0022809003729355355,0.0022809003729355355,0.001339400027575883,0.0,0.001339400027575883,0.001339400027575883,0.0039504606467797975,0.0,0.0039504606467797975,0.0039504606467797975,0.0052181367841315895,0.0,0.0052181367841315895,0.0052181367841315895,-0.0031741734563289522,0.0,-0.0031741734563289522,-0.0031741734563289522,-0.002171241222303843,0.0,-0.002171241222303843,-0.002171241222303843,0.9513178079368242,0.0,0.9513178079368242,0.9513178079368242,0.9510816513885981,0.0,0.9510816513885981,0.9510816513885981,0.00023615654822606302,0.0,0.00023615654822606302,0.00023615654822606302,0.00023615654822606302,0.0,0.00023615654822606302,0.00023615654822606302
13,header,low_density,important,0.05,1,120128,4,0.21343067394778903,0.0,0.21343067394778903,0.21343067394778903,0.0969882125732552,0.0,0.0969882125732552,0.0969882125732552,0.05628995737879595,0.0,0.05628995737879595,0.05628995737879595,0.2294904370777443,0.0,0.2294904370777443,0.2294904370777443,0.09749275508585764,0.0,0.09749275508585764,0.09749275508585764,0.18760611036979402,0.0,0.18760611036979402,0.18760611036979402,0.0819092486845442,0.0,0.0819092486845442,0.0819092486845442,-0.07374798411936496,0.0,-0.07374798411936496,-0.07374798411936496,0.9513178079368242,0.0,0.9513178079368242,0.9513178079368242,0.8683484127670544,0.0,0.8683484127670544,0.8683484127670544,0.08296939516976976,0.0,0.08296939516976976,0.08296939516976976,0.08296939516976976,0.0,0.08296939516976976,0.08296939516976976
13,header,low_density,important,0.1,1,120128,8,0.39680174480554076,0.0,0.39680174480554076,0.39680174480554076,0.31374034363345765,0.0,0.31374034363345765,0.31374034363345765,0.00032465370271710174,0.0,0.00032465370271710174,0.00032465370271710174,0.7423624652839331,0.0,0.7423624652839331,0.7423624652839331,0.0005622918438847157,0.0,0.0005622918438847157,0.0005622918438847157,0.37976266934713376,0.0,0.37976266934713376,0.37976266934713376,0.3754003861195474,0.0,0.3754003861195474,0.3754003861195474,0.061069815820941564,0.0,0.061069815820941564,0.061069815820941564,0.9513178079368242,0.0,0.9513178079368242,0.9513178079368242,0.8319089532987411,0.0,0.8319089532987411,0.8319089532987411,0.11940885463808304,0.0,0.11940885463808304,0.11940885463808304,0.11940885463808304,0.0,0.11940885463808304,0.11940885463808304
13,header,low_density,random,0.01,20,120128,1,0.01416780434203516,0.02243731257678896,0.0,0.06597129728289824,0.004903103356419818,0.010261674241293544,0.0,0.04250466169419286,0.004503529568460309,0.01087870073658248,0.0,0.03745171816728823,0.011601567885914632,0.02428084861348679,0.0,0.10057318442356557,0.007799997116452083,0.018841629234622476,0.0,0.06486541040095734,0.015089132212744702,0.023922080254529292,0.0,0.07329844189634713,0.000757053163469167,0.023461568037910194,-0.051997312545426125,0.06818160046517355,-0.0034029823881964313,0.009190566599361244,-0.03778698665145843,0.007861725215600041,0.9513178079368242,0.0,0.9513178079368242,0.9513178079368242,0.9482896002218617,0.006067572582595857,0.929401415877916,0.9513968034843018,0.003028207714962594,0.006067572582595857,-7.899554747758941e-05,0.021916392058908163,0.003028207714962594,0.006067572582595857,-7.899554747758941e-05,0.021916392058908163
