feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.000468180890499396,0.0007862220863771692,0.0,0.0020325711191636468,0.034243455613678184,0.024797389685230656,0.0031355935737010427,0.057491747246647774,0.04451484544611489,0.03325881821511274,0.0035499704169131923,0.07574166666666667,4.594981266470288e-05,6.0349499305258287e-05,2.0781987214446573e-06,0.00016485096215645978,0.010672327490735278,0.008715493886712675,0.00010591181791530513,0.020127962868470073,0.011986268486576867,0.009884893565882014,3.17576450667989e-05,0.021727273158474114,4.594981266470288e-05,6.0349499305258287e-05,2.0781987214446573e-06,0.00016485096215645978,0.010672327490735278,0.008715493886712675,0.00010591181791530513,0.020127962868470073,0.011986268486576867,0.009884893565882014,3.17576450667989e-05,0.021727273158474114,0.0440466645556155,0.03378618808742749,0.0027123676128555326,0.07565,281.66388587892055,385.1393197361405,2.334451516742797,826.2727272727273,0.011940318673912164,0.009849099415700802,2.9679446345354243e-05,0.021693065965223135,0.011940318673912164,0.009849099415700802,2.9679446345354243e-05,0.021693065965223135
header,important,0.05,5,0.028613413372891344,0.012861982133549655,0.011366666666666667,0.05134166666666667,0.1618616476333175,0.019284818808362757,0.13328188549379497,0.18160075666981945,0.21140685980576568,0.011629833241701167,0.19434628975265017,0.22781748670212765,0.0034703962852500768,0.0024041935661812982,0.0011866955184780537,0.008117656096565895,0.0849243806052363,0.022813915573020496,0.059273266128888835,0.12096584003714361,0.08596223517647579,0.01141085021449278,0.06669327326627061,0.09806798798416005,0.0034703962852500768,0.0024041935661812982,0.0011866955184780537,0.008117656096565895,0.0849243806052363,0.022813915573020496,0.059273266128888835,0.12096584003714361,0.08596223517647579,0.01141085021449278,0.06669327326627061,0.09806798798416005,0.18279344643287432,0.013047565915309674,0.16682318195959478,0.19959063913043612,9.169453228900437,4.5878459929016255,4.249274766296279,17.883431085043988,0.08249183889122572,0.010352267667214319,0.06438543544249153,0.09510955613414207,0.08249183889122572,0.010352267667214319,0.06438543544249153,0.09510955613414207
header,important,0.1,5,0.041357365429257345,0.013904580510037897,0.02801862355596645,0.0625682035903203,0.27558097773535134,0.11600431464429953,0.17248931066847428,0.46165360864289673,0.27778460968959173,0.06526523382520241,0.22533244680851064,0.39680174480554076,0.01834001847993554,0.004429848957254253,0.011080037321376413,0.024543435850207684,0.0907265521307469,0.01768863631692033,0.07135161584740357,0.12371749504436513,0.11589069565909357,0.0062995039202986035,0.10881671454729158,0.12558216863279992,0.01834001847993554,0.004429848957254253,0.011080037321376413,0.024543435850207684,0.0907265521307469,0.01768863631692033,0.07135161584740357,0.12371749504436513,0.11589069565909357,0.0062995039202986035,0.10881671454729158,0.12558216863279992,0.2364272442603344,0.05241691485878855,0.19218977140468274,0.3342335412152205,7.004499255859699,1.0845127124244456,5.670143828038564,8.514725576005597,0.09755067717915804,0.010505947278024542,0.0842732786970839,0.1145021313114235,0.09755067717915804,0.010505947278024542,0.0842732786970839,0.1145021313114235
header,random,0.01,5,0.001819879855537784,0.0005903822898418493,0.0013345833333333332,0.002914303324088187,0.018165306885055906,0.006515271368586289,0.011086950176585621,0.02958220827403732,0.023728920758162138,0.010911640000140898,0.01416780434203516,0.04454247007978723,7.085352372401599e-05,4.162239995322336e-05,1.0338899326167716e-06,0.00012549539180555235,0.0016845296704011425,0.000781690765128824,0.00036099651654016295,0.002811301036575037,0.0027770170657027016,0.001396153128881917,0.0007162929802327245,0.0050436141466736585,7.085352372401599e-05,4.162239995322336e-05,1.0338899326167716e-06,0.00012549539180555235,0.0016845296704011425,0.000781690765128824,0.00036099651654016295,0.002811301036575037,0.0027770170657027016,0.001396153128881917,0.0007162929802327245,0.0050436141466736585,0.021909040902624355,0.010449433694967787,0.012201458388434427,0.041628166755699046,13.085897208014703,3.6690492861012274,7.205143284217796,18.23306691509697,0.002706163541978685,0.0013576907141335242,0.0007152590903001078,0.004918118754868106,0.002706163541978685,0.0013576907141335242,0.0007152590903001078,0.004918118754868106
header,random,0.05,5,0.008140028788524763,0.0013641324097600366,0.0062137500000000005,0.00974,0.057581727287672926,0.008041292731005543,0.04645747171527897,0.06758319826332611,0.06838554445811502,0.006082546253622226,0.0625128823138298,0.07852458333333334,0.0003852817989703317,0.00014426414052398515,0.0002573846580836314,0.000664942170318128,0.006462516852431557,0.001270706949537616,0.005281307134953223,0.008343401564501496,0.00980551679225581,0.0018236724273036045,0.007715555132737334,0.013024879866433414,0.0003852817989703317,0.00014426414052398515,0.0002573846580836314,0.000664942170318128,0.006462516852431557,0.001270706949537616,0.005281307134953223,0.008343401564501496,0.00980551679225581,0.0018236724273036045,0.007715555132737334,0.013024879866433414,0.060245515669590265,0.005871902420127923,0.05389508130738821,0.06878458333333334,8.635896751919779,1.6327331870749047,7.031355491326016,11.564578744181356,0.009420234993285478,0.0016924033171045417,0.007391607175484238,0.012359937696115287,0.009420234993285478,0.0016924033171045417,0.007391607175484238,0.012359937696115287
header,random,0.1,5,0.021054164277897757,0.00296800083780645,0.0186456277121178,0.02686333333333333,0.10672610933243443,0.01889690442916805,0.08032790303010087,0.13820273229742414,0.11638902356012734,0.012288141907275982,0.10163123640636329,0.1376744959467886,0.000779534901683121,0.0001800817145527387,0.0005717517745011224,0.0010910030825256266,0.012185515344670718,0.001374322597118562,0.009783343549818208,0.013904949532684808,0.019532102029717318,0.0025983749808125007,0.01755344870460866,0.024562694398918276,0.000779534901683121,0.0001800817145527387,0.0005717517745011224,0.0010910030825256266,0.012185515344670718,0.001374322597118562,0.009783343549818208,0.013904949532684808,0.019532102029717318,0.0025983749808125007,0.01755344870460866,0.024562694398918276,0.09533485928222958,0.010189144999198362,0.08106998640636329,0.11081116261345528,5.570998055552329,0.5125487040918916,4.9428530077871375,6.331253701443596,0.018752567128034196,0.0026482548744903,0.016462445622083034,0.023867989355915723,0.018752567128034196,0.0026482548744903,0.016462445622083034,0.023867989355915723
imports,important,0.01,5,0.025724194979932353,0.016079510889852953,0.0066191803931676,0.05154191475780375,0.11392577267896382,0.020971364125535956,0.10061108581561984,0.15575017912869435,0.10644102651065875,0.00994688470356443,0.09699166666666667,0.1245,0.013914250849375231,0.013627133695616928,-0.0011839602440111285,0.036641006055915915,0.024550264881289287,0.003450794124819539,0.02042206154537407,0.030324164018554867,0.033982111185987464,0.009463292107708616,0.022968836605417264,0.04896643439915127,0.013914250849375231,0.013627133695616928,-0.0011839602440111285,0.036641006055915915,0.024550264881289287,0.003450794124819539,0.02042206154537407,0.030324164018554867,0.033982111185987464,0.009463292107708616,0.022968836605417264,0.04896643439915127,0.08071683153072638,0.013767095026295426,0.05373220795784029,0.09042117868587096,6.586973831121227,4.507515671921598,2.0424953789615454,14.653123333333335,0.02006786033661223,0.022245579045530338,-0.01367216945049865,0.04713673078753644,0.02006786033661223,0.022245579045530338,-0.01367216945049865,0.04713673078753644
imports,important,0.05,5,0.057575954573598445,0.016024152683378867,0.03335363996344807,0.08356267593106119,0.23822619773867756,0.07122305491927906,0.18386733446763642,0.37916067103681467,0.170594573840705,0.013304459025808927,0.1483,0.18746510445746287,0.032568558688890435,0.04188143782715166,0.0013474810544655824,0.11559338138441566,0.06319490126890015,0.003984642292257199,0.05725216363558827,0.06873348931751433,0.06889324804287415,0.004929979201465706,0.06262462501759214,0.07535826446706628,0.032568558688890435,0.04188143782715166,0.0013474810544655824,0.11559338138441566,0.06319490126890015,0.003984642292257199,0.05725216363558827,0.06873348931751433,0.06889324804287415,0.004929979201465706,0.06262462501759214,0.07535826446706628,0.11301861926710655,0.0072271225849366875,0.10390242852640168,0.12426655695156125,3.158482453484478,0.731904130360927,2.243407147613615,4.446291324200913,0.03632468935398372,0.04092943761602917,-0.04501774058808772,0.062373405771771195,0.03632468935398372,0.04092943761602917,-0.04501774058808772,0.062373405771771195
imports,important,0.1,5,0.11678229026737945,0.10330724133674021,0.05184874511448665,0.32200223936042194,0.3262968193457906,0.14413184071524954,0.2405904766469362,0.614076850651081,0.21444057494789742,0.032196412543530506,0.1724462511141284,0.27175,0.04945102053347532,0.06661586916742164,0.008433510381585796,0.1820733724054736,0.11016531209873852,0.020804190333633035,0.08015601946022821,0.14163712151092944,0.09814720938830608,0.007027229106219029,0.08980302886934277,0.10940367910230153,0.04945102053347532,0.06661586916742164,0.008433510381585796,0.1820733724054736,0.11016531209873852,0.020804190333633035,0.08015601946022821,0.14163712151092944,0.09814720938830608,0.007027229106219029,0.08980302886934277,0.10940367910230153,0.09765828468051799,0.11018169323284029,-0.11683728240172991,0.1914821867897561,2.829667364507882,1.1919642460152247,0.637153820315665,4.153427426729191,0.048696188854830756,0.06490845640591768,-0.07955459677418697,0.09884677892674276,0.048696188854830756,0.06490845640591768,-0.07955459677418697,0.09884677892674276
imports,random,0.01,5,0.0026430292803171886,0.0030999029235026032,0.00019439204721209656,0.008681184140305349,0.007655697896610042,0.003224363283915251,0.005555470119644449,0.014078034973027068,0.010903142379018948,0.0038583312835972273,0.00706836375146815,0.01822276481029325,0.0014657728117355427,0.002295881885271814,-0.0009118853035449071,0.0051876457118746775,0.0008705691334308697,0.0005085924375369857,0.000390048243052471,0.0018345442054802873,0.0011799725197851265,0.0003566067568480772,0.0007046006432986585,0.001592210077780054,0.0014657728117355427,0.002295881885271814,-0.0009118853035449071,0.0051876457118746775,0.0008705691334308697,0.0005085924375369857,0.000390048243052471,0.0018345442054802873,0.0011799725197851265,0.0003566067568480772,0.0007046006432986585,0.001592210077780054,0.008260113098701758,0.0013281027370295405,0.0067965988624976575,0.01001484003647383,12.593170319480638,12.387113845564029,2.099110503334202,36.36138336336376,-0.00028580029195041654,0.00228826485407339,-0.004096777418442099,0.002504095381324961,-0.00028580029195041654,0.00228826485407339,-0.004096777418442099,0.002504095381324961
