seed,feature_group,density_bin,perturbation_type,strength,n_rows,n_samples,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,benign_to_malware_rate_cond_mean,benign_to_malware_rate_cond_std,benign_to_malware_rate_cond_min,benign_to_malware_rate_cond_max,malware_to_benign_rate_cond_mean,malware_to_benign_rate_cond_std,malware_to_benign_rate_cond_min,malware_to_benign_rate_cond_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,perturbed_auc_mean,perturbed_auc_std,perturbed_auc_min,perturbed_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,auc_drop_mean,auc_drop_std,auc_drop_min,auc_drop_max
13,header,high_density,important,0.01,1,120000,1,0.016625,0.0,0.016625,0.016625,0.006783333333333333,0.0,0.006783333333333333,0.006783333333333333,0.0,0.0,0.0,0.0,0.030444702098215957,0.0,0.030444702098215957,0.030444702098215957,0.0,0.0,0.0,0.0,0.038316564073119466,0.0,0.038316564073119466,0.038316564073119466,0.038316564073119466,0.0,0.038316564073119466,0.038316564073119466,-0.02596800130398125,0.0,-0.02596800130398125,-0.02596800130398125,0.9940540296975989,0.0,0.9940540296975989,0.9940540296975989,0.9934228802960516,0.0,0.9934228802960516,0.9934228802960516,0.0006311494015472929,0.0,0.0006311494015472929,0.0006311494015472929,0.0006311494015472929,0.0,0.0006311494015472929,0.0006311494015472929
13,header,high_density,important,0.05,1,120000,4,0.07845833333333334,0.0,0.07845833333333334,0.07845833333333334,0.0,0.0,0.0,0.0,0.060658333333333335,0.0,0.060658333333333335,0.060658333333333335,0.0,0.0,0.0,0.0,0.07804810053290158,0.0,0.07804810053290158,0.07804810053290158,0.08720774017017686,0.0,0.08720774017017686,0.08720774017017686,-0.06766274742026472,0.0,-0.06766274742026472,-0.06766274742026472,-0.04123468609591271,0.0,-0.04123468609591271,-0.04123468609591271,0.9940540296975989,0.0,0.9940540296975989,0.9940540296975989,0.9933285794610904,0.0,0.9933285794610904,0.9933285794610904,0.0007254502365084958,0.0,0.0007254502365084958,0.0007254502365084958,0.0007254502365084958,0.0,0.0007254502365084958,0.0007254502365084958
13,header,high_density,important,0.1,1,120000,8,0.088,0.0,0.088,0.088,0.055525,0.0,0.055525,0.055525,0.0,0.0,0.0,0.0,0.24920522122900848,0.0,0.24920522122900848,0.24920522122900848,0.0,0.0,0.0,0.0,0.11850070072965176,0.0,0.11850070072965176,0.11850070072965176,0.11553268580944008,0.0,0.11553268580944008,0.11553268580944008,0.030680591908240653,0.0,0.030680591908240653,0.030680591908240653,0.9940540296975989,0.0,0.9940540296975989,0.9940540296975989,0.9928875444183888,0.0,0.9928875444183888,0.9928875444183888,0.0011664852792101499,0.0,0.0011664852792101499,0.0011664852792101499,0.0011664852792101499,0.0,0.0011664852792101499,0.0011664852792101499
13,header,high_density,random,0.01,20,120000,1,0.02276083333333333,0.05606481003540059,0.0,0.24096666666666666,0.012281250000000002,0.04513626935881991,0.0,0.20830833333333335,0.0062162499999999996,0.023714733095664624,0.0,0.10925833333333333,0.05512024535288178,0.20257891023893437,0.0,0.9349216441635188,0.007998348755669451,0.03051336512314375,0.0,0.14058093777811137,0.02778676498993657,0.060939327931681976,0.0,0.25683751684353456,0.008288597926875228,0.06646055327619264,-0.1400114811815663,0.25683751684353456,-0.003776447215004667,0.023497397838474255,-0.07693285043892763,0.06346483352981254,0.9940540296975987,2.220446049250313e-16,0.9940540296975989,0.9940540296975989,0.9936324376502638,0.0013894199346782487,0.9878837182438005,0.9947661608926152,0.00042159204733488995,0.0013894199346782489,-0.0007121311950162301,0.006170311453798427,0.00042159204733488995,0.0013894199346782489,-0.0007121311950162301,0.006170311453798427
13,header,high_density,random,0.05,20,120000,4,0.12367500000000002,0.16468200335545677,0.0,0.720075,0.04126791666666667,0.07142407284988218,0.0,0.208675,0.0647525,0.16497528577747975,0.0,0.71115,0.18521711485955789,0.32056284332519963,0.0,0.9365673037363953,0.0833159988419845,0.2122710431071011,0.0,0.9150252511714184,0.12859602410250023,0.15103637295614974,0.006099022807242005,0.6527391655401011,-0.0022696012688183794,0.19801816715948312,-0.6527391655401011,0.2678783527137644,-0.005368986139257532,0.05399176206380678,-0.16782223082523479,0.07424533451993305,0.9940540296975987,2.220446049250313e-16,0.9940540296975989,0.9940540296975989,0.9925432819551763,0.0016788110557438242,0.9874989687036736,0.9945160551037461,0.0015107477424227077,0.001678811055743824,-0.0004620254061471485,0.006555060993925332,0.0015107477424227077,0.001678811055743824,-0.0004620254061471485,0.006555060993925332
13,header,high_density,random,0.1,20,120000,8,0.3848854166666667,0.3039625759799291,0.013416666666666667,0.7534166666666666,0.03533541666666667,0.07371338511400272,0.0,0.208675,0.3359970833333333,0.33543406590767455,0.0,0.7444916666666667,0.15859109099749413,0.3308376487145277,0.0,0.9365673037363953,0.4323220355339202,0.4315976100803207,0.0,0.9579254366683465,0.3749014328222263,0.26890032163566,0.01837299697307937,0.7234527070994242,-0.2805664950085592,0.365622231977548,-0.7234527070994242,0.2720660535616656,0.0075170200100393905,0.07041397757790348,-0.16840316372662562,0.07773486998777086,0.9940540296975987,2.220446049250313e-16,0.9940540296975989,0.9940540296975989,0.9892778003743816,0.004148681225839662,0.9800383285857193,0.9960836928929468,0.0047762293232171795,0.004148681225839662,-0.0020296631953479194,0.014015701111879664,0.0047762293232171795,0.004148681225839662,-0.0020296631953479194,0.014015701111879664
13,header,low_density,important,0.01,1,120001,1,0.1942650477912684,0.0,0.1942650477912684,0.1942650477912684,0.15538203848301263,0.0,0.15538203848301263,0.15538203848301263,0.0,0.0,0.0,0.0,0.36270619358854655,0.0,0.36270619358854655,0.36270619358854655,0.0,0.0,0.0,0.0,0.14628277260778744,0.0,0.14628277260778744,0.14628277260778744,0.14628277260778744,0.0,0.14628277260778744,0.14628277260778744,-0.0427389991502538,0.0,-0.0427389991502538,-0.0427389991502538,0.8745118175741456,0.0,0.8745118175741456,0.8745118175741456,0.7651804425776388,0.0,0.7651804425776388,0.7651804425776388,0.1093313749965068,0.0,0.1093313749965068,0.1093313749965068,0.1093313749965068,0.0,0.1093313749965068,0.1093313749965068
13,header,low_density,important,0.05,1,120001,4,0.2904225798118349,0.0,0.2904225798118349,0.2904225798118349,0.07651602903309139,0.0,0.07651602903309139,0.07651602903309139,0.14123215639869668,0.0,0.14123215639869668,0.14123215639869668,0.17861033302209772,0.0,0.17861033302209772,0.17861033302209772,0.24708060589272957,0.0,0.24708060589272957,0.24708060589272957,0.22869059463604988,0.0,0.22869059463604988,0.22869059463604988,-0.05342172530409541,0.0,-0.05342172530409541,-0.05342172530409541,-0.053794790173161855,0.0,-0.053794790173161855,-0.053794790173161855,0.8745118175741456,0.0,0.8745118175741456,0.8745118175741456,0.7058718140622238,0.0,0.7058718140622238,0.7058718140622238,0.16864000351192188,0.0,0.16864000351192188,0.16864000351192188,0.16864000351192188,0.0,0.16864000351192188,0.16864000351192188
13,header,low_density,important,0.1,1,120001,8,0.4215631536403863,0.0,0.4215631536403863,0.4215631536403863,0.2968475262706144,0.0,0.2968475262706144,0.2968475262706144,0.002266647777935184,0.0,0.002266647777935184,0.002266647777935184,0.6929271708683473,0.0,0.6929271708683473,0.6929271708683473,0.003965419211872932,0.0,0.003965419211872932,0.003965419211872932,0.39195105086121634,0.0,0.39195105086121634,0.39195105086121634,0.38499695026550496,0.0,0.38499695026550496,0.38499695026550496,0.09123840308817803,0.0,0.09123840308817803,0.09123840308817803,0.8745118175741456,0.0,0.8745118175741456,0.8745118175741456,0.7265321586277582,0.0,0.7265321586277582,0.7265321586277582,0.14797965894638743,0.0,0.14797965894638743,0.14797965894638743,0.14797965894638743,0.0,0.14797965894638743,0.14797965894638743
13,header,low_density,random,0.01,20,120001,1,0.05582495145873785,0.10833487985712696,1.6666527778935175e-05,0.4399380005166624,0.026029783085140958,0.07427657514138898,0.0,0.3151223739802168,0.012523228973091891,0.03822200040681873,0.0,0.16730693910884076,0.06076097105508871,0.17338280605240083,0.0,0.7355859010270775,0.021908941145597945,0.06686802255067797,0.0,0.29269750557637075,0.048833545826164435,0.10357096496756256,2.9063483435943278e-05,0.44721327672880073,0.02076143908554529,0.11260827069698462,-0.18299484123057816,0.44721327672880073,0.0057134683681047595,0.03498098964804909,-0.0427389991502538,0.1520789083175882,0.8745118175741456,0.0,0.8745118175741456,0.8745118175741456,0.867482531743974,0.023663930982079282,0.7651804425776388,0.8753914544466401,0.007029285830171622,0.02366393098207928,-0.0008796368724944825,0.1093313749965068,0.007029285830171622,0.02366393098207928,-0.0008796368724944825,0.1093313749965068
