seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density
13,header,important,0.01,0.016625,0.23464264434435145,0.1942650477912684,0.0006311494015472929,0.11511663982731835,0.1093313749965068,0.0006311494015472929,0.11511663982731835,0.1093313749965068,0.1776400477912684,11.685115656617649,0.10870022559495951,0.10870022559495951
13,header,important,0.05,0.07845833333333334,0.2346884778686578,0.2904225798118349,0.0007254502365084958,0.15463108154154925,0.16864000351192188,0.0007254502365084958,0.15463108154154925,0.16864000351192188,0.21196424647850154,3.701615462285734,0.16791455327541338,0.16791455327541338
13,header,important,0.1,0.088,0.47377280738669747,0.4215631536403863,0.0011664852792101499,0.15183983628231557,0.14797965894638743,0.0011664852792101499,0.15183983628231557,0.14797965894638743,0.33356315364038636,4.790490382277118,0.14681317366717728,0.14681317366717728
13,header,random,0.01,0.02276083333333333,0.06044462685261187,0.05582495145873785,0.00042159204733488995,0.0064733611237570874,0.007029285830171622,0.00042159204733488995,0.0064733611237570874,0.007029285830171622,0.033064118125404524,2.4526760791742186,0.0066076937828367325,0.0066076937828367325
13,header,random,0.05,0.12367500000000002,0.23164034016808407,0.2163356972025233,0.0015107477424227077,0.023001879395589175,0.02116070944626682,0.0015107477424227077,0.023001879395589175,0.02116070944626682,0.09266069720252328,1.7492273879322682,0.019649961703844112,0.019649961703844112
13,header,random,0.1,0.3848854166666667,0.2911839215996733,0.3708769093590887,0.0047762293232171795,0.017418165906808815,0.019645717011050716,0.0047762293232171795,0.017418165906808815,0.019645717011050716,-0.014008507307578022,0.9636034344223797,0.014869487687833537,0.014869487687833537
13,imports,important,0.01,0.02558550917116343,0.10897918095533086,0.08041599653336222,0.02922151388616212,0.03580193293647893,0.023336956281117538,0.02922151388616212,0.03580193293647893,0.023336956281117538,0.05483048736219879,3.143028969851278,-0.0058845576050445825,-0.0058845576050445825
13,imports,important,0.05,0.04404502156771929,0.25809752428151067,0.17143190473412723,0.056461809032363974,0.08804469312801955,0.08284093944759219,0.056461809032363974,0.08804469312801955,0.08284093944759219,0.12738688316640795,3.8921970890751045,0.026379130415228214,0.026379130415228214
13,imports,important,0.1,0.2327751209522162,0.31610212615323346,0.20292330897242522,0.0945377464827698,0.11455523675908963,0.11358476825997554,0.0945377464827698,0.11455523675908963,0.11358476825997554,-0.029851811979790976,0.8717568619117207,0.01904702177720574,0.01904702177720574
13,imports,random,0.01,0.004754663705406717,0.023982278368990466,0.026689777585186793,-0.0010600121485342616,0.0016062107618557253,0.0017028932297321997,-0.0010600121485342616,0.0016062107618557253,0.0017028932297321997,0.021935113879780074,5.613389135142573,0.002762905378266461,0.002762905378266461
13,imports,random,0.05,0.01653850660982238,0.059730303767782475,0.0598278347680436,0.00198283294799656,0.007866920478328304,0.007712355556066669,0.00198283294799656,0.007866920478328304,0.007712355556066669,0.043289328158221216,3.617487127435754,0.005729522608070109,0.005729522608070109
13,imports,random,0.1,0.025599738843657755,0.10642630367928493,0.10108957425354788,0.011359608056479504,0.018391884710320567,0.017286313788981163,0.011359608056479504,0.018391884710320567,0.017286313788981163,0.07548983540989013,3.948851778173216,0.005926705732501659,0.005926705732501659
42,header,important,0.01,0.021325,0.2919083333333333,0.214025,0.0023513159732706512,0.161152588986066,0.13890316189678076,0.0023513159732706512,0.161152588986066,0.13890316189678076,0.19269999999999998,10.036342321219227,0.1365518459235101,0.1365518459235101
42,header,important,0.05,0.04073333333333334,0.4411583333333333,0.3122083333333333,0.008197315636095048,0.22061132259851834,0.20339678795942373,0.008197315636095048,0.22061132259851834,0.20339678795942373,0.27147499999999997,7.664689034369884,0.19519947232332868,0.19519947232332868
42,header,important,0.1,0.241825,0.7041458333333334,0.4623083333333333,0.021148762745982985,0.2554928987711901,0.25416825402415233,0.021148762745982985,0.2554928987711901,0.25416825402415233,0.2204833333333333,1.9117474757917226,0.23301949127816934,0.23301949127816934
42,header,random,0.01,0.10386583333333332,0.08753291666666667,0.12975333333333333,0.0006928911297632123,0.0026629869658862603,0.0034907910386030583,0.0006928911297632123,0.0026629869658862603,0.0034907910386030583,0.025887500000000008,1.2492398045555566,0.002797899908839846,0.002797899908839846
42,header,random,0.05,0.2064591666666667,0.17889020833333336,0.24010666666666675,0.002831390059922878,0.00966891040200562,0.006998622547587363,0.002831390059922878,0.00966891040200562,0.006998622547587363,0.03364750000000005,1.1629741151397979,0.004167232487664485,0.004167232487664485
42,header,random,0.1,0.29479125,0.2701672916666667,0.3324054166666667,0.0054947870944791035,0.01918406755053994,0.017539003300110885,0.0054947870944791035,0.01918406755053994,0.017539003300110885,0.03761416666666667,1.127595940064933,0.012044216205631782,0.012044216205631782
