seed,feature_group,mask_type,repeat,strength,density_bin,n_samples,baseline_auc,masked_auc,delta_auc,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,mean_abs_probability_shift,mean_signed_probability_shift
13,section,random,1,0.05,low_density,10000,0.9549662224318906,0.9329074419153202,0.022058780516570398,0.146,0.1002,0.0012,0.1426009214546697,0.1372278649578716
13,section,random,2,0.05,high_density,10000,0.9983477351521699,0.9921774862353403,0.0061702489168296015,0.0803,0.0415,0.0151,0.07616967859239425,0.05681487146606656
13,section,random,2,0.05,mid_density,20000,0.9639150123081821,0.9372632614029286,0.026651750905253513,0.1254,0.05035,0.02515,0.12113173352221797,0.045819040231890706
13,section,random,2,0.05,low_density,10000,0.9549662224318906,0.9450136336832173,0.009952588748673219,0.0758,0.0212,0.0212,0.07699719522229707,0.013468090548093696
13,section,random,3,0.05,high_density,10000,0.9983477351521699,0.9885757976625362,0.009771937489633675,0.0215,0.0017,0.0197,0.02602709209648244,-0.023017573381342724
13,section,random,3,0.05,mid_density,20000,0.9639150123081821,0.9409055495001204,0.02300946280806171,0.0764,0.00265,0.0604,0.10058328735043005,-0.09133519570622209
13,section,random,3,0.05,low_density,10000,0.9549662224318906,0.9391955891024886,0.015770633329401984,0.0891,0.0046,0.0577,0.08519260473835852,-0.06421465965666438
13,section,important,0,0.1,high_density,10000,0.9983477351521699,0.5286300674377303,0.46971766771443957,0.3592,0.0256,0.3211,0.42642159219752257,-0.06747269070413706
13,section,important,0,0.1,mid_density,20000,0.9639150123081821,0.6926991353655103,0.2712158769426718,0.30325,0.0384,0.22145,0.3195593877696186,-0.04360481274170161
13,section,important,0,0.1,low_density,10000,0.9549662224318906,0.7903113102960255,0.16465491213586503,0.3689,0.0118,0.3142,0.32895559653139,-0.23559105889208548
13,section,random,1,0.1,high_density,10000,0.9983477351521699,0.9889425181337509,0.00940521701841901,0.0436,0.03,0.0061,0.04361339857387254,0.011764962741006645
13,section,random,1,0.1,mid_density,20000,0.9639150123081821,0.8697539128997098,0.09416109940847228,0.26155,0.15735,0.0463,0.2221782985393387,0.1256257421930837
13,section,random,1,0.1,low_density,10000,0.9549662224318906,0.917894869678028,0.03707135275386253,0.1213,0.0338,0.0517,0.11200215422659225,-0.006357355800551204
13,section,random,2,0.1,high_density,10000,0.9983477351521699,0.9925919632996347,0.005755771852535174,0.0441,0.019,0.0174,0.03512086689775036,0.002586298579751061
13,section,random,2,0.1,mid_density,20000,0.9639150123081821,0.9320508585110161,0.031864153797166006,0.09385,0.02695,0.03155,0.10722393588179732,0.009761963126003423
13,section,random,2,0.1,low_density,10000,0.9549662224318906,0.9327398749852577,0.022226347446632877,0.0885,0.0135,0.0472,0.08143195654504733,-0.026317095164909897
13,section,random,3,0.1,high_density,10000,0.9983477351521699,0.9813280216512736,0.01701971350089626,0.0814,0.035,0.0228,0.07519403894432822,0.022838529094952462
13,section,random,3,0.1,mid_density,20000,0.9639150123081821,0.9099338511750946,0.053981161133087485,0.1411,0.0258,0.071,0.13996856736349994,-0.05332235976622717
13,section,random,3,0.1,low_density,10000,0.9549662224318906,0.9293310060148603,0.02563521641703026,0.113,0.0105,0.0684,0.10835384298812585,-0.07068560564249955
13,imports,important,0,0.01,high_density,16615,0.8742792062187551,0.8705857840046499,0.00369342221410518,0.031417393921155584,0.0,0.02666265422810713,0.01973549536653566,-0.014816611330138323
13,imports,important,0,0.01,mid_density,13385,0.9652664033965552,0.9517257417604489,0.013540661636106344,0.06880836757564437,0.005827418752334703,0.046619350018677626,0.08092143681385706,-0.05573715596446565
13,imports,important,0,0.01,low_density,10000,0.9015077400270685,0.8832157822319922,0.018291957795076308,0.0553,0.0091,0.0271,0.05850163603219672,-0.021499763762030097
13,imports,random,1,0.01,high_density,16615,0.8742792062187551,0.8794009389589703,-0.005121732740215212,0.00403250075233223,0.0,0.002708396027685826,0.0011697591097484135,0.00027046787835644686
13,imports,random,1,0.01,mid_density,13385,0.9652664033965552,0.9651304299460483,0.0001359734505069765,0.00635039223010833,0.002166604407919313,0.0017930519237952932,0.004786475729856593,0.0013771673859605457
13,imports,random,1,0.01,low_density,10000,0.9015077400270685,0.9010521737935067,0.00045556623356179937,0.0096,0.0035,0.002,0.009407852976968471,0.003860487806470135
13,imports,random,2,0.01,high_density,16615,0.8742792062187551,0.8793860965078207,-0.005106890289065635,0.0,0.0,0.0,0.0002675871118293337,0.00020421952401771518
13,imports,random,2,0.01,mid_density,13385,0.9652664033965552,0.9657999517956134,-0.0005335483990581702,0.0030631303698169595,0.00037355248412401944,0.0009712364587224505,0.0038622984334578704,2.4549268909887195e-05
13,imports,random,2,0.01,low_density,10000,0.9015077400270685,0.9037400070733111,-0.0022322670462426863,0.009,0.0016,0.0017,0.009645941701518697,-0.0009171676813621587
13,imports,random,3,0.01,high_density,16615,0.8742792062187551,0.8742784669951139,7.392236411885023e-07,0.0,0.0,0.0,4.228178104067588e-05,-4.2267044704664186e-05
13,imports,random,3,0.01,mid_density,13385,0.9652664033965552,0.9651420113589311,0.00012439203762415474,0.004930892790437056,0.00022413149047441165,0.0029137093761673516,0.0049562029172746025,-0.00418024705319013
13,imports,random,3,0.01,low_density,10000,0.9015077400270685,0.9003787595711523,0.0011289804559161398,0.0075,0.0011,0.0035,0.007725143575908351,-0.002836670310012058
13,imports,important,0,0.05,high_density,16615,0.8742792062187551,0.8646204231548036,0.009658783063951515,0.054468853445681614,0.0,0.04893168823352392,0.03710178809978887,-0.03188850659200854
13,imports,important,0,0.05,mid_density,13385,0.9652664033965552,0.9228391024096013,0.04242730098695391,0.17459843107956668,0.00881583862532686,0.14523720582741875,0.15081112251734244,-0.10681293763830922
13,imports,important,0,0.05,low_density,10000,0.9015077400270685,0.85745050869105,0.044057231336018465,0.1051,0.0189,0.0561,0.10512604736864258,-0.03613890084766468
13,imports,random,1,0.05,high_density,16615,0.8742792062187551,0.879242136327334,-0.004962930108578845,0.005898284682515799,0.0,0.003851941017153175,0.003212536417101682,-0.00254430174384333
13,imports,random,1,0.05,mid_density,13385,0.9652664033965552,0.9646060156602456,0.0006603877363096089,0.02174075457601793,0.0007471049682480389,0.011654837504669406,0.02356377165874675,-0.01788985090753124
