density_bin,feature_group,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
high_density,all,5,0.998634191249735,0.00011880095365854616,0.9984920566524426,0.9987763692830336,0.013511243489637587,0.000358946603294839,0.012995725035624702,0.013928217264856125,0.06911656525969363,0.002310220099666007,0.06603072148979379,0.07250995768615467
high_density,header,5,0.9969791460905751,0.00025148364856000127,0.9967003085144593,0.9973171549504424,0.019814367864990017,0.0005093867299985748,0.019149007091607568,0.020703994133382222,0.06880720471276527,0.0023169638942050685,0.06573354026572806,0.0722333587280599
high_density,imports,5,0.9398905176639598,0.007254278427477914,0.9292534693917077,0.9508133925293615,0.136486882457924,0.023712156897535606,0.1034074716044033,0.15711035741368826,0.059312243666011975,0.0013155997070782213,0.05714333630700502,0.06081123542572904
high_density,section,5,0.9973850616962219,0.00015471164167909932,0.9971592510916674,0.9975212191219618,0.01992870045110735,0.000642237486952006,0.018838176348530425,0.02084065966116949,0.03542157477909787,0.0025602737361009225,0.03039780963808337,0.03729143635155417
high_density,strings,5,0.9975131011787678,0.0001783117644097314,0.9972967431812959,0.9977944702439048,0.01582056137587742,0.0004812201203217683,0.015194040049666254,0.01645152957058691,0.00048045243172342554,2.5443308933801592e-05,0.0004384967788115455,0.0005100990139251836
low_density,all,5,0.9862659721602522,0.0004887149944204515,0.9854930655153683,0.9868534682856248,0.08389089040507995,0.0009043201180419629,0.08263597803351638,0.08506666666666667,0.08050811162453043,0.0016631264015766606,0.07793324874409373,0.08238163889105928
low_density,header,5,0.9515536282200066,0.0009481186690336819,0.9497197561729174,0.952453923129114,0.08455221931067242,0.00044319682455811637,0.08409013258222847,0.08535833333333333,0.07928347471693124,0.0016366698236934625,0.07670423668077242,0.08108797853897928
low_density,imports,5,0.9258512614868529,0.0012342213637007561,0.9236917839176171,0.9274194399305531,0.13407822391341184,0.001704796846023057,0.1319780668494429,0.13642500000000002,0.018405928360047428,0.00024063348688476994,0.018164825352672512,0.018738609918594662
low_density,section,5,0.9692739321153752,0.0006228012571803064,0.9685024515577312,0.9702862476289512,0.07445708781315712,0.0007116959296314197,0.07329355588703429,0.07526500000000001,0.21437109187009887,0.014777714432199452,0.19766077784006103,0.23933835302811163
low_density,strings,5,0.9498912393165597,0.001997813714043776,0.9477940204641276,0.9527316739396965,0.11012696908081324,0.0011224611446800595,0.10894575878534346,0.11170416666666665,0.0005166468164991316,8.269640546847601e-05,0.0004055847188208625,0.0006149454572213439
mid_density,all,5,0.9932953886923201,0.00020385942361142282,0.9930167918760591,0.9936474392851256,0.04319121568622008,0.00017304020129023853,0.0429610123375514,0.04341291666666667,0.07966716276765831,0.0005614690983173797,0.07908869429638526,0.08073919092498603
mid_density,header,5,0.9813613925788427,0.0004951352914618827,0.9806993342894614,0.9819750133524249,0.04973333165241857,0.00019525483584911817,0.049465622773428225,0.049967083333333336,0.07946114554680801,0.0005621110529714468,0.07886839679670671,0.08052800160264799
mid_density,imports,5,0.9390294051673772,0.0010938244882634147,0.9377699287904205,0.9407147320932554,0.13810569046693313,0.001899840975493832,0.13605833333333334,0.1411655881899508,0.04112396246048746,0.00019506429359153935,0.04089777316677806,0.041382018048343176
mid_density,section,5,0.9846777882734351,0.000449804445055343,0.9840863301112628,0.9851755901691629,0.04524214289393379,0.00041464063276985244,0.04481120676005633,0.04591746597888317,0.098178661708528,0.004591038057681826,0.0911970904391843,0.1040275803300797
mid_density,strings,5,0.9726264241953931,0.0008336412830884473,0.9716412351915878,0.9737514575843912,0.061973642637218294,0.00043447188353772646,0.061471345594546624,0.06255666666666666,0.0001799247995628682,1.7105588382668986e-05,0.00016269762350679264,0.00020943082338507592
