density_bin,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max,benign_to_malware_ratio_mean,benign_to_malware_ratio_std,benign_to_malware_ratio_min,benign_to_malware_ratio_max,n_packed_malware_mean,n_packed_malware_std,n_packed_malware_min,n_packed_malware_max,packed_ratio_mean,packed_ratio_std,packed_ratio_min,packed_ratio_max
high_density,5,120001.4,0.8,120001.0,120003.0,73488.6,558.6797293620021,72580.0,74023.0,46512.8,558.2975550725616,45980.0,47421.0,1.5803341927884778,0.030751808868033345,1.5305455388962697,1.609895606785559,2727.8,53.670848698339015,2653.0,2821.0,0.058663587341188074,0.001689260200569333,0.0559456780751144,0.06112013866320009
low_density,5,120000.8,0.7483314773547882,120000.0,120002.0,76930.2,109.16849362338934,76792.0,77060.0,43070.6,109.14870590162761,42942.0,43209.0,1.7861597131285372,0.00705959023331977,1.7772223379388554,1.7945135298775092,4056.0,147.3146292803264,3815.0,4243.0,0.09417250955320844,0.003447760178191341,0.08835108846688282,0.09819713485616423
mid_density,5,239997.8,0.7483314773547883,239997.0,239999.0,89581.2,533.7562739678101,88939.0,90480.0,150416.6,533.2776387586489,149519.0,151058.0,0.5955740566605755,0.00567184356039158,0.5887738484555601,0.60514048381811,12121.8,164.660134823217,11836.0,12320.0,0.08058985116158346,0.0011765004389317738,0.07854640050966234,0.0817708160488501
