seed,density_bin,feature_group,n_samples,n_benign,n_malware,auc,mix_at_10,mix_at_10_benign_query,mix_at_10_malware_query,mix_at_10_class_balanced,js_divergence,density_definition,thresholds_json
13,high_density,header,120000,60000,60000,0.9977246670833334,0.015415000000000002,0.006376666666666668,0.02445333333333333,0.015414999999999998,0.07639963552355766,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,mid_density,header,240000,120000,120000,0.9870582810416666,0.05059333333333333,0.0609575,0.04022916666666667,0.05059333333333334,0.0819811075925827,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,low_density,header,120000,60000,60000,0.9564729208333334,0.08780666666666667,0.066455,0.10915833333333332,0.08780666666666666,0.08047959953546524,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,high_density,section,120000,60000,60000,0.9994116069444444,0.01612333333333333,0.005241666666666667,0.027004999999999998,0.016123333333333333,0.09371301531791687,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,mid_density,section,240000,120000,120000,0.9908446335416667,0.045005,0.05201499999999999,0.03799500000000001,0.045005,0.0689192321151495,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,low_density,section,120000,60000,60000,0.9732713400000002,0.079405,0.05115000000000001,0.10766,0.079405,0.21939902752637863,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,high_density,imports,120000,60000,60000,0.9432738711111112,0.10425916666666665,0.1065166666666667,0.10200166666666667,0.10425916666666668,0.06903928704559803,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,mid_density,imports,240000,120000,120000,0.9451161496527778,0.13528416666666665,0.1144,0.15616833333333333,0.13528416666666665,0.04170103743672371,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,low_density,imports,120000,60000,60000,0.9328799166666666,0.1536175,0.09249833333333335,0.2147366666666667,0.15361750000000002,0.018127476796507835,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,high_density,strings,120000,60000,60000,0.9990684412500002,0.012308333333333333,0.005325,0.019291666666666665,0.012308333333333333,0.0009437166154384613,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,mid_density,strings,240000,120000,120000,0.9735063120138889,0.06370791666666667,0.08072333333333334,0.046692500000000005,0.06370791666666667,0.00023733507259748876,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
