density_bin,feature_group,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
high_density,all,5,0.9985048427678999,8.4605880553038e-05,0.9983878325452464,0.9986212817410942,0.013511175241343792,0.0003589202458179966,0.012995725035624702,0.013928217264856125,0.06911783255636691,0.0023102989194125627,0.06603177450597286,0.07251140475273132
high_density,header,5,0.9958736582247815,0.00013223984772294296,0.9956519184479967,0.9960238790426788,0.01981426891329714,0.000509391340157926,0.019149007091607568,0.020703994133382222,0.06880858168005943,0.002317075447148789,0.06573470309376717,0.0722349788993597
high_density,imports,5,0.933957642940196,0.010536897692249369,0.9138036723447155,0.9414554172396905,0.12990370856737338,0.022193669381654523,0.10779160173665221,0.15934617211523242,0.05931236445903778,0.0013154004963843485,0.05714394152164459,0.06081123650074005
high_density,section,5,0.9981648698389799,9.092852990656696e-05,0.9980493190368296,0.9982816688465271,0.019928600882763225,0.0006422397710447009,0.018838176348530425,0.02084065966116949,0.03540584929287434,0.002559631699343958,0.030383417382836342,0.03727550432085991
high_density,strings,5,0.9975081035053062,0.00015536816872948887,0.9972870286295745,0.9977362068185757,0.01582431502370248,0.00047834193252666284,0.015201539987166774,0.01645236289697586,0.000480391678865999,2.5399451895029557e-05,0.00043850313522852957,0.0005100111302454025
low_density,all,5,0.9767922640242575,0.0007353299875541081,0.9760220428003751,0.9778264573434892,0.08389061035419192,0.0009042813401270236,0.08263597803351638,0.08506666666666667,0.08050278574228287,0.00166364261076933,0.0779266208410263,0.08237655088305473
low_density,header,5,0.9536833118403398,0.0015041695776333536,0.9517438157335065,0.9554235602961209,0.08455143709454271,0.0004434696911005594,0.08408929925583952,0.08535833333333333,0.07927818298339843,0.0016371678356283115,0.0766977071762085,0.08108289539813995
low_density,imports,5,0.9278983494120931,0.001398553213721312,0.9267478695850513,0.9305397272464326,0.13451294942493575,0.002487767342762074,0.13172723560636992,0.1383775,0.018405738472938537,0.00024071322199128284,0.018164812587201595,0.01873859204351902
low_density,section,5,0.9719082448345235,0.000592055248768479,0.9709902218400013,0.9727151507882965,0.0744568379839876,0.0007115230553030714,0.07329355588703429,0.07526500000000001,0.21436896175146103,0.01478030054667157,0.19764820486307144,0.23933854699134827
low_density,strings,5,0.9445251048425378,0.0018594017187597374,0.9425122552230335,0.9469281977278933,0.11013059830227068,0.0011250663663601257,0.10894409213256556,0.1117075,0.0005167105991858989,8.277783648653157e-05,0.0004055556782986969,0.0006148775282781571
mid_density,all,5,0.991452669653081,0.00047297551532643825,0.9905852855421924,0.9918642163865867,0.043191396390515696,0.00017322544923303038,0.0429610123375514,0.04341345933490835,0.07966242022812367,0.0005613355213769086,0.07908357493579388,0.0807341281324625
mid_density,header,5,0.9845079972971653,0.00043578848578920313,0.9836907912810299,0.9848412737389243,0.049733539015423565,0.00019529152124650537,0.04946603499210407,0.04996770792968246,0.07945630364120007,0.0005619981348274671,0.07886309362947941,0.08052285388112068
mid_density,imports,5,0.9451934470412775,0.0008043993716649408,0.9436257675138948,0.9457948093885127,0.1378839321396911,0.0017379655904829223,0.13593878256811542,0.14114884769392952,0.041124002635478975,0.00019482059192013122,0.04089776799082756,0.04138128273189068
mid_density,section,5,0.9892779739343235,0.00025421907067996294,0.9890276432105932,0.9897175872551585,0.04524241462750293,0.00041467466443852636,0.04481120676005633,0.04591746597888317,0.09817770197987556,0.004591003288919103,0.09119628742337227,0.10402699932456017
mid_density,strings,5,0.9690215334601591,0.0010978365108085207,0.9672758383365935,0.9704521755953304,0.06191965111796085,0.00040429558402264203,0.061463845532046105,0.06240661341600103,0.00017991167842410505,1.712181411464765e-05,0.00016255126683972776,0.0002094232477247715
