scope,feature_group,metric,mean,std,min,max
metric,header,same_family_rate_at_k,0.7777007152560421,0.043274025653667454,0.7060222672064778,0.877962962962963
metric,header,family_silhouette,-0.07583763002225448,0.06488937004693937,-0.22301618787662414,0.07263763859457094
metric,header,family_macro_f1,0.8147976254455324,0.03149575671668842,0.7548763457376805,0.8858036193822161
rank,header,same_family_rate_at_k_rank,1.8791666666666667,0.36226045725263595,1.0,3.0
rank,header,family_silhouette_rank,2.4166666666666665,0.9181805680559546,1.0,5.0
rank,header,family_macro_f1_rank,2.933333333333333,0.7039570693980958,1.0,4.0
metric,section,same_family_rate_at_k,0.7886515487305306,0.04147960665781734,0.7157557354925776,0.8752469135802469
metric,section,family_silhouette,-0.11538398782165048,0.07649307387725178,-0.3476115295984255,0.006145263237699606
metric,section,family_macro_f1,0.8335603276234868,0.03210434012974909,0.7642127892545059,0.8954774577775811
rank,section,same_family_rate_at_k_rank,1.1333333333333333,0.33993463423951903,1.0,2.0
rank,section,family_silhouette_rank,3.0166666666666666,1.3101102582946555,1.0,5.0
rank,section,family_macro_f1_rank,2.216666666666667,0.4861984048604941,1.0,3.0
metric,imports,same_family_rate_at_k,0.715772486775766,0.04378001766362302,0.6350231941683234,0.8145679012345679
metric,imports,family_silhouette,-0.03201442573701588,0.04120855850562289,-0.10009415580049104,0.04852633769348167
metric,imports,family_macro_f1,0.7265747655347093,0.013142732935388582,0.7028369851986793,0.7594637897407666
rank,imports,same_family_rate_at_k_rank,4.025,0.15612494995995996,4.0,5.0
rank,imports,family_silhouette_rank,1.35,0.6006940430313367,1.0,3.0
rank,imports,family_macro_f1_rank,5.0,0.0,5.0,5.0
metric,strings,same_family_rate_at_k,0.6860064740308275,0.04814343660363027,0.6107724902216428,0.7854938271604939
metric,strings,family_silhouette,-0.1525935690394431,0.04159937427749707,-0.2493937759928671,-0.08907331483401677
metric,strings,family_macro_f1,0.7926126599073359,0.021038986081032152,0.7410029962112394,0.83583952264519
rank,strings,same_family_rate_at_k_rank,4.975,0.15612494995995996,4.0,5.0
rank,strings,family_silhouette_rank,4.35,0.792148975887743,2.0,5.0
rank,strings,family_macro_f1_rank,3.8,0.39999999999999997,3.0,4.0
metric,all,same_family_rate_at_k,0.7586033984046796,0.044800486375380956,0.6800101214574898,0.850925925925926
metric,all,family_silhouette,-0.12896124867632336,0.049941422158143636,-0.23041362136080054,-0.03441775757317298
metric,all,family_macro_f1,0.8752708229736761,0.02377777465150277,0.8276692808555215,0.938868581537588
rank,all,same_family_rate_at_k_rank,2.9875,0.11110243021644486,2.0,3.0
rank,all,family_silhouette_rank,3.8666666666666667,0.9030811456096043,2.0,5.0
rank,all,family_macro_f1_rank,1.05,0.21794494717703372,1.0,2.0
