seed,k,test_week,n_train_samples,n_test_samples,n_train_families,n_test_families,header_same_family_rate_at_k,header_family_silhouette,header_family_macro_f1,header_same_family_rate_at_k_rank,header_family_silhouette_rank,header_family_macro_f1_rank,section_same_family_rate_at_k,section_family_silhouette,section_family_macro_f1,section_same_family_rate_at_k_rank,section_family_silhouette_rank,section_family_macro_f1_rank,imports_same_family_rate_at_k,imports_family_silhouette,imports_family_macro_f1,imports_same_family_rate_at_k_rank,imports_family_silhouette_rank,imports_family_macro_f1_rank,strings_same_family_rate_at_k,strings_family_silhouette,strings_family_macro_f1,strings_same_family_rate_at_k_rank,strings_family_silhouette_rank,strings_family_macro_f1_rank,all_same_family_rate_at_k,all_family_silhouette,all_family_macro_f1,all_same_family_rate_at_k_rank,all_family_silhouette_rank,all_family_macro_f1_rank
2024,20,2024-09-22_2024-09-28,10000,3084,20,19,0.7266050583657587,-0.08001970791372634,0.8400143711322873,2,3,3,0.7335927367055771,-0.040675991434522114,0.8486196912617523,1,2,2,0.6828955901426719,0.013362178729569612,0.7173129424733375,4,1,5,0.6430123216601816,-0.18227379422393603,0.8026305672855323,5,5,4,0.7150291828793774,-0.1580701137340559,0.8606115393949507,3,4,1
2024,5,2024-09-29_2024-10-05,10000,2644,20,18,0.8209531013615734,-0.01590690646942853,0.8216343783288942,3,2,3,0.8491679273827534,-0.1871432409345234,0.8628825315607412,1,5,2,0.789409984871407,0.04476839242558422,0.7369705322381321,4,1,5,0.766338880484115,-0.18601180399476025,0.8004031071566636,5,4,4,0.8270801815431165,-0.09985642629285403,0.8908863516465066,2,3,1
2024,10,2024-09-29_2024-10-05,10000,2644,20,18,0.7737518910741301,-0.01590690646942853,0.8216343783288942,2,2,3,0.7933055975794251,-0.1871432409345234,0.8628825315607412,1,5,2,0.7344175491679273,0.04476839242558422,0.7369705322381321,4,1,5,0.7064674735249622,-0.18601180399476025,0.8004031071566636,5,4,4,0.765052950075643,-0.09985642629285403,0.8908863516465066,3,3,1
2024,15,2024-09-29_2024-10-05,10000,2644,20,18,0.7422087745839637,-0.01590690646942853,0.8216343783288942,2,2,3,0.7612455874936964,-0.1871432409345234,0.8628825315607412,1,5,2,0.7070600100857287,0.04476839242558422,0.7369705322381321,4,1,5,0.6751386787695411,-0.18601180399476025,0.8004031071566636,5,4,4,0.7342158345940494,-0.09985642629285403,0.8908863516465066,3,3,1
2024,20,2024-09-29_2024-10-05,10000,2644,20,18,0.7216527987897126,-0.01590690646942853,0.8216343783288942,2,2,3,0.7365922844175492,-0.1871432409345234,0.8628825315607412,1,5,2,0.6860060514372164,0.04476839242558422,0.7369705322381321,4,1,5,0.6521936459909229,-0.18601180399476025,0.8004031071566636,5,4,4,0.7121217851739788,-0.09985642629285403,0.8908863516465066,3,3,1
2024,5,2024-10-06_2024-10-12,10000,3068,20,20,0.8147327249022164,-0.20144657572507724,0.7990851915321504,2,2,3,0.8352020860495437,-0.3476115295984255,0.8033271523965176,1,5,2,0.7557366362451108,-0.06976715053086793,0.7370600989253971,4,1,5,0.7174054758800521,-0.2493937759928671,0.798224729851036,5,4,4,0.8005867014341591,-0.22204353814095543,0.839285305066943,3,3,1
2024,10,2024-10-06_2024-10-12,10000,3068,20,20,0.7660691003911343,-0.20144657572507724,0.7990851915321504,2,2,3,0.7927966101694915,-0.3476115295984255,0.8033271523965176,1,5,2,0.705606258148631,-0.06976715053086793,0.7370600989253971,4,1,5,0.668057366362451,-0.2493937759928671,0.798224729851036,5,4,4,0.7529335071707953,-0.22204353814095543,0.839285305066943,3,3,1
2024,15,2024-10-06_2024-10-12,10000,3068,20,20,0.7421773142112125,-0.20144657572507724,0.7990851915321504,2,2,3,0.7666883963494133,-0.3476115295984255,0.8033271523965176,1,5,2,0.6752281616688396,-0.06976715053086793,0.7370600989253971,4,1,5,0.6378096479791395,-0.2493937759928671,0.798224729851036,5,4,4,0.7202303346371143,-0.22204353814095543,0.839285305066943,3,3,1
2024,20,2024-10-06_2024-10-12,10000,3068,20,20,0.7220338983050848,-0.20144657572507724,0.7990851915321504,2,2,3,0.7423402868318123,-0.3476115295984255,0.8033271523965176,1,5,2,0.6495110821382007,-0.06976715053086793,0.7370600989253971,4,1,5,0.6107724902216428,-0.2493937759928671,0.798224729851036,5,4,4,0.6957464146023468,-0.22204353814095543,0.839285305066943,3,3,1
2024,5,2024-10-13_2024-10-19,10000,2964,20,19,0.8363022941970311,-0.08225155569987783,0.7983455511325193,2,2,3,0.8458164642375169,-0.15637121317109137,0.7997407701162866,1,3,2,0.760863697705803,-0.051736970706869376,0.7221454192482304,4,1,5,0.7331309041835358,-0.1920802608700303,0.7908192327615056,5,4,4,0.8206477732793522,-0.1937323887622291,0.8530300674408708,3,5,1
2024,10,2024-10-13_2024-10-19,10000,2964,20,19,0.7768218623481782,-0.08225155569987783,0.7983455511325193,2,2,3,0.788191632928475,-0.15637121317109137,0.7997407701162866,1,3,2,0.7087044534412955,-0.051736970706869376,0.7221454192482304,4,1,5,0.6717948717948717,-0.1920802608700303,0.7908192327615056,5,4,4,0.761336032388664,-0.1937323887622291,0.8530300674408708,3,5,1
